,iso_code,continent,location,date,total_cases,new_cases,new_cases_smoothed,total_deaths,new_deaths,new_deaths_smoothed,total_cases_per_million,new_cases_per_million,new_cases_smoothed_per_million,total_deaths_per_million,new_deaths_per_million,new_deaths_smoothed_per_million,reproduction_rate,icu_patients,icu_patients_per_million,hosp_patients,hosp_patients_per_million,weekly_icu_admissions,weekly_icu_admissions_per_million,weekly_hosp_admissions,weekly_hosp_admissions_per_million,total_tests,new_tests,total_tests_per_thousand,new_tests_per_thousand,new_tests_smoothed,new_tests_smoothed_per_thousand,positive_rate,tests_per_case,tests_units,total_vaccinations,people_vaccinated,people_fully_vaccinated,total_boosters,new_vaccinations,new_vaccinations_smoothed,total_vaccinations_per_hundred,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred,total_boosters_per_hundred,new_vaccinations_smoothed_per_million,new_people_vaccinated_smoothed,new_people_vaccinated_smoothed_per_hundred,stringency_index,population_density,median_age,aged_65_older,aged_70_older,gdp_per_capita,extreme_poverty,cardiovasc_death_rate,diabetes_prevalence,female_smokers,male_smokers,handwashing_facilities,hospital_beds_per_thousand,life_expectancy,human_development_index,population,excess_mortality_cumulative_absolute,excess_mortality_cumulative,excess_mortality,excess_mortality_cumulative_per_million
count,1674,1674,1674,1674,1674.0,1674.0,1669.0,1674.0,1674.0,1669.0,1674.0,1674.0,1669.0,1674.0,1674.0,1669.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,8.0,7.0,5.0,4.0,0.0,621.0,8.0,7.0,5.0,4.0,621.0,621.0,621.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1674.0,0.0,1674.0,0.0,0.0,0.0,0.0
unique,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
top,NIU,Oceania,Niue,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
freq,1674,1674,1674,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mean,,,,2022-04-20 12:00:00,322.9175627240143,0.6415770609318996,0.643505092869982,0.0,0.0,0.0,175117.98381362009,347.92682915173236,348.9691294188137,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,2598.125,1087.5714285714287,1135.6,1174.0,,8.505636070853463,133.10125,55.715714285714284,58.176,60.144999999999996,4357.222222222223,2.975845410628019,0.152450885668277,,,,,,,,,,,,,,73.71000000000001,,1952.0,,,,
min,,,,2020-01-05 00:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,0.0,0.0,32.0,1094.0,,0.0,0.0,0.0,1.64,56.05,0.0,0.0,0.0,,,,,,,,,,,,,,73.71,,1952.0,,,,
25%,,,,2021-02-26 06:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,1086.5,941.0,1150.0,1138.25,,2.0,55.665,48.209999999999994,58.91,58.315,1025.0,0.0,0.0,,,,,,,,,,,,,,73.71,,1952.0,,,,
50%,,,,2022-04-20 12:00:00,7.0,0.0,0.0,0.0,0.0,0.0,3796.096,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,2490.0,1202.0,1227.0,1188.5,,5.0,127.56,61.58,62.86,60.885000000000005,2561.0,0.0,0.0,,,,,,,,,,,,,,73.71,,1952.0,,,,
75%,,,,2023-06-12 18:00:00,820.0,0.0,0.0,0.0,0.0,0.0,444685.47,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,4266.0,1445.5,1634.0,1224.25,,5.0,218.5475,74.05000000000001,83.71,62.715,2561.0,0.0,0.0,,,,,,,,,,,,,,73.71,,1952.0,,,,
max,,,,2024-08-04 00:00:00,1074.0,155.0,22.143,0.0,0.0,0.0,582429.5,84056.4,12008.057,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,4923.0,1638.0,1635.0,1225.0,,87.0,252.2,83.91,83.76,62.76,44570.0,87.0,4.457,,,,,,,,,,,,,,73.71,,1952.0,,,,
std,,,,,428.992119121986,6.850855254245263,2.523823281760825,0.0,0.0,0.0,232642.14623523527,3715.214391282976,1368.66535562483,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,1898.5239708408062,575.7238508008439,656.5624875059494,63.09252464964979,,16.953980894865694,97.25967413321926,29.493027908949855,33.635264678607776,3.229597498141217,8685.459818954128,13.62626955796729,0.6980895308972968,,,,,,,,,,,,,,1.4215101198104257e-14,,0.0,,,,
