,iso_code,continent,location,date,total_cases,new_cases,new_cases_smoothed,total_deaths,new_deaths,new_deaths_smoothed,total_cases_per_million,new_cases_per_million,new_cases_smoothed_per_million,total_deaths_per_million,new_deaths_per_million,new_deaths_smoothed_per_million,reproduction_rate,icu_patients,icu_patients_per_million,hosp_patients,hosp_patients_per_million,weekly_icu_admissions,weekly_icu_admissions_per_million,weekly_hosp_admissions,weekly_hosp_admissions_per_million,total_tests,new_tests,total_tests_per_thousand,new_tests_per_thousand,new_tests_smoothed,new_tests_smoothed_per_thousand,positive_rate,tests_per_case,tests_units,total_vaccinations,people_vaccinated,people_fully_vaccinated,total_boosters,new_vaccinations,new_vaccinations_smoothed,total_vaccinations_per_hundred,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred,total_boosters_per_hundred,new_vaccinations_smoothed_per_million,new_people_vaccinated_smoothed,new_people_vaccinated_smoothed_per_hundred,stringency_index,population_density,median_age,aged_65_older,aged_70_older,gdp_per_capita,extreme_poverty,cardiovasc_death_rate,diabetes_prevalence,female_smokers,male_smokers,handwashing_facilities,hospital_beds_per_thousand,life_expectancy,human_development_index,population,excess_mortality_cumulative_absolute,excess_mortality_cumulative,excess_mortality,excess_mortality_cumulative_per_million
count,1674,0,1674,1674,1674.0,1674.0,1669.0,1674.0,1674.0,1669.0,1674.0,1674.0,1669.0,1674.0,1674.0,1669.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1320.0,1320.0,1320.0,1267.0,1320.0,1320.0,1320.0,1320.0,1320.0,1267.0,1320.0,1320.0,1320.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1674.0,0.0,0.0,0.0,0.0
unique,1,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
top,OWID_NAM,,North America,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
freq,1674,,1674,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mean,,,,2022-04-20 12:00:00,75910197.27060932,74368.39784946236,74590.95797004194,1123438.5167264037,998.5137395459976,1001.1871827441582,125605.05031421746,123.05390621266427,123.42216836429,1858.9011260454001,1.6521905615292711,1.6566381066506888,,,,,,,,,,,,,,,,,,,898150108.2924242,383748473.1810606,326893878.93257576,175400775.4498816,876022.0568181818,875045.4795454545,149.61101515151515,63.92401515151515,54.45271212121212,29.21780584056827,1457.6272727272728,347619.1553030303,0.057887878787878794,,,,,,,,,,,,,,,,600323657.0,,,,
min,,,,2020-01-05 00:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,45620.0,36817.0,9669.0,1.0,0.0,0.0,0.01,0.01,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,600323657.0,,,,
25%,,,,2021-02-26 06:00:00,32224061.0,0.0,714.286,762198.0,0.0,212.286,53319.645,0.0,1.182,1261.173,0.0,0.351,,,,,,,,,,,,,,,,,,,714796381.75,370660028.25,321812255.5,74579765.5,16515.5,23081.25,119.065,61.745000000000005,53.605000000000004,12.425,38.0,364.0,0.0,,,,,,,,,,,,,,,,600323657.0,,,,
50%,,,,2022-04-20 12:00:00,95604414.0,0.0,45964.429,1428136.0,0.0,518.429,158192.16,0.0,76.055,2363.07,0.0,0.858,,,,,,,,,,,,,,,,,,,1071887792.0,450124607.5,387064397.5,244215991.0,385779.0,387025.0,178.555,74.97999999999999,64.475,40.68,645.0,79876.5,0.013,,,,,,,,,,,,,,,,600323657.0,,,,
75%,,,,2023-06-12 18:00:00,124322121.0,0.0,89212.571,1604634.0,0.0,1561.857,205710.0,0.0,147.616,2655.113,0.0,2.584,,,,,,,,,,,,,,,,,,,1153362919.0,458498721.5,394430130.75,253231048.5,1469186.25,1742815.25,192.12,76.38,65.7,42.18,2903.25,600163.5,0.1,,,,,,,,,,,,,,,,600323657.0,,,,
max,,,,2024-08-04 00:00:00,124492666.0,6582043.0,940291.857,1671178.0,34452.0,4921.714,205992.19,10890.998,1555.857,2765.22,57.006,8.144,,,,,,,,,,,,,,,,,,,1158547416.0,458563506.0,394493922.0,256264817.0,9186630.0,4205266.0,192.99,76.39,65.71,42.69,7005.0,2550092.0,0.425,,,,,,,,,,,,,,,,600323657.0,,,,
std,,,,,48451759.923067026,361936.1272441098,118304.0670283083,566020.5021448714,3745.956727307395,1072.636049006973,80170.85948083604,598.8787636401942,195.7522092268449,936.567634701334,6.198249470217002,1.7748478604397855,,,,,,,,,,,,,,,,,,,353967768.3473082,125956420.15307581,116588471.97322696,103713510.2642695,1128185.2984306084,1033811.0162785272,58.96291712667985,20.98168034677263,19.4209669938692,17.27633537704737,1722.0741814576102,540012.0677516584,0.08996317756566209,,,,,,,,,,,,,,,,0.0,,,,
