,iso_code,continent,location,date,total_cases,new_cases,new_cases_smoothed,total_deaths,new_deaths,new_deaths_smoothed,total_cases_per_million,new_cases_per_million,new_cases_smoothed_per_million,total_deaths_per_million,new_deaths_per_million,new_deaths_smoothed_per_million,reproduction_rate,icu_patients,icu_patients_per_million,hosp_patients,hosp_patients_per_million,weekly_icu_admissions,weekly_icu_admissions_per_million,weekly_hosp_admissions,weekly_hosp_admissions_per_million,total_tests,new_tests,total_tests_per_thousand,new_tests_per_thousand,new_tests_smoothed,new_tests_smoothed_per_thousand,positive_rate,tests_per_case,tests_units,total_vaccinations,people_vaccinated,people_fully_vaccinated,total_boosters,new_vaccinations,new_vaccinations_smoothed,total_vaccinations_per_hundred,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred,total_boosters_per_hundred,new_vaccinations_smoothed_per_million,new_people_vaccinated_smoothed,new_people_vaccinated_smoothed_per_hundred,stringency_index,population_density,median_age,aged_65_older,aged_70_older,gdp_per_capita,extreme_poverty,cardiovasc_death_rate,diabetes_prevalence,female_smokers,male_smokers,handwashing_facilities,hospital_beds_per_thousand,life_expectancy,human_development_index,population,excess_mortality_cumulative_absolute,excess_mortality_cumulative,excess_mortality,excess_mortality_cumulative_per_million
count,691,691,691,691,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,27.0,24.0,24.0,7.0,2.0,689.0,27.0,24.0,24.0,7.0,689.0,619.0,619.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,691.0,0.0,0.0,0.0,0.0
unique,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
top,OWID_CYN,Asia,Northern Cyprus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
freq,691,691,691,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mean,,,,2021-12-25 00:02:05.036179456,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,257417.66666666666,142994.45833333334,127739.45833333333,55148.0,994.0,1252.210449927431,67.24074074074075,37.35125,33.36666666666667,14.405714285714284,3270.899854862119,400.4684975767367,0.10454281098546042,,,,,,,,,,,,,,,,382836.0,,,,
min,,,,2021-01-14 00:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,53886.0,44083.0,40909.0,795.0,173.0,0.0,14.08,11.51,10.69,452.0,27.0,0.007,,,,,,,,,,,,,,,,382836.0,,,,
25%,,,,2021-07-05 12:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,115665.5,72417.25,51075.5,47053.0,894.5,655.0,30.215,18.92,13.3425,12.29,1711.0,46.0,0.012,,,,,,,,,,,,,,,,382836.0,,,,
50%,,,,2021-12-25 00:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,126668.0,74618.0,52592.5,51741.0,994.0,655.0,33.09,19.490000000000002,13.74,13.52,1711.0,46.0,0.012,,,,,,,,,,,,,,,,382836.0,,,,
75%,,,,2022-06-15 12:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,518641.0,275455.25,259298.0,59518.5,1093.5,1403.0,135.475,71.9525,67.735,15.545,3665.0,696.0,0.182,,,,,,,,,,,,,,,,382836.0,,,,
max,,,,2022-12-06 00:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,861519.0,301673.0,313067.0,80243.0,1193.0,6011.0,225.04,78.8,81.78,20.96,15701.0,1847.0,0.482,,,,,,,,,,,,,,,,382836.0,,,,
std,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,237616.08972263834,98053.39717147875,102745.32675037667,13158.565321999711,281.4284989122459,1069.6623044082817,62.06834892190816,25.6124947959763,26.838792117359542,3.436130852877294,2793.9661809835193,563.2509516403775,0.14705250595381206,,,,,,,,,,,,,,,,0.0,,,,
