,iso_code,continent,location,date,total_cases,new_cases,new_cases_smoothed,total_deaths,new_deaths,new_deaths_smoothed,total_cases_per_million,new_cases_per_million,new_cases_smoothed_per_million,total_deaths_per_million,new_deaths_per_million,new_deaths_smoothed_per_million,reproduction_rate,icu_patients,icu_patients_per_million,hosp_patients,hosp_patients_per_million,weekly_icu_admissions,weekly_icu_admissions_per_million,weekly_hosp_admissions,weekly_hosp_admissions_per_million,total_tests,new_tests,total_tests_per_thousand,new_tests_per_thousand,new_tests_smoothed,new_tests_smoothed_per_thousand,positive_rate,tests_per_case,tests_units,total_vaccinations,people_vaccinated,people_fully_vaccinated,total_boosters,new_vaccinations,new_vaccinations_smoothed,total_vaccinations_per_hundred,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred,total_boosters_per_hundred,new_vaccinations_smoothed_per_million,new_people_vaccinated_smoothed,new_people_vaccinated_smoothed_per_hundred,stringency_index,population_density,median_age,aged_65_older,aged_70_older,gdp_per_capita,extreme_poverty,cardiovasc_death_rate,diabetes_prevalence,female_smokers,male_smokers,handwashing_facilities,hospital_beds_per_thousand,life_expectancy,human_development_index,population,excess_mortality_cumulative_absolute,excess_mortality_cumulative,excess_mortality,excess_mortality_cumulative_per_million
count,1372,1372,1372,1372,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,791.0,791.0,1372.0,1372.0,0.0,0.0,1366.0,1366.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,886.0,707.0,847.0,455.0,866.0,912.0,886.0,707.0,847.0,455.0,912.0,912.0,912.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1372.0,0.0,0.0,0.0,0.0
unique,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
top,OWID_NIR,Europe,Northern Ireland,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
freq,1372,1372,1372,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mean,,,,2022-01-24 12:00:00,,,,,,,,,,,,,,16.766118836915297,8.842862199747156,132.79008746355686,70.03696793002915,,,91.7701317715959,48.40197730600293,,,,,,,,,,3242149.20993228,1227494.0664780764,1102164.6021251476,1399102.7164835164,5076.419168591224,4972.648026315789,170.99940180586904,64.741414427157,58.130885478158206,73.79241758241758,2622.7116228070176,1507.310307017544,0.07947149122807017,,,,,,,,,,,,,,,,1896000.0,,,,
min,,,,2020-03-10 00:00:00,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,,,0.0,0.0,,,,,,,,,,91954.0,78005.0,13949.0,4742.0,0.0,28.0,4.85,4.11,0.74,0.25,15.0,0.0,0.0,,,,,,,,,,,,,,,,1896000.0,,,,
25%,,,,2021-02-15 18:00:00,,,,,,,,,,,,,,2.0,1.055,52.75,27.822,,,30.0,15.823,,,,,,,,,,2418903.75,1183628.5,1111818.5,932920.5,551.0,691.0,127.5775,62.425,58.64,49.205,364.5,4.0,0.0,,,,,,,,,,,,,,,,1896000.0,,,,
50%,,,,2022-01-24 12:00:00,,,,,,,,,,,,,,14.0,7.384,103.5,54.588499999999996,,,62.0,32.7,,,,,,,,,,3763654.0,1407989.0,1327778.0,1346723.0,2433.5,2800.0,198.505,74.26,70.03,71.03,1476.5,86.0,0.0045000000000000005,,,,,,,,,,,,,,,,1896000.0,,,,
75%,,,,2023-01-02 06:00:00,,,,,,,,,,,,,,27.0,14.241,207.0,109.177,,,147.75,77.92725,,,,,,,,,,4405707.75,1429047.0,1357695.0,2120776.0,8173.75,8456.5,232.3725,75.37,71.61,111.85499999999999,4460.25,1590.5,0.084,,,,,,,,,,,,,,,,1896000.0,,,,
max,,,,2023-12-11 00:00:00,,,,,,,,,,,,,,63.0,33.228,532.0,280.591,,,443.0,233.65,,,,,,,,,,4600649.0,1430694.0,1361003.0,2234611.0,32625.0,23766.0,242.65,75.46,71.78,117.86,12535.0,14026.0,0.74,,,,,,,,,,,,,,,,1896000.0,,,,
std,,,,,,,,,,,,,,,,,,15.330854633002852,8.085940801198134,101.13741021066694,53.34252107227557,,,78.44416516623345,41.37349489001547,,,,,,,,,,1300549.2925991851,332242.1124284952,429349.4771233188,741954.3226438803,5842.905089737329,5095.5061512522425,68.59427589387084,17.523348478698658,22.64504159390019,39.13266198190456,2687.4800628074818,2724.74461953664,0.14372331808412575,,,,,,,,,,,,,,,,0.0,,,,
