,iso_code,continent,location,date,total_cases,new_cases,new_cases_smoothed,total_deaths,new_deaths,new_deaths_smoothed,total_cases_per_million,new_cases_per_million,new_cases_smoothed_per_million,total_deaths_per_million,new_deaths_per_million,new_deaths_smoothed_per_million,reproduction_rate,icu_patients,icu_patients_per_million,hosp_patients,hosp_patients_per_million,weekly_icu_admissions,weekly_icu_admissions_per_million,weekly_hosp_admissions,weekly_hosp_admissions_per_million,total_tests,new_tests,total_tests_per_thousand,new_tests_per_thousand,new_tests_smoothed,new_tests_smoothed_per_thousand,positive_rate,tests_per_case,tests_units,total_vaccinations,people_vaccinated,people_fully_vaccinated,total_boosters,new_vaccinations,new_vaccinations_smoothed,total_vaccinations_per_hundred,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred,total_boosters_per_hundred,new_vaccinations_smoothed_per_million,new_people_vaccinated_smoothed,new_people_vaccinated_smoothed_per_hundred,stringency_index,population_density,median_age,aged_65_older,aged_70_older,gdp_per_capita,extreme_poverty,cardiovasc_death_rate,diabetes_prevalence,female_smokers,male_smokers,handwashing_facilities,hospital_beds_per_thousand,life_expectancy,human_development_index,population,excess_mortality_cumulative_absolute,excess_mortality_cumulative,excess_mortality,excess_mortality_cumulative_per_million
count,1674,1674,1674,1674,1674.0,1674.0,1669.0,1674.0,1674.0,1669.0,1674.0,1674.0,1669.0,1674.0,1674.0,1669.0,1032.0,0.0,0.0,642.0,642.0,143.0,143.0,143.0,143.0,811.0,811.0,811.0,811.0,805.0,805.0,811.0,811.0,812,698.0,698.0,671.0,588.0,688.0,711.0,698.0,698.0,671.0,588.0,711.0,711.0,711.0,1092.0,1674.0,1674.0,1674.0,1674.0,1674.0,1674.0,1674.0,1674.0,1674.0,1674.0,0.0,1674.0,1674.0,1674.0,1674.0,209.0,209.0,209.0,209.0
unique,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
top,NOR,Europe,Norway,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,people tested,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
freq,1674,1674,1674,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,812,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mean,,,,2022-04-20 12:00:00,843312.0304659498,903.6123058542413,905.9367501497903,2867.8835125448027,3.4241338112305852,3.434395446375075,154543.46886618878,165.59396475507768,166.01994068304376,525.5619778972521,0.627500597371565,0.6293666866387058,1.038856589147287,,,141.59345794392524,26.05534267912773,16.51048951048951,3.0571398601398596,118.46853146853147,21.799951048951048,5321128.215782984,13754.086313193588,984.8431553637486,2.5456140567200993,13834.855900621118,2.5605763975155273,0.11547595561035758,71.9324290998767,,7397237.345272207,3216165.4369627507,2860804.0581222055,1698620.1853741496,17615.5988372093,17073.070323488046,136.12061604584528,59.182507163323784,52.64321907600596,31.256836734693877,3141.690576652602,6113.876230661041,0.11252883263009844,35.76058608058609,14.461999999999998,39.699999999999996,16.820999999999998,10.812999999999999,64800.05700000002,0.2,114.31600000000002,5.3100000000000005,19.599999999999998,20.699999999999992,,3.600000000000001,82.39999999999999,0.9570000000000002,5434324.0,2446.634112933015,1.2848803827751194,6.008277511961722,447.3901630980861
min,,,,2020-01-05 00:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.54,,,0.0,0.0,0.0,0.0,0.0,0.0,3934.0,428.0,0.728,0.079,1069.0,0.198,0.001,1.3,,0.0,0.0,12.0,5.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,14.462,39.7,16.821,10.813,64800.057,0.2,114.316,5.31,19.6,20.7,,3.6,82.4,0.957,5434324.0,-1332.4001,-6.65,-19.53,-246.60281
25%,,,,2021-02-26 06:00:00,68788.0,0.0,37.571,607.0,0.0,0.143,12605.935,0.0,6.885,111.237,0.0,0.026,0.85,,,36.0,6.625,5.0,0.927,33.0,6.1205,1473516.5,5008.5,272.721,0.927,4811.0,0.89,0.014,6.9,,2912526.0,1759237.25,1514194.5,1280.25,998.0,3031.5,53.595,32.375,27.86,0.02,557.5,77.0,0.001,11.11,14.462,39.7,16.821,10.813,64800.057,0.2,114.316,5.31,19.6,20.7,,3.6,82.4,0.957,5434324.0,-336.00003,-1.5,-1.04,-62.45544
50%,,,,2022-04-20 12:00:00,1420764.0,0.0,129.0,2855.0,0.0,1.571,260366.02,0.0,23.64,523.201,0.0,0.288,1.02,,,110.0,20.242,12.0,2.226,91.0,16.693,5356108.0,13055.0,991.317,2.416,14944.0,2.766,0.03,33.3,,8508841.5,4244963.5,3874823.0,2333267.0,4931.0,9559.0,156.57999999999998,78.11500000000001,71.3,42.935,1759.0,947.0,0.017,38.89,14.462,39.7,16.821,10.813,64800.057,0.2,114.316,5.31,19.6,20.7,,3.6,82.4,0.957,5434324.0,1148.7999,1.33,4.86,211.39702
75%,,,,2023-06-12 18:00:00,1485335.0,0.0,419.143,5559.0,0.0,4.714,272199.16,0.0,76.811,1018.73,0.0,0.864,1.19,,,219.75,40.437,22.0,4.081,169.5,31.2535,8544040.0,19705.5,1581.345,3.647,18481.0,3.42,0.144,71.4,,11354254.5,4338720.0,4039374.0,3002879.5,22549.5,30667.5,208.94,79.84,74.33500000000001,55.255,5643.0,8536.5,0.157,56.02,14.462,39.7,16.821,10.813,64800.057,0.2,114.316,5.31,19.6,20.7,,3.6,82.4,0.957,5434324.0,6325.0,4.89,13.23,1155.3856
max,,,,2024-08-04 00:00:00,1512647.0,141784.0,20254.857,5732.0,203.0,29.0,277204.28,25983.018,3711.86,1050.434,37.201,5.314,3.05,,,638.0,117.402,78.0,14.282,561.0,103.313,11154564.0,50366.0,2064.505,9.322,35950.0,6.654,0.787,1000.0,,12145560.0,4346995.0,4054726.0,3743839.0,138686.0,69148.0,223.5,79.99,74.61,68.89,12724.0,50916.0,0.937,79.63,14.462,39.7,16.821,10.813,64800.057,0.2,114.316,5.31,19.6,20.7,,3.6,82.4,0.957,5434324.0,9399.798,5.78,30.0,1717.0579
