,iso_code,continent,location,date,total_cases,new_cases,new_cases_smoothed,total_deaths,new_deaths,new_deaths_smoothed,total_cases_per_million,new_cases_per_million,new_cases_smoothed_per_million,total_deaths_per_million,new_deaths_per_million,new_deaths_smoothed_per_million,reproduction_rate,icu_patients,icu_patients_per_million,hosp_patients,hosp_patients_per_million,weekly_icu_admissions,weekly_icu_admissions_per_million,weekly_hosp_admissions,weekly_hosp_admissions_per_million,total_tests,new_tests,total_tests_per_thousand,new_tests_per_thousand,new_tests_smoothed,new_tests_smoothed_per_thousand,positive_rate,tests_per_case,tests_units,total_vaccinations,people_vaccinated,people_fully_vaccinated,total_boosters,new_vaccinations,new_vaccinations_smoothed,total_vaccinations_per_hundred,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred,total_boosters_per_hundred,new_vaccinations_smoothed_per_million,new_people_vaccinated_smoothed,new_people_vaccinated_smoothed_per_hundred,stringency_index,population_density,median_age,aged_65_older,aged_70_older,gdp_per_capita,extreme_poverty,cardiovasc_death_rate,diabetes_prevalence,female_smokers,male_smokers,handwashing_facilities,hospital_beds_per_thousand,life_expectancy,human_development_index,population,excess_mortality_cumulative_absolute,excess_mortality_cumulative,excess_mortality,excess_mortality_cumulative_per_million
count,1681,0,1681,1681,1674.0,1674.0,1669.0,1674.0,1674.0,1669.0,1674.0,1674.0,1669.0,1674.0,1674.0,1669.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1287.0,1287.0,1279.0,1181.0,1284.0,1284.0,1287.0,1287.0,1279.0,1181.0,1284.0,1284.0,1284.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1681.0,0.0,0.0,0.0,0.0
unique,1,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
top,OWID_OCE,,Oceania,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
freq,1681,,1681,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mean,,,,2022-04-24 00:00:00,6928347.665471924,8962.645161290322,8988.566473337327,14297.372759856631,19.727598566308245,19.77851707609347,153793.3330800478,198.9500442054958,199.52542300778907,317.3687108721625,0.43790442054958184,0.4390593169562612,,,,,,,,,,,,,,,,,,,65462032.59362859,24348086.194250192,22838570.472243942,17960398.450465705,68796.38940809968,68744.82866043613,145.34602175602177,54.05988344988344,50.70854573885848,39.87792548687552,1526.3769470404984,22537.78971962617,0.05001791277258567,,,,,,,,,,,,,,,,45038860.0,,,,
min,,,,2020-01-05 00:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,3251.0,3251.0,415.0,1.0,0.0,0.0,0.01,0.01,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,45038860.0,,,,
25%,,,,2021-02-28 00:00:00,58128.0,0.0,258.571,1230.0,0.0,2.286,1290.308,0.0,5.74,27.303,0.0,0.051,,,,,,,,,,,,,,,,,,,52977986.5,26207897.5,25039364.0,14632546.0,6440.0,6573.75,117.625,58.19,55.595,32.49,146.0,0.0,0.0,,,,,,,,,,,,,,,,45038860.0,,,,
50%,,,,2022-04-24 00:00:00,6398939.0,0.0,1645.571,10909.0,0.0,10.429,142041.69,0.0,36.528,242.155,0.0,0.231,,,,,,,,,,,,,,,,,,,80098420.0,28887258.0,27843630.0,23829060.0,21235.5,28733.0,177.84,64.14,61.82,52.91,638.0,511.5,0.001,,,,,,,,,,,,,,,,45038860.0,,,,
75%,,,,2023-06-18 00:00:00,14273981.0,0.0,6171.286,28907.0,0.0,26.143,316849.44,0.0,136.988,641.669,0.0,0.58,,,,,,,,,,,,,,,,,,,86273807.0,28960501.0,28072902.0,24117145.0,85210.25,91348.75,191.55,64.3,62.33,53.55,2028.0,15377.75,0.0345,,,,,,,,,,,,,,,,45038860.0,,,,
max,,,,2024-08-11 00:00:00,15003352.0,593626.0,84803.714,32918.0,1317.0,188.143,333039.8,13177.128,1882.447,730.704,29.234,4.176,,,,,,,,,,,,,,,,,,,88358812.0,28960501.0,28072902.0,25400951.0,439393.0,386459.0,196.18,64.3,62.33,56.4,8581.0,220929.0,0.491,,,,,,,,,,,,,,,,45038860.0,,,,
std,,,,,6617297.82323462,49759.738447961914,16895.352915738476,12950.673630387402,85.9553595791113,26.888546696326035,146888.74406283733,1104.5514119238167,375.0378706614752,287.4750679543249,1.9080065701020195,0.5968596189664456,,,,,,,,,,,,,,,,,,,29218312.427270513,9036957.561482707,9609264.06155653,9500639.104648098,102411.6296895854,96643.2246445948,64.87368888711535,20.06458285472565,21.335371797692076,21.094627262334267,2145.76252419865,45737.107264868486,0.10156881102655767,,,,,,,,,,,,,,,,0.0,,,,
