,iso_code,continent,location,date,total_cases,new_cases,new_cases_smoothed,total_deaths,new_deaths,new_deaths_smoothed,total_cases_per_million,new_cases_per_million,new_cases_smoothed_per_million,total_deaths_per_million,new_deaths_per_million,new_deaths_smoothed_per_million,reproduction_rate,icu_patients,icu_patients_per_million,hosp_patients,hosp_patients_per_million,weekly_icu_admissions,weekly_icu_admissions_per_million,weekly_hosp_admissions,weekly_hosp_admissions_per_million,total_tests,new_tests,total_tests_per_thousand,new_tests_per_thousand,new_tests_smoothed,new_tests_smoothed_per_thousand,positive_rate,tests_per_case,tests_units,total_vaccinations,people_vaccinated,people_fully_vaccinated,total_boosters,new_vaccinations,new_vaccinations_smoothed,total_vaccinations_per_hundred,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred,total_boosters_per_hundred,new_vaccinations_smoothed_per_million,new_people_vaccinated_smoothed,new_people_vaccinated_smoothed_per_hundred,stringency_index,population_density,median_age,aged_65_older,aged_70_older,gdp_per_capita,extreme_poverty,cardiovasc_death_rate,diabetes_prevalence,female_smokers,male_smokers,handwashing_facilities,hospital_beds_per_thousand,life_expectancy,human_development_index,population,excess_mortality_cumulative_absolute,excess_mortality_cumulative,excess_mortality,excess_mortality_cumulative_per_million
count,1674,1674,1674,1674,1674.0,1674.0,1669.0,1674.0,1674.0,1669.0,1674.0,1674.0,1669.0,1674.0,1674.0,1669.0,1012.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,3.0,0.0,81.0,81.0,71.0,68.0,88,97.0,90.0,82.0,15.0,39.0,666.0,97.0,90.0,82.0,15.0,666.0,666.0,666.0,1092.0,1674.0,1674.0,1674.0,1674.0,1674.0,0.0,1674.0,1674.0,1674.0,1674.0,1674.0,1674.0,1674.0,1674.0,1674.0,48.0,48.0,48.0,48.0
unique,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
top,OMN,Asia,Oman,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,tests performed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
freq,1674,1674,1674,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,88,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mean,,,,2022-04-20 12:00:00,285063.4468339307,238.6194743130227,239.3343241461953,3392.9808841099166,2.7646356033452806,2.7729269023367284,60264.22186439664,50.44567025089606,50.59679688436189,717.29788172043,0.5844587813620071,0.5861881366087477,0.8578557312252965,,,,,,,,,2001401.0,,442.7416666666666,,537.5308641975308,0.11924691358024692,0.08815352112676057,31.11617647058823,,2092144.1237113401,914264.5666666667,1132071.536585366,707850.2666666667,1668.7435897435898,10671.073573573574,45.71711340206185,19.97811111111111,24.738902439024393,15.468666666666666,2331.8033033033034,4928.048048048048,0.107512012012012,46.45746336996337,14.979999999999999,30.699999999999992,2.3550000000000004,1.5300000000000002,37960.70900000002,,266.34200000000004,12.61,0.5,15.599999999999996,97.4,1.6,77.86,0.813,4576300.0,2984.550384875,13.611458333333331,9.935833333333335,651.3413417541666
min,,,,2020-01-05 00:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,1986264.0,,439.393,,0.0,0.0,0.0,1.4,,1717.0,1717.0,673.0,32412.0,43.0,0.0,0.04,0.04,0.01,0.71,0.0,0.0,0.0,0.0,14.98,30.7,2.355,1.53,37960.709,,266.342,12.61,0.5,15.6,97.4,1.6,77.86,0.813,4576300.0,-283.7,-7.29,-15.95,-62.442142
25%,,,,2021-02-26 06:00:00,138494.0,0.0,0.0,1549.0,0.0,0.0,29278.51,0.0,0.0,327.468,0.0,0.0,0.53,,,,,,,,,1986264.0,,439.393,,622.0,0.138,0.0301,10.3,,34606.0,24773.0,19019.0,741225.0,1286.0,530.0,0.76,0.54,0.42,16.2,116.0,113.0,0.002,19.44,14.98,30.7,2.355,1.53,37960.709,,266.342,12.61,0.5,15.6,97.4,1.6,77.86,0.813,4576300.0,1323.5249749999998,10.352500000000001,-6.755,291.6719825
50%,,,,2022-04-20 12:00:00,388843.0,0.0,14.429,4624.0,0.0,0.0,82203.875,0.0,3.05,977.543,0.0,0.0,0.95,,,,,,,,,1986264.0,,439.393,,622.0,0.138,0.0459,21.8,,129198.0,82566.5,188810.5,753713.0,1600.0,2443.5,2.82,1.805,4.125,16.47,534.0,1104.5,0.024,45.37,14.98,30.7,2.355,1.53,37960.709,,266.342,12.61,0.5,15.6,97.4,1.6,77.86,0.813,4576300.0,3904.351,14.235,-1.54,840.66067
75%,,,,2023-06-12 18:00:00,399449.0,0.0,234.143,4628.0,0.0,2.143,84446.055,0.0,49.499,978.389,0.0,0.453,1.24,,,,,,,,,2008969.5,,444.416,,622.0,0.138,0.0967,30.275,,4946987.0,2118984.0,2927913.75,769343.5,2032.0,12346.0,108.1,46.3025,63.9825,16.810000000000002,2698.0,3655.5,0.08,75.0,14.98,30.7,2.355,1.53,37960.709,,266.342,12.61,0.5,15.6,97.4,1.6,77.86,0.813,4576300.0,4469.95045,19.1675,12.69,977.96815
max,,,,2024-08-04 00:00:00,399449.0,14960.0,2137.143,4628.0,313.0,44.714,84446.055,3162.639,451.806,978.389,66.17,9.453,2.14,,,,,,,,,2031675.0,,449.439,,622.0,0.138,0.7041,334.9,,7108547.0,3279632.0,3048826.0,779859.0,6747.0,61172.0,155.33,71.67,66.62,17.04,13367.0,39444.0,0.862,100.0,14.98,30.7,2.355,1.53,37960.709,,266.342,12.61,0.5,15.6,97.4,1.6,77.86,0.813,4576300.0,4704.0005,28.99,132.68,1027.9048
