,iso_code,continent,location,date,total_cases,new_cases,new_cases_smoothed,total_deaths,new_deaths,new_deaths_smoothed,total_cases_per_million,new_cases_per_million,new_cases_smoothed_per_million,total_deaths_per_million,new_deaths_per_million,new_deaths_smoothed_per_million,reproduction_rate,icu_patients,icu_patients_per_million,hosp_patients,hosp_patients_per_million,weekly_icu_admissions,weekly_icu_admissions_per_million,weekly_hosp_admissions,weekly_hosp_admissions_per_million,total_tests,new_tests,total_tests_per_thousand,new_tests_per_thousand,new_tests_smoothed,new_tests_smoothed_per_thousand,positive_rate,tests_per_case,tests_units,total_vaccinations,people_vaccinated,people_fully_vaccinated,total_boosters,new_vaccinations,new_vaccinations_smoothed,total_vaccinations_per_hundred,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred,total_boosters_per_hundred,new_vaccinations_smoothed_per_million,new_people_vaccinated_smoothed,new_people_vaccinated_smoothed_per_hundred,stringency_index,population_density,median_age,aged_65_older,aged_70_older,gdp_per_capita,extreme_poverty,cardiovasc_death_rate,diabetes_prevalence,female_smokers,male_smokers,handwashing_facilities,hospital_beds_per_thousand,life_expectancy,human_development_index,population,excess_mortality_cumulative_absolute,excess_mortality_cumulative,excess_mortality,excess_mortality_cumulative_per_million
count,1674,1674,1674,1674,1674.0,1674.0,1669.0,1674.0,1674.0,1669.0,1674.0,1674.0,1669.0,1674.0,1674.0,1669.0,1023.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,679.0,603.0,679.0,603.0,828.0,828.0,828.0,820.0,835,382.0,369.0,292.0,228.0,225.0,1015.0,382.0,369.0,292.0,228.0,1015.0,1015.0,1015.0,1092.0,1674.0,1674.0,1674.0,1674.0,1674.0,1674.0,1674.0,1674.0,1674.0,1674.0,1674.0,1674.0,1674.0,1674.0,1674.0,0.0,0.0,0.0,0.0
unique,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
top,PAK,Asia,Pakistan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,tests performed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
freq,1674,1674,1674,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,835,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mean,,,,2022-04-20 12:00:00,1125683.2449223418,944.2240143369175,947.0527237866986,22638.59557945042,18.313022700119475,18.36789934092271,4619.122326164875,3.874527479091995,3.886140802875974,92.89520848267622,0.0751415770609319,0.07538106650689035,0.9649169110459432,,,,,,,,,10715132.322533136,34953.7943615257,46.30525331369661,0.15103150912106136,34845.99879227053,0.15056642512077295,0.05626570048309179,47.5520731707317,,195048375.41099477,104909230.81300813,90656711.88013698,29242186.083333332,587713.4044444445,335937.9300492611,82.70879581151831,44.48634146341463,38.44236301369864,12.399912280701756,1424.5054187192118,163131.15862068965,0.06913300492610837,52.44674908424909,255.57299999999995,23.5,4.494999999999999,2.7800000000000007,5034.707999999999,4.0,423.03100000000006,8.349999999999998,2.8,36.699999999999996,59.60699999999998,0.5999999999999998,67.26999999999998,0.5570000000000002,235824864.0,,,,
min,,,,2020-01-05 00:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15,,,,,,,,,471.0,16.0,0.002,0.0,242.0,0.001,0.0,3.9,,0.0,0.0,952518.0,2242425.0,8617.0,1056.0,0.0,0.0,0.4,0.95,4.0,0.0,0.0,0.0,255.573,23.5,4.495,2.78,5034.708,4.0,423.031,8.35,2.8,36.7,59.607,0.6,67.27,0.557,235824864.0,,,,
25%,,,,2021-02-26 06:00:00,569846.0,0.0,0.0,12563.0,0.0,0.0,2338.303,0.0,0.0,51.551,0.0,0.0,0.77,,,,,,,,,2612137.5,24142.0,11.288,0.1045,23265.0,0.10075,0.018574999999999998,12.5,,101073307.75,73979036.0,48980890.75,7837032.75,162199.0,22751.0,42.86,31.37,20.767500000000002,3.3225,96.5,851.5,0.0,41.51,255.573,23.5,4.495,2.78,5034.708,4.0,423.031,8.35,2.8,36.7,59.607,0.6,67.27,0.557,235824864.0,,,,
50%,,,,2022-04-20 12:00:00,1527151.0,0.0,121.571,30363.0,0.0,1.0,6266.503,0.0,0.499,124.591,0.0,0.004,0.95,,,,,,,,,8718555.0,37690.0,37.677,0.163,38033.5,0.164,0.0433,22.700000000000003,,245770367.0,134295087.0,121090183.5,34881639.5,455938.0,136638.0,104.22,56.95,51.349999999999994,14.795,579.0,30897.0,0.013,50.46,255.573,23.5,4.495,2.78,5034.708,4.0,423.031,8.35,2.8,36.7,59.607,0.6,67.27,0.557,235824864.0,,,,
75%,,,,2023-06-12 18:00:00,1580631.0,0.0,1283.0,30656.0,0.0,27.286,6485.952,0.0,5.265,125.794,0.0,0.112,1.16,,,,,,,,,18379187.5,46036.0,79.4255,0.199,45483.5,0.19625,0.079625,52.4,,291956574.75,139030380.0,128390251.75,46032243.75,943523.0,600774.0,123.8,58.95,54.4475,19.5175,2547.5,246746.5,0.105,64.35,255.573,23.5,4.495,2.78,5034.708,4.0,423.031,8.35,2.8,36.7,59.607,0.6,67.27,0.557,235824864.0,,,,
max,,,,2024-08-04 00:00:00,1580631.0,49994.0,7142.0,30656.0,958.0,136.857,6485.952,205.145,29.306,125.794,3.931,0.562,2.33,,,,,,,,,28889568.0,68002.0,124.846,0.294,63396.0,0.274,0.2562,348.9,,340974144.0,165567890.0,140475871.0,53152375.0,2339218.0,2175773.0,144.59,70.21,59.57,22.54,9226.0,2148477.0,0.911,96.3,255.573,23.5,4.495,2.78,5034.708,4.0,423.031,8.35,2.8,36.7,59.607,0.6,67.27,0.557,235824864.0,,,,
