,iso_code,continent,location,date,total_cases,new_cases,new_cases_smoothed,total_deaths,new_deaths,new_deaths_smoothed,total_cases_per_million,new_cases_per_million,new_cases_smoothed_per_million,total_deaths_per_million,new_deaths_per_million,new_deaths_smoothed_per_million,reproduction_rate,icu_patients,icu_patients_per_million,hosp_patients,hosp_patients_per_million,weekly_icu_admissions,weekly_icu_admissions_per_million,weekly_hosp_admissions,weekly_hosp_admissions_per_million,total_tests,new_tests,total_tests_per_thousand,new_tests_per_thousand,new_tests_smoothed,new_tests_smoothed_per_thousand,positive_rate,tests_per_case,tests_units,total_vaccinations,people_vaccinated,people_fully_vaccinated,total_boosters,new_vaccinations,new_vaccinations_smoothed,total_vaccinations_per_hundred,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred,total_boosters_per_hundred,new_vaccinations_smoothed_per_million,new_people_vaccinated_smoothed,new_people_vaccinated_smoothed_per_hundred,stringency_index,population_density,median_age,aged_65_older,aged_70_older,gdp_per_capita,extreme_poverty,cardiovasc_death_rate,diabetes_prevalence,female_smokers,male_smokers,handwashing_facilities,hospital_beds_per_thousand,life_expectancy,human_development_index,population,excess_mortality_cumulative_absolute,excess_mortality_cumulative,excess_mortality,excess_mortality_cumulative_per_million
count,1674,1674,1674,1674,1674.0,1674.0,1669.0,1674.0,1674.0,1669.0,1674.0,1674.0,1669.0,1674.0,1674.0,1669.0,1003.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,744.0,740.0,744.0,740.0,744.0,744.0,744.0,744.0,751,264.0,251.0,247.0,63.0,192.0,809.0,264.0,251.0,247.0,63.0,809.0,809.0,809.0,1092.0,1674.0,1674.0,1674.0,1674.0,1674.0,1674.0,1674.0,1674.0,1674.0,1674.0,1674.0,1674.0,1674.0,1674.0,1674.0,48.0,48.0,48.0,48.0
unique,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
top,PRY,South America,Paraguay,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,tests performed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
freq,1674,1674,1674,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,751,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mean,,,,2022-04-20 12:00:00,479704.7622461171,439.52150537634407,440.83822828040746,13407.354241338113,11.875746714456392,11.91137028160575,70957.40307347671,65.0135376344086,65.2083133612942,1983.2012395459976,1.7566463560334529,1.7619113241461954,0.8421834496510467,,,,,,,,,1021678.6787634408,3510.0945945945946,152.40294086021504,0.5235878378378379,3500.5994623655915,0.5221895161290323,0.17719153225806453,18.021908602150535,,2974009.632575758,1452959.203187251,1014671.7611336033,1345226.1746031747,21610.234375,12030.095179233622,43.85958333333333,21.427808764940238,14.963927125506073,19.83888888888889,1774.14956736712,4937.128553770087,0.07281458590852906,43.839917582417584,17.144000000000002,26.5,6.378,3.8329999999999993,8827.009999999998,1.6999999999999995,199.128,8.269999999999998,5.0,21.6,79.60199999999998,1.3000000000000005,74.25,0.7279999999999999,6780745.0,17720.691029520833,21.169375,19.183958333333333,2608.306483645833
min,,,,2020-01-05 00:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.18,,,,,,,,,1.0,6.0,0.0,0.001,8.0,0.001,0.0083,1.6,,200.0,200.0,1.0,6360.0,1.0,37.0,0.0,0.0,0.0,0.09,5.0,0.0,0.0,0.0,17.144,26.5,6.378,3.833,8827.01,1.7,199.128,8.27,5.0,21.6,79.602,1.3,74.25,0.728,6780745.0,-345.70007,-1.72,-14.91,-52.230812
25%,,,,2021-02-26 06:00:00,149684.0,0.0,0.0,3026.0,0.0,0.0,22141.094,0.0,0.0,447.603,0.0,0.0,0.56,,,,,,,,,222550.5,1871.0,33.19775,0.279,1870.75,0.279,0.039775000000000005,3.6,,135779.75,109028.5,13197.0,952760.5,1393.0,1430.0,2.0,1.6099999999999999,0.195,14.05,211.0,196.0,0.003,13.89,17.144,26.5,6.378,3.833,8827.01,1.7,199.128,8.27,5.0,21.6,79.602,1.3,74.25,0.728,6780745.0,3000.375,8.7825,-3.805,448.8374
50%,,,,2022-04-20 12:00:00,648682.0,0.0,47.571,18786.0,0.0,1.286,95952.336,0.0,7.037,2778.805,0.0,0.19,0.99,,,,,,,,,818831.0,2883.5,122.1445,0.43,2775.5,0.414,0.20055,5.0,,1180959.0,769709.0,215196.0,1494950.0,8987.0,5263.0,17.415,11.35,3.17,22.05,776.0,580.0,0.009,45.37,17.144,26.5,6.378,3.833,8827.01,1.7,199.128,8.27,5.0,21.6,79.602,1.3,74.25,0.728,6780745.0,23914.9015,24.61,6.359999999999999,3545.6578499999996
75%,,,,2023-06-12 18:00:00,735759.0,0.0,558.714,19880.0,0.0,13.286,108832.664,0.0,82.644,2940.628,0.0,1.965,1.09,,,,,,,,,1818547.0,4256.75,271.2715,0.63475,4286.0,0.63925,0.28047500000000003,25.125,,4689671.0,2285762.0,1809568.5,1956519.0,23763.0,17414.0,69.1625,33.71,26.69,28.854999999999997,2568.0,4390.0,0.065,63.89,17.144,26.5,6.378,3.833,8827.01,1.7,199.128,8.27,5.0,21.6,79.602,1.3,74.25,0.728,6780745.0,27334.65075,31.69,22.322499999999998,4015.72255
max,,,,2024-08-04 00:00:00,735759.0,36690.0,5241.429,19880.0,952.0,136.0,108832.664,5427.144,775.306,2940.628,140.819,20.117,1.42,,,,,,,,,2609819.0,14914.0,389.304,2.225,12655.0,1.888,0.639,121.1,,9745545.0,3993938.0,3546685.0,2204922.0,141096.0,90584.0,143.72,58.9,52.31,32.52,13359.0,79467.0,1.172,94.44,17.144,26.5,6.378,3.833,8827.01,1.7,199.128,8.27,5.0,21.6,79.602,1.3,74.25,0.728,6780745.0,29021.797,36.93,154.92,4229.641
