,iso_code,continent,location,date,total_cases,new_cases,new_cases_smoothed,total_deaths,new_deaths,new_deaths_smoothed,total_cases_per_million,new_cases_per_million,new_cases_smoothed_per_million,total_deaths_per_million,new_deaths_per_million,new_deaths_smoothed_per_million,reproduction_rate,icu_patients,icu_patients_per_million,hosp_patients,hosp_patients_per_million,weekly_icu_admissions,weekly_icu_admissions_per_million,weekly_hosp_admissions,weekly_hosp_admissions_per_million,total_tests,new_tests,total_tests_per_thousand,new_tests_per_thousand,new_tests_smoothed,new_tests_smoothed_per_thousand,positive_rate,tests_per_case,tests_units,total_vaccinations,people_vaccinated,people_fully_vaccinated,total_boosters,new_vaccinations,new_vaccinations_smoothed,total_vaccinations_per_hundred,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred,total_boosters_per_hundred,new_vaccinations_smoothed_per_million,new_people_vaccinated_smoothed,new_people_vaccinated_smoothed_per_hundred,stringency_index,population_density,median_age,aged_65_older,aged_70_older,gdp_per_capita,extreme_poverty,cardiovasc_death_rate,diabetes_prevalence,female_smokers,male_smokers,handwashing_facilities,hospital_beds_per_thousand,life_expectancy,human_development_index,population,excess_mortality_cumulative_absolute,excess_mortality_cumulative,excess_mortality,excess_mortality_cumulative_per_million
count,1674,1674,1674,1674,1674.0,1674.0,1669.0,1674.0,1674.0,1669.0,1674.0,1674.0,1669.0,1674.0,1674.0,1669.0,1021.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,726.0,0.0,726.0,0.0,721.0,721.0,726.0,719.0,728,1035.0,1035.0,1014.0,787.0,1034.0,1034.0,1035.0,1035.0,1014.0,787.0,1034.0,1034.0,1034.0,1092.0,1674.0,1674.0,1674.0,1674.0,1674.0,1674.0,1674.0,1674.0,1674.0,0.0,0.0,1674.0,1674.0,1674.0,1674.0,145.0,145.0,145.0,145.0
unique,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
top,PER,South America,Peru,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,tests performed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
freq,1674,1674,1674,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,728,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mean,,,,2022-04-20 12:00:00,2866417.860812425,2704.2873357228195,2712.3888765727984,169138.48207885303,132.0041816009558,132.39964409826243,85627.50063918756,80.78423476702508,81.02623726782505,5052.614998207885,3.9433160095579445,3.9551509886159377,1.0810088148873653,,,,,,,,,11343546.385674931,,336.44927823691455,,39907.62690707351,1.1836560332871011,0.11795454545454544,16.92865090403338,,61808099.29178744,23357376.626086958,21760168.84122288,22530732.85133418,88403.01934235977,88464.97292069632,181.52377777777778,68.59825120772948,63.907357001972386,66.17016518424396,2598.131528046422,29620.677949709865,0.08702611218568666,53.81139194139194,25.129,29.100000000000005,7.150999999999997,4.454999999999999,12236.706000000002,3.5,85.755,5.950000000000002,4.799999999999998,,,1.6,76.74000000000001,0.7769999999999999,34049588.0,126376.3690385655,49.39937931034483,45.09986206896552,3737.0133307301385
min,,,,2020-01-05 00:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.56,,,,,,,,,39599.0,,1.175,,7713.0,0.229,0.0,3.0,,3858.0,3858.0,2150.0,20482.0,114.0,2731.0,0.01,0.01,0.01,0.06,80.0,120.0,0.0,0.0,25.129,29.1,7.151,4.455,12236.706,3.5,85.755,5.95,4.8,,,1.6,76.74,0.777,34049588.0,-3109.7004,-7.66,-13.7,-93.371025
25%,,,,2021-02-26 06:00:00,1269523.0,0.0,13.571,116442.0,0.0,0.429,37924.02,0.0,0.405,3478.431,0.0,0.013,0.94,,,,,,,,,3978272.75,,117.99575,,22413.0,0.665,0.037,6.0,,34607891.0,18902061.0,16637339.0,16426014.5,15084.25,16855.0,101.63499999999999,55.515,48.86,48.239999999999995,495.25,1814.5,0.005,32.86,25.129,29.1,7.151,4.455,12236.706,3.5,85.755,5.95,4.8,,,1.6,76.74,0.777,34049588.0,74550.2,47.0,1.43,2238.4243
50%,,,,2022-04-20 12:00:00,3554669.0,0.0,834.429,212596.0,0.0,25.286,106187.39,0.0,24.927,6350.806,0.0,0.755,1.02,,,,,,,,,9610235.5,,285.0395,,38856.0,1.152,0.1175,8.4,,79072548.0,29611177.0,27900579.5,27157755.0,36776.5,39656.5,232.23,86.96,81.945,79.76,1165.0,4784.5,0.014,60.19,25.129,29.1,7.151,4.455,12236.706,3.5,85.755,5.95,4.8,,,1.6,76.74,0.777,34049588.0,173505.4,55.19,8.98,5146.167
75%,,,,2023-06-12 18:00:00,4505220.0,0.0,3589.0,220516.0,0.0,143.571,134582.86,0.0,107.213,6587.398,0.0,4.289,1.19,,,,,,,,,18078838.0,,536.21775,,46624.0,1.383,0.168,25.3,,88610884.0,30414792.5,28600743.0,30522931.5,140164.75,155006.25,260.24,89.32499999999999,83.9975,89.64500000000001,4552.75,40421.0,0.1185,73.15,25.129,29.1,7.151,4.455,12236.706,3.5,85.755,5.95,4.8,,,1.6,76.74,0.777,34049588.0,190923.7,64.11,85.81,5607.225
max,,,,2024-08-04 00:00:00,4526977.0,326730.0,46675.714,220975.0,5727.0,818.143,135232.81,9760.291,1394.327,6601.11,171.081,24.44,1.99,,,,,,,,,28971116.0,,859.283,,151849.0,4.504,0.333,125.0,,91412580.0,30563708.0,28709644.0,32139228.0,603810.0,390093.0,268.47,89.76,84.32,94.39,11457.0,317610.0,0.933,96.3,25.129,29.1,7.151,4.455,12236.706,3.5,85.755,5.95,4.8,,,1.6,76.74,0.777,34049588.0,201363.17,78.08,217.01,5913.8213
std,,,,,1664312.2018500664,15477.587289539502,5292.623273291088,74025.44677864645,659.1116569386783,217.26777332261565,49717.41736418071,462.3565714341578,158.10467738670852,2211.3364298331603,19.689418274159202,6.4903991034106125,0.2608681977338139,,,,,,,,,8478345.834734948,,251.46752843259296,,23643.801609707763,0.7012705896128184,0.07866287298469905,17.711874972169742,,32781204.29768895,10602348.013090516,10062961.190487243,10050233.309959613,99989.01921628723,91613.72650247412,96.27492506592567,31.13785884913402,29.553822293549477,29.516411734448926,2690.5943394408164,48613.88524226658,0.1427416322144723,26.472588224424776,0.0,3.553775299526064e-15,2.665331474644548e-15,8.88443824881516e-16,1.819532953357345e-12,0.0,0.0,1.776887649763032e-15,1.776887649763032e-15,,,0.0,1.4215101198104257e-14,1.110554781101895e-16,0.0,74633.91818359947,23.28637928121793,63.30033887247154,2194.5035729722194
