,iso_code,continent,location,date,total_cases,new_cases,new_cases_smoothed,total_deaths,new_deaths,new_deaths_smoothed,total_cases_per_million,new_cases_per_million,new_cases_smoothed_per_million,total_deaths_per_million,new_deaths_per_million,new_deaths_smoothed_per_million,reproduction_rate,icu_patients,icu_patients_per_million,hosp_patients,hosp_patients_per_million,weekly_icu_admissions,weekly_icu_admissions_per_million,weekly_hosp_admissions,weekly_hosp_admissions_per_million,total_tests,new_tests,total_tests_per_thousand,new_tests_per_thousand,new_tests_smoothed,new_tests_smoothed_per_thousand,positive_rate,tests_per_case,tests_units,total_vaccinations,people_vaccinated,people_fully_vaccinated,total_boosters,new_vaccinations,new_vaccinations_smoothed,total_vaccinations_per_hundred,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred,total_boosters_per_hundred,new_vaccinations_smoothed_per_million,new_people_vaccinated_smoothed,new_people_vaccinated_smoothed_per_hundred,stringency_index,population_density,median_age,aged_65_older,aged_70_older,gdp_per_capita,extreme_poverty,cardiovasc_death_rate,diabetes_prevalence,female_smokers,male_smokers,handwashing_facilities,hospital_beds_per_thousand,life_expectancy,human_development_index,population,excess_mortality_cumulative_absolute,excess_mortality_cumulative,excess_mortality,excess_mortality_cumulative_per_million
count,1674,1674,1674,1674,1674.0,1673.0,1668.0,1674.0,1674.0,1669.0,1674.0,1673.0,1668.0,1674.0,1674.0,1669.0,1024.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,758.0,756.0,758.0,756.0,783.0,783.0,780.0,780.0,790,258.0,135.0,223.0,98.0,130.0,749.0,258.0,135.0,223.0,98.0,749.0,749.0,749.0,1092.0,1674.0,1674.0,1674.0,1674.0,1674.0,0.0,1674.0,1674.0,1674.0,1674.0,1674.0,1674.0,1674.0,1674.0,1674.0,46.0,46.0,46.0,46.0
unique,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
top,PHL,Asia,Philippines,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,people tested,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
freq,1674,1674,1674,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,790,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mean,,,,2022-04-20 12:00:00,2623631.133213859,2513.7250448296472,2521.260193045564,42678.61111111111,39.9426523297491,40.062308568004795,23021.508702508963,22.057114166168557,22.12323141486811,374.49094563918754,0.3504886499402628,0.35157699221090477,1.04533203125,,,,,,,,,12197108.965699209,36795.6626984127,107.10461477572561,0.3230886243386244,36257.59003831418,0.3183920817369093,0.0990546153846154,25.503589743589743,,63697628.325581394,25171365.14814815,32000573.251121078,11515977.214285715,426459.6153846154,245306.5567423231,55.121705426356584,21.782444444444444,27.691748878923768,9.96561224489796,2122.7743658210948,108716.80240320427,0.09405073431241656,58.69608058608058,351.873,25.199999999999992,4.802999999999999,2.6610000000000005,7599.187999999998,,370.43699999999995,7.07,7.799999999999998,40.800000000000004,78.46299999999997,1.0,71.23000000000002,0.718,115559008.0,147466.9609695652,8.065434782608696,11.018478260869564,1270.9721927391304
min,,,,2020-01-05 00:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.35,,,,,,,,,20276.0,344.0,0.178,0.003,1627.0,0.014,0.003,2.2,,0.0,0.0,1344.0,188084.0,756.0,756.0,0.0,0.0,0.0,0.16,7.0,528.0,0.0,0.0,351.873,25.2,4.803,2.661,7599.188,,370.437,7.07,7.8,40.8,78.463,1.0,71.23,0.718,115559008.0,-17794.6,-7.26,-11.28,-158.6099
25%,,,,2021-02-26 06:00:00,561168.0,0.0,157.857,12068.0,0.0,0.714,4924.066,0.0,1.385,105.893,0.0,0.006,0.87,,,,,,,,,3886930.75,24214.0,34.1315,0.21275,23630.5,0.2075,0.04815,7.8,,6353605.0,1717239.0,2945907.5,4969119.0,79059.75,43741.0,5.495,1.4849999999999999,2.55,4.2975,379.0,14841.0,0.013,30.62,351.873,25.2,4.803,2.661,7599.188,,370.437,7.07,7.8,40.8,78.463,1.0,71.23,0.718,115559008.0,-3894.249925,-1.6075,-0.44999999999999996,-34.60263425
50%,,,,2022-04-20 12:00:00,3682693.0,0.0,588.0,59969.0,0.0,14.429,32314.432,0.0,5.16,526.208,0.0,0.127,0.98,,,,,,,,,10562346.5,35961.0,92.7495,0.316,33873.0,0.297,0.07164999999999999,14.0,,45374336.5,7538128.0,23981240.0,12430096.0,294505.0,134323.0,39.265,6.52,20.75,10.760000000000002,1162.0,55766.0,0.048,67.13,351.873,25.2,4.803,2.661,7599.188,,370.437,7.07,7.8,40.8,78.463,1.0,71.23,0.718,115559008.0,229447.155,12.235,3.9749999999999996,2014.8092499999998
75%,,,,2023-06-12 18:00:00,4111331.0,0.0,2451.429,66481.0,0.0,57.286,36075.59,0.0,21.51,583.349,0.0,0.503,1.14,,,,,,,,,21289791.25,50841.75,186.949,0.44625000000000004,49458.0,0.4345,0.12815,20.8,,120420693.5,69854445.0,60886048.0,18002996.75,719059.0,368897.0,104.20500000000001,60.445,52.69,15.58,3192.0,149420.0,0.129,74.54,351.873,25.2,4.803,2.661,7599.188,,370.437,7.07,7.8,40.8,78.463,1.0,71.23,0.718,115559008.0,255871.525,14.7375,8.307500000000001,2214.2066
max,,,,2024-08-04 00:00:00,4173631.0,239943.0,34277.571,66864.0,1643.0,234.714,36622.254,2105.422,300.775,586.71,14.417,2.06,4.22,,,,,,,,,28472887.0,86017.0,250.025,0.755,78823.0,0.692,0.4611,335.5,,189317158.0,82684774.0,78443972.0,23811248.0,2648872.0,1862695.0,163.83,71.55,67.88,20.61,16119.0,768187.0,0.665,100.0,351.873,25.2,4.803,2.661,7599.188,,370.437,7.07,7.8,40.8,78.463,1.0,71.23,0.718,115559008.0,280892.2,19.32,123.25,2393.8853
std,,,,,1676768.6729522003,13885.647383126116,4708.762545523816,26653.597021871617,171.6769379006621,53.34632607062895,14713.09889711791,121.84203151949889,41.31788171475549,233.87663284623108,1.506418309534925,0.46809602316659027,0.4152403196687045,,,,,,,,,9254624.672737807,18670.079418276517,81.26623194272297,0.16394962504544539,17487.019449709827,0.15356985893738906,0.0840303086816325,36.70719184549429,,60613872.76473033,32218101.515721995,27846006.059357565,7266045.110123809,415809.51477141556,285348.0833906881,52.452679620919604,27.88046918347228,24.096865784191493,6.2875212801306635,2469.2941837428107,150787.4281902627,0.13053556931251914,23.689056979003052,0.0,7.107550599052128e-15,8.88443824881516e-16,4.44221912440758e-16,1.819532953357345e-12,,5.686040479241703e-14,0.0,1.776887649763032e-15,7.107550599052128e-15,2.8430202396208514e-14,0.0,1.4215101198104257e-14,0.0,0.0,125265.51897331889,8.67423072644786,24.09601958529816,1078.2605004219697
