,iso_code,continent,location,date,total_cases,new_cases,new_cases_smoothed,total_deaths,new_deaths,new_deaths_smoothed,total_cases_per_million,new_cases_per_million,new_cases_smoothed_per_million,total_deaths_per_million,new_deaths_per_million,new_deaths_smoothed_per_million,reproduction_rate,icu_patients,icu_patients_per_million,hosp_patients,hosp_patients_per_million,weekly_icu_admissions,weekly_icu_admissions_per_million,weekly_hosp_admissions,weekly_hosp_admissions_per_million,total_tests,new_tests,total_tests_per_thousand,new_tests_per_thousand,new_tests_smoothed,new_tests_smoothed_per_thousand,positive_rate,tests_per_case,tests_units,total_vaccinations,people_vaccinated,people_fully_vaccinated,total_boosters,new_vaccinations,new_vaccinations_smoothed,total_vaccinations_per_hundred,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred,total_boosters_per_hundred,new_vaccinations_smoothed_per_million,new_people_vaccinated_smoothed,new_people_vaccinated_smoothed_per_hundred,stringency_index,population_density,median_age,aged_65_older,aged_70_older,gdp_per_capita,extreme_poverty,cardiovasc_death_rate,diabetes_prevalence,female_smokers,male_smokers,handwashing_facilities,hospital_beds_per_thousand,life_expectancy,human_development_index,population,excess_mortality_cumulative_absolute,excess_mortality_cumulative,excess_mortality,excess_mortality_cumulative_per_million
count,1674,1674,1674,1674,1674.0,1674.0,1669.0,1674.0,1674.0,1669.0,1674.0,1674.0,1669.0,1674.0,1674.0,1669.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,6.0,6.0,4.0,1.0,0.0,440.0,6.0,6.0,4.0,1.0,440.0,440.0,440.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1674.0,0.0,0.0,0.0,0.0
unique,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
top,PCN,Oceania,Pitcairn,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
freq,1674,1674,1674,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mean,,,,2022-04-20 12:00:00,1.7753882915173238,0.0023894862604540022,0.002394847213900539,0.0,0.0,0.0,39453.07363799283,53.09969534050179,53.25877231875375,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,77.5,47.0,40.0,23.0,,0.09772727272727273,164.895,100.0,85.10749999999999,48.94,2079.3431818181816,0.0,0.0,,,,,,,,,,,,,,,,47.0,,,,
min,,,,2020-01-05 00:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,47.0,47.0,30.0,23.0,,0.0,100.0,100.0,63.83,48.94,0.0,0.0,0.0,,,,,,,,,,,,,,,,47.0,,,,
25%,,,,2021-02-26 06:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,54.5,47.0,34.5,23.0,,0.0,115.95750000000001,100.0,73.4075,48.94,0.0,0.0,0.0,,,,,,,,,,,,,,,,47.0,,,,
50%,,,,2022-04-20 12:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,80.0,47.0,41.5,23.0,,0.0,170.215,100.0,88.3,48.94,0.0,0.0,0.0,,,,,,,,,,,,,,,,47.0,,,,
75%,,,,2023-06-12 18:00:00,4.0,0.0,0.0,0.0,0.0,0.0,88888.89,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,91.25,47.0,47.0,23.0,,0.0,194.15,100.0,100.0,48.94,0.0,0.0,0.0,,,,,,,,,,,,,,,,47.0,,,,
max,,,,2024-08-04 00:00:00,4.0,4.0,0.571,0.0,0.0,0.0,88888.89,88888.89,12698.413,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,117.0,47.0,47.0,23.0,,1.0,248.94,100.0,100.0,48.94,21277.0,0.0,0.0,,,,,,,,,,,,,,,,47.0,,,,
std,,,,,1.9879412313438884,0.09776474334756885,0.036912583847985445,0.0,0.0,0.0,44176.47235984787,2172.54987932507,820.8953320470201,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,27.289191999764302,0.0,8.445906306213285,,,0.29728355297899695,58.06339010081999,0.0,17.969257775434134,,6325.302156734119,0.0,0.0,,,,,,,,,,,,,,,,0.0,,,,
