,iso_code,continent,location,date,total_cases,new_cases,new_cases_smoothed,total_deaths,new_deaths,new_deaths_smoothed,total_cases_per_million,new_cases_per_million,new_cases_smoothed_per_million,total_deaths_per_million,new_deaths_per_million,new_deaths_smoothed_per_million,reproduction_rate,icu_patients,icu_patients_per_million,hosp_patients,hosp_patients_per_million,weekly_icu_admissions,weekly_icu_admissions_per_million,weekly_hosp_admissions,weekly_hosp_admissions_per_million,total_tests,new_tests,total_tests_per_thousand,new_tests_per_thousand,new_tests_smoothed,new_tests_smoothed_per_thousand,positive_rate,tests_per_case,tests_units,total_vaccinations,people_vaccinated,people_fully_vaccinated,total_boosters,new_vaccinations,new_vaccinations_smoothed,total_vaccinations_per_hundred,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred,total_boosters_per_hundred,new_vaccinations_smoothed_per_million,new_people_vaccinated_smoothed,new_people_vaccinated_smoothed_per_hundred,stringency_index,population_density,median_age,aged_65_older,aged_70_older,gdp_per_capita,extreme_poverty,cardiovasc_death_rate,diabetes_prevalence,female_smokers,male_smokers,handwashing_facilities,hospital_beds_per_thousand,life_expectancy,human_development_index,population,excess_mortality_cumulative_absolute,excess_mortality_cumulative,excess_mortality,excess_mortality_cumulative_per_million
count,1674,1674,1674,1674,1674.0,1674.0,1669.0,1674.0,1674.0,1669.0,1674.0,1674.0,1669.0,1674.0,1674.0,1669.0,1024.0,0.0,0.0,729.0,729.0,0.0,0.0,0.0,0.0,119.0,0.0,119.0,0.0,820.0,820.0,820.0,820.0,827,948.0,933.0,906.0,694.0,857.0,1047.0,948.0,933.0,906.0,694.0,1047.0,1047.0,1047.0,1092.0,1674.0,1674.0,1674.0,1674.0,1674.0,0.0,1674.0,1674.0,1674.0,1674.0,0.0,1674.0,1674.0,1674.0,1674.0,209.0,209.0,209.0,209.0
unique,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
top,POL,Europe,Poland,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,tests performed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
freq,1674,1674,1674,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,827,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mean,,,,2022-04-20 12:00:00,4186834.360215054,3984.9456391875747,3995.61881605752,81936.5788530466,72.11827956989248,72.33230677052127,109072.66627777778,103.81319593787335,104.09123906530856,2134.5580818399044,1.8787753882915172,1.8843343319352903,1.043388671875,,,9756.670781893004,244.79101371742112,,,,,15680071.285714285,,409.318781512605,,45059.9756097561,1.1762707317073173,0.11477975609756097,49.660609756097564,,45773532.73417722,19527401.351554126,19083777.362030905,13058460.698847262,48482.42940490082,55456.74498567335,114.8439240506329,48.99369774919614,47.88059602649007,32.76317002881844,1391.3973256924546,21880.647564469913,0.05487965616045846,39.93804945054945,124.02700000000002,41.800000000000004,16.763000000000005,10.202,27216.445000000003,,227.331,5.909999999999999,23.300000000000008,33.10000000000001,,6.620000000000001,78.73000000000002,0.8800000000000002,39857144.0,110983.91409028709,10.60645933014354,9.162153110047848,2781.6898171124403
min,,,,2020-01-05 00:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.34,,,271.0,6.799,,,,,603.0,,0.016,,834.0,0.022,0.002,2.5,,2000.0,2000.0,671.0,836725.0,1.0,36.0,0.01,0.01,0.0,2.1,1.0,3.0,0.0,0.0,124.027,41.8,16.763,10.202,27216.445,,227.331,5.91,23.3,33.1,,6.62,78.73,0.88,39857144.0,-7514.3,-7.39,-14.44,-195.54044
25%,,,,2021-02-26 06:00:00,1640930.0,0.0,157.714,42241.0,0.0,1.857,42748.434,0.0,4.109,1100.435,0.0,0.048,0.82,,,1929.0,48.398,,,,,3365873.5,,87.864,,19653.25,0.51275,0.024,5.0,,37594098.0,19813605.0,19802765.0,12030363.25,620.0,1528.0,94.32,49.71,49.6825,30.185,38.5,117.5,0.0,14.81,124.027,41.8,16.763,10.202,27216.445,,227.331,5.91,23.3,33.1,,6.62,78.73,0.88,39857144.0,61074.902,9.31,-3.5,1594.3235
50%,,,,2022-04-20 12:00:00,5984762.0,0.0,525.286,115837.0,0.0,9.286,155911.1,0.0,13.684,3017.71,0.0,0.242,1.0150000000000001,,,5913.0,148.355,,,,,14979671.0,,391.035,,39324.5,1.0265,0.0763,13.15,,54632458.0,22737751.0,22519136.5,14967794.5,7187.0,16245.0,137.07,57.05,56.5,37.55,408.0,1206.0,0.003,38.41,124.027,41.8,16.763,10.202,27216.445,,227.331,5.91,23.3,33.1,,6.62,78.73,0.88,39857144.0,153821.1,14.03,2.17,3754.659
75%,,,,2023-06-12 18:00:00,6517427.0,0.0,3491.0,119622.0,0.0,47.857,169787.73,0.0,90.945,3116.314,0.0,1.247,1.25,,,17154.0,430.387,,,,,24542145.5,,640.6575,,60803.0,1.58725,0.20065,41.6,,57925459.25,22870731.0,22642053.5,15359704.5,48869.0,72576.0,145.33,57.38,56.81,38.54,1820.5,24507.0,0.0615,64.81,124.027,41.8,16.763,10.202,27216.445,,227.331,5.91,23.3,33.1,,6.62,78.73,0.88,39857144.0,169917.72,16.07,10.6,4250.7764
max,,,,2024-08-04 00:00:00,6670799.0,334382.0,47768.857,120726.0,3773.0,539.0,173783.28,8711.101,1244.443,3145.075,98.292,14.042,2.51,,,34864.0,874.724,,,,,36962382.0,,964.881,,157110.0,4.101,0.4069,510.3,,58032403.0,22877472.0,22649355.0,15394535.0,638504.0,341329.0,145.6,57.4,56.83,38.62,8564.0,200892.0,0.504,87.04,124.027,41.8,16.763,10.202,27216.445,,227.331,5.91,23.3,33.1,,6.62,78.73,0.88,39857144.0,181192.48,18.93,108.42,4447.0317
