,iso_code,continent,location,date,total_cases,new_cases,new_cases_smoothed,total_deaths,new_deaths,new_deaths_smoothed,total_cases_per_million,new_cases_per_million,new_cases_smoothed_per_million,total_deaths_per_million,new_deaths_per_million,new_deaths_smoothed_per_million,reproduction_rate,icu_patients,icu_patients_per_million,hosp_patients,hosp_patients_per_million,weekly_icu_admissions,weekly_icu_admissions_per_million,weekly_hosp_admissions,weekly_hosp_admissions_per_million,total_tests,new_tests,total_tests_per_thousand,new_tests_per_thousand,new_tests_smoothed,new_tests_smoothed_per_thousand,positive_rate,tests_per_case,tests_units,total_vaccinations,people_vaccinated,people_fully_vaccinated,total_boosters,new_vaccinations,new_vaccinations_smoothed,total_vaccinations_per_hundred,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred,total_boosters_per_hundred,new_vaccinations_smoothed_per_million,new_people_vaccinated_smoothed,new_people_vaccinated_smoothed_per_hundred,stringency_index,population_density,median_age,aged_65_older,aged_70_older,gdp_per_capita,extreme_poverty,cardiovasc_death_rate,diabetes_prevalence,female_smokers,male_smokers,handwashing_facilities,hospital_beds_per_thousand,life_expectancy,human_development_index,population,excess_mortality_cumulative_absolute,excess_mortality_cumulative,excess_mortality,excess_mortality_cumulative_per_million
count,1674,1674,1674,1674,1674.0,1674.0,1669.0,1674.0,1674.0,1669.0,1674.0,1674.0,1669.0,1674.0,1674.0,1669.0,1025.0,765.0,765.0,774.0,774.0,0.0,0.0,0.0,0.0,823.0,822.0,823.0,822.0,816.0,816.0,815.0,815.0,823,144.0,144.0,144.0,144.0,0.0,1001.0,144.0,144.0,144.0,144.0,1001.0,1001.0,1001.0,1092.0,1674.0,1674.0,1674.0,1674.0,1674.0,1674.0,1674.0,1674.0,1674.0,1674.0,0.0,1674.0,1674.0,1674.0,1674.0,209.0,209.0,209.0,209.0
unique,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
top,PRT,Europe,Portugal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,tests performed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
freq,1674,1674,1674,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,823,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mean,,,,2022-04-20 12:00:00,3151463.0896057347,3383.577658303465,3393.1723942480526,18591.80585424134,17.20967741935484,17.235557819053327,302528.5969796894,324.8107222222222,325.7317753145597,1784.7433978494626,1.6520806451612904,1.654587777112043,1.031258536585366,184.78954248366014,17.99163267973856,1232.3372093023256,119.98386563307494,,,,,14002798.810449574,52099.03406326034,1360.8025856622114,5.063030413625304,52293.53799019608,5.081949754901961,0.08478306748466258,33.30564417177914,,20094467.430555556,8121689.631944444,7167315.638888889,4394399.958333333,,28287.51248751249,195.64541666666668,79.07486111111112,69.783125,42.78513888888889,2754.155844155844,9828.606393606393,0.09567932067932068,43.859990842490845,112.37100000000002,46.2,21.502000000000006,14.924000000000003,27936.896000000004,0.5,127.84200000000001,9.849999999999996,16.300000000000004,30.0,,3.3900000000000006,82.04999999999997,0.8640000000000001,10270857.0,18597.864629851676,6.745311004784689,7.394736842105263,1811.51634754067
min,,,,2020-01-05 00:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.41,9.0,0.876,9.0,0.876,,,,,25.0,40.0,0.002,0.004,67.0,0.007,0.0066,1.9,,5199.0,5186.0,6.0,5.0,,18.0,0.05,0.05,0.0,0.0,2.0,1.0,0.0,0.0,112.371,46.2,21.502,14.924,27936.896,0.5,127.842,9.85,16.3,30.0,,3.39,82.05,0.864,10270857.0,-2151.6,-11.81,-15.1,-208.93001
25%,,,,2021-02-26 06:00:00,766862.0,0.0,206.286,16020.0,0.0,3.857,73615.87,0.0,19.803,1537.86,0.0,0.37,0.9,67.0,6.523,417.25,40.6245,,,,,2493826.5,16969.0,242.352,1.64875,20088.75,1.952,0.0203,7.7,,15688416.0,8943441.0,7753584.5,80036.0,,2291.0,152.745,87.0725,75.495,0.7775000000000001,223.0,46.0,0.0,13.89,112.371,46.2,21.502,14.924,27936.896,0.5,127.842,9.85,16.3,30.0,,3.39,82.05,0.864,10270857.0,10113.199,7.17,-0.02,982.8078
50%,,,,2022-04-20 12:00:00,3890246.0,0.0,537.143,22097.0,0.0,7.143,373448.97,0.0,51.564,2121.229,0.0,0.686,1.0,116.0,11.294,691.5,67.32650000000001,,,,,9743042.0,37255.5,946.836,3.6205,39309.5,3.8200000000000003,0.04,25.0,,24118623.0,9753919.5,8850197.5,6504711.5,,14744.0,234.825,94.965,86.17,63.335,1436.0,367.0,0.004,49.86,112.371,46.2,21.502,14.924,27936.896,0.5,127.842,9.85,16.3,30.0,,3.39,82.05,0.864,10270857.0,19728.8,7.92,5.52,1919.47
75%,,,,2023-06-12 18:00:00,5588835.0,0.0,2519.0,26842.0,0.0,15.0,536507.1,0.0,241.815,2576.731,0.0,1.44,1.18,184.0,17.915,1399.0,136.21075,,,,,20140968.0,59093.0,1957.315,5.74275,55146.5,5.359,0.13035000000000002,49.2,,28131054.25,9789436.25,8905880.5,7045709.5,,41140.0,273.895,95.3125,86.71,68.595,4006.0,9066.0,0.088,63.89,112.371,46.2,21.502,14.924,27936.896,0.5,127.842,9.85,16.3,30.0,,3.39,82.05,0.864,10270857.0,29439.4,8.9,11.72,2872.8074
max,,,,2024-08-04 00:00:00,5664109.0,405306.0,57900.857,28809.0,2014.0,287.714,543733.1,38907.85,5558.264,2765.556,193.336,27.619,2.69,904.0,88.016,6869.0,668.785,,,,,42825431.0,402756.0,4161.808,39.14,300415.0,29.195,0.5301,151.8,,28314797.0,9821414.0,8909769.0,7086326.0,,152591.0,275.68,95.62,86.75,68.99,14857.0,68154.0,0.664,87.96,112.371,46.2,21.502,14.924,27936.896,0.5,127.842,9.85,16.3,30.0,,3.39,82.05,0.864,10270857.0,33276.594,14.14,72.3,3247.2551
