,iso_code,continent,location,date,total_cases,new_cases,new_cases_smoothed,total_deaths,new_deaths,new_deaths_smoothed,total_cases_per_million,new_cases_per_million,new_cases_smoothed_per_million,total_deaths_per_million,new_deaths_per_million,new_deaths_smoothed_per_million,reproduction_rate,icu_patients,icu_patients_per_million,hosp_patients,hosp_patients_per_million,weekly_icu_admissions,weekly_icu_admissions_per_million,weekly_hosp_admissions,weekly_hosp_admissions_per_million,total_tests,new_tests,total_tests_per_thousand,new_tests_per_thousand,new_tests_smoothed,new_tests_smoothed_per_thousand,positive_rate,tests_per_case,tests_units,total_vaccinations,people_vaccinated,people_fully_vaccinated,total_boosters,new_vaccinations,new_vaccinations_smoothed,total_vaccinations_per_hundred,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred,total_boosters_per_hundred,new_vaccinations_smoothed_per_million,new_people_vaccinated_smoothed,new_people_vaccinated_smoothed_per_hundred,stringency_index,population_density,median_age,aged_65_older,aged_70_older,gdp_per_capita,extreme_poverty,cardiovasc_death_rate,diabetes_prevalence,female_smokers,male_smokers,handwashing_facilities,hospital_beds_per_thousand,life_expectancy,human_development_index,population,excess_mortality_cumulative_absolute,excess_mortality_cumulative,excess_mortality,excess_mortality_cumulative_per_million
count,1674,1674,1674,1674,1674.0,1674.0,1669.0,1674.0,1674.0,1669.0,1674.0,1674.0,1669.0,1674.0,1674.0,1669.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,839.0,839.0,839.0,839.0,833.0,833.0,807.0,807.0,840,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.0,1674.0,1674.0,1674.0,1674.0,1674.0,0.0,1674.0,1674.0,0.0,0.0,0.0,0.0,1674.0,0.0,1674.0,191.0,191.0,191.0,191.0
unique,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
top,PRI,North America,Puerto Rico,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,tests performed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
freq,1674,1674,1674,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,840,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mean,,,,2022-04-20 12:00:00,636992.7574671445,748.3351254480286,750.5770047932895,3710.3357228195937,3.5471923536439665,3.557811863391252,196543.79831182794,230.89843189964157,231.59013061713597,1144.8222724014338,1.0944832735961767,1.097745955662073,,,,,,,,,,1087177.0929678187,3598.468414779499,333.8967175208582,1.105181168057211,3614.876350540216,1.1102124849939976,0.09904089219330856,31.252912019826518,,,,,,,,,,,,,,,0.0,376.232,38.199999999999996,15.168000000000003,9.829000000000004,35044.66999999999,,108.09400000000002,12.900000000000004,,,,,80.10000000000001,,3252412.0,4853.061284027749,6.506806282722514,11.222565445026179,1490.1573676319372
min,,,,2020-01-05 00:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,1.0,1.0,0.0,0.0,6.0,0.002,0.002,1.2,,,,,,,,,,,,,,,0.0,376.232,38.2,15.168,9.829,35044.67,,108.094,12.9,,,,,80.1,,3252412.0,-250.39998,-18.29,-18.29,-76.53817
25%,,,,2021-02-26 06:00:00,102634.0,0.0,0.0,2041.0,0.0,0.0,31667.67,0.0,0.0,629.75,0.0,0.0,,,,,,,,,,199578.0,1066.5,61.295,0.3275,1329.0,0.408,0.029,8.25,,,,,,,,,,,,,,,0.0,376.232,38.2,15.168,9.829,35044.67,,108.094,12.9,,,,,80.1,,3252412.0,1538.4001,5.54,5.18,470.232975
50%,,,,2022-04-20 12:00:00,522087.0,0.0,239.714,4198.0,0.0,2.0,161089.69,0.0,73.964,1295.291,0.0,0.617,,,,,,,,,,772384.0,2502.0,237.217,0.768,3259.0,1.001,0.067,14.9,,,,,,,,,,,,,,,0.0,376.232,38.2,15.168,9.829,35044.67,,108.094,12.9,,,,,80.1,,3252412.0,4491.0996,8.13,10.58,1379.3176
75%,,,,2023-06-12 18:00:00,1252713.0,0.0,829.571,5938.0,0.0,5.857,386523.97,0.0,255.964,1832.167,0.0,1.807,,,,,,,,,,1899057.5,5421.5,583.2435,1.6655,5067.0,1.556,0.1215,34.5,,,,,,,,,,,,,,,0.0,376.232,38.2,15.168,9.829,35044.67,,108.094,12.9,,,,,80.1,,3252412.0,8134.497600000001,9.795,16.835,2501.0661499999997
max,,,,2024-08-04 00:00:00,1252713.0,72566.0,10366.571,5938.0,180.0,25.714,386523.97,22390.203,3198.6,1832.167,55.539,7.934,,,,,,,,,,3019115.0,23391.0,927.239,7.184,15918.0,4.889,0.823,500.0,,,,,,,,,,,,,,,0.0,376.232,38.2,15.168,9.829,35044.67,,108.094,12.9,,,,,80.1,,3252412.0,12233.001,11.04,40.38,3752.0918
std,,,,,528935.2423701201,4190.857536639206,1425.88465547899,2162.9356944865526,14.385952581669574,4.334983962760318,163202.70523247292,1293.0870080363636,439.9560077481842,667.3727475322233,4.438781572346222,1.337567584586458,,,,,,,,,,990627.048962141,3383.4041772843434,304.2440035467192,1.039113096253165,2784.748870536094,0.8552593464837339,0.10732494923240814,52.19106089210219,,,,,,,,,,,,,,,0.0,0.0,7.107550599052128e-15,3.553775299526064e-15,3.553775299526064e-15,7.27813181342938e-12,,2.8430202396208514e-14,3.553775299526064e-15,,,,,1.4215101198104257e-14,,0.0,3770.1712831946434,4.591408654290877,9.26882512367808,1157.2814771735405
