,iso_code,continent,location,date,total_cases,new_cases,new_cases_smoothed,total_deaths,new_deaths,new_deaths_smoothed,total_cases_per_million,new_cases_per_million,new_cases_smoothed_per_million,total_deaths_per_million,new_deaths_per_million,new_deaths_smoothed_per_million,reproduction_rate,icu_patients,icu_patients_per_million,hosp_patients,hosp_patients_per_million,weekly_icu_admissions,weekly_icu_admissions_per_million,weekly_hosp_admissions,weekly_hosp_admissions_per_million,total_tests,new_tests,total_tests_per_thousand,new_tests_per_thousand,new_tests_smoothed,new_tests_smoothed_per_thousand,positive_rate,tests_per_case,tests_units,total_vaccinations,people_vaccinated,people_fully_vaccinated,total_boosters,new_vaccinations,new_vaccinations_smoothed,total_vaccinations_per_hundred,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred,total_boosters_per_hundred,new_vaccinations_smoothed_per_million,new_people_vaccinated_smoothed,new_people_vaccinated_smoothed_per_hundred,stringency_index,population_density,median_age,aged_65_older,aged_70_older,gdp_per_capita,extreme_poverty,cardiovasc_death_rate,diabetes_prevalence,female_smokers,male_smokers,handwashing_facilities,hospital_beds_per_thousand,life_expectancy,human_development_index,population,excess_mortality_cumulative_absolute,excess_mortality_cumulative,excess_mortality,excess_mortality_cumulative_per_million
count,1674,1674,1674,1674,1674.0,1674.0,1669.0,1674.0,1673.0,1668.0,1674.0,1674.0,1669.0,1674.0,1673.0,1668.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1674.0,0.0,1674.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1674.0,0.0,1674.0,209.0,209.0,209.0,209.0
unique,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
top,REU,Africa,Reunion,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
freq,1674,1674,1674,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mean,,,,2022-04-20 12:00:00,263750.71445639187,295.4569892473118,296.3421060515278,538.4587813620071,0.5523012552301255,0.5539862110311751,302625.37509020313,339.00487873357224,340.02044517675256,617.8231696535244,0.6337029288702929,0.635615107913669,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36.0,,6.840999999999999,,,,,,,,,80.48000000000002,,974062.0,484.53547826794255,2.038516746411483,4.774736842105264,495.0911481186603
min,,,,2020-01-05 00:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36.0,,6.841,,,,,,,,,80.48,,974062.0,-127.3,-16.75,-23.84,-132.90472
25%,,,,2021-02-26 06:00:00,11562.0,0.0,0.0,48.0,0.0,0.0,13266.142,0.0,0.0,55.075,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36.0,,6.841,,,,,,,,,80.48,,974062.0,-71.59998,-1.84,-6.55,-74.752365
50%,,,,2022-04-20 12:00:00,360445.0,0.0,37.143,731.0,0.0,0.143,413571.56,0.0,42.617,838.743,0.0,0.164,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36.0,,6.841,,,,,,,,,80.48,,974062.0,293.69998,2.73,2.18,301.52084
75%,,,,2023-06-12 18:00:00,494595.0,0.0,185.857,921.0,0.0,0.857,567494.2,0.0,213.251,1056.748,0.0,0.983,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36.0,,6.841,,,,,,,,,80.48,,974062.0,1006.3,6.32,11.62,1027.8085
max,,,,2024-08-04 00:00:00,494595.0,46914.0,6702.0,921.0,38.0,5.429,567494.2,53828.73,7689.819,1056.748,43.601,6.229,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36.0,,6.841,,,,,,,,,80.48,,974062.0,1159.5001,7.84,63.86,1187.912
std,,,,,225654.73905974513,2290.792808443251,822.5372051103406,390.3046350003519,2.880979701969852,0.9622705741516452,258914.37165744443,2628.4365229419004,943.7722998434424,447.83238526066526,3.3056088655651115,1.1040983685786647,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,8.88443824881516e-16,,,,,,,,,1.4215101198104257e-14,,0.0,515.353933933805,4.824870086030708,16.729507730257968,527.1519225560321
