,iso_code,continent,location,date,total_cases,new_cases,new_cases_smoothed,total_deaths,new_deaths,new_deaths_smoothed,total_cases_per_million,new_cases_per_million,new_cases_smoothed_per_million,total_deaths_per_million,new_deaths_per_million,new_deaths_smoothed_per_million,reproduction_rate,icu_patients,icu_patients_per_million,hosp_patients,hosp_patients_per_million,weekly_icu_admissions,weekly_icu_admissions_per_million,weekly_hosp_admissions,weekly_hosp_admissions_per_million,total_tests,new_tests,total_tests_per_thousand,new_tests_per_thousand,new_tests_smoothed,new_tests_smoothed_per_thousand,positive_rate,tests_per_case,tests_units,total_vaccinations,people_vaccinated,people_fully_vaccinated,total_boosters,new_vaccinations,new_vaccinations_smoothed,total_vaccinations_per_hundred,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred,total_boosters_per_hundred,new_vaccinations_smoothed_per_million,new_people_vaccinated_smoothed,new_people_vaccinated_smoothed_per_hundred,stringency_index,population_density,median_age,aged_65_older,aged_70_older,gdp_per_capita,extreme_poverty,cardiovasc_death_rate,diabetes_prevalence,female_smokers,male_smokers,handwashing_facilities,hospital_beds_per_thousand,life_expectancy,human_development_index,population,excess_mortality_cumulative_absolute,excess_mortality_cumulative,excess_mortality,excess_mortality_cumulative_per_million
count,1674,1674,1674,1674,1674.0,1674.0,1669.0,1674.0,1674.0,1669.0,1674.0,1674.0,1669.0,1674.0,1674.0,1669.0,1003.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,677.0,597.0,677.0,597.0,801.0,801.0,801.0,801.0,808,88.0,89.0,56.0,21.0,28.0,839.0,88.0,89.0,56.0,21.0,839.0,839.0,839.0,1092.0,1674.0,1674.0,1674.0,1674.0,1674.0,1674.0,1674.0,1674.0,1674.0,1674.0,1674.0,0.0,1674.0,1674.0,1674.0,0.0,0.0,0.0,0.0
unique,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
top,RWA,Africa,Rwanda,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,samples tested,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
freq,1674,1674,1674,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,808,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mean,,,,2022-04-20 12:00:00,87004.54181600956,79.60812425328554,79.8466093469143,982.3990442054958,0.8769414575866189,0.8795715997603355,6373.479925925926,5.831659498207886,5.849106051527861,71.96526284348865,0.06424372759856631,0.06440503295386459,0.9276470588235294,,,,,,,,,2111870.4992614477,6748.998324958124,156.8777149187592,0.5013484087102177,6881.593008739076,0.5111935081148564,0.019139200998751563,310.87265917602997,,8826864.659090908,3686094.6516853934,4312877.035714285,4121668.0,32880.142857142855,32551.77115613826,64.07125,26.756404494382018,31.30535714285714,29.918571428571425,2362.849821215733,12981.072705601908,0.09427532777115613,53.924587912087915,494.869,20.300000000000008,2.974,1.6419999999999997,1854.2109999999996,56.0,191.375,4.280000000000001,4.700000000000002,21.0,4.616999999999999,,69.01999999999998,0.5430000000000001,13776702.0,,,,
min,,,,2020-01-05 00:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,,,,,,,,,6507.0,380.0,0.483,0.028,809.0,0.06,0.0001,8.0,,0.0,0.0,49696.0,763351.0,132.0,0.0,0.0,0.0,0.36,5.54,0.0,0.0,0.0,0.0,494.869,20.3,2.974,1.642,1854.211,56.0,191.375,4.28,4.7,21.0,4.617,,69.02,0.543,13776702.0,,,,
25%,,,,2021-02-26 06:00:00,17988.0,0.0,0.0,247.0,0.0,0.0,1317.703,0.0,0.0,18.094,0.0,0.0,0.66,,,,,,,,,481283.0,2820.0,35.752,0.209,3432.0,0.255,0.0036,37.9,,349301.75,349427.0,1041182.0,2858011.0,3856.5,1241.0,2.5375,2.54,7.5600000000000005,20.75,90.0,508.0,0.004,41.45,494.869,20.3,2.974,1.642,1854.211,56.0,191.375,4.28,4.7,21.0,4.617,,69.02,0.543,13776702.0,,,,
50%,,,,2022-04-20 12:00:00,129767.0,0.0,5.429,1459.0,0.0,0.0,9506.025,0.0,0.398,106.878,0.0,0.0,0.9,,,,,,,,,1376065.0,4921.0,102.219,0.366,4982.0,0.37,0.0096,104.5,,3574874.5,1835560.0,1838708.5,4192311.0,5422.5,7894.0,25.95,13.32,13.344999999999999,30.43,573.0,2024.0,0.015,54.63,494.869,20.3,2.974,1.642,1854.211,56.0,191.375,4.28,4.7,21.0,4.617,,69.02,0.543,13776702.0,,,,
75%,,,,2023-06-12 18:00:00,133194.0,0.0,46.143,1468.0,0.0,0.571,9757.068,0.0,3.38,107.538,0.0,0.042,1.2,,,,,,,,,3872466.0,9186.0,287.661,0.682,10520.0,0.781,0.0264,279.3,,20141669.0,8895871.0,8457540.75,5562376.0,28892.25,37565.5,146.2,64.57,61.3875,40.38,2726.5,15011.5,0.109,71.3,494.869,20.3,2.974,1.642,1854.211,56.0,191.375,4.28,4.7,21.0,4.617,,69.02,0.543,13776702.0,,,,
max,,,,2024-08-04 00:00:00,133264.0,10060.0,1437.143,1468.0,89.0,12.714,9762.196,736.941,105.277,107.538,6.52,0.931,2.41,,,,,,,,,5534918.0,33530.0,411.155,2.491,28382.0,2.108,0.1257,9944.1,,27322059.0,10884714.0,10399665.0,5879013.0,211071.0,370105.0,198.32,79.01,75.49,42.67,26865.0,129197.0,0.938,90.74,494.869,20.3,2.974,1.642,1854.211,56.0,191.375,4.28,4.7,21.0,4.617,,69.02,0.543,13776702.0,,,,
std,,,,,56821.33107330173,584.389098638056,208.47727680880686,631.9639779916748,6.37035169495621,2.269540435723671,4162.421893903221,42.80916932948085,15.271914034263073,46.294261592059804,0.4666734553225133,0.16626810533698888,0.42170555593566644,,,,,,,,,1890974.9636241035,5544.892495825833,140.4687763693664,0.41189591018096533,4991.616486835808,0.3707906366911154,0.023017844411690656,629.1471759962409,,10144969.138394939,3877701.5040725158,3743767.767082641,1743382.533123468,59038.746476024695,54909.46465246334,73.63920087369289,28.14750296720955,27.174103043776185,12.654457825491493,3985.7154544527302,22647.451703381525,0.16436514664346427,21.052600831129332,0.0,7.107550599052128e-15,0.0,2.22110956220379e-16,4.548832383393362e-13,0.0,0.0,8.88443824881516e-16,1.776887649763032e-15,0.0,8.88443824881516e-16,,1.4215101198104257e-14,1.110554781101895e-16,0.0,,,,
