,iso_code,continent,location,date,total_cases,new_cases,new_cases_smoothed,total_deaths,new_deaths,new_deaths_smoothed,total_cases_per_million,new_cases_per_million,new_cases_smoothed_per_million,total_deaths_per_million,new_deaths_per_million,new_deaths_smoothed_per_million,reproduction_rate,icu_patients,icu_patients_per_million,hosp_patients,hosp_patients_per_million,weekly_icu_admissions,weekly_icu_admissions_per_million,weekly_hosp_admissions,weekly_hosp_admissions_per_million,total_tests,new_tests,total_tests_per_thousand,new_tests_per_thousand,new_tests_smoothed,new_tests_smoothed_per_thousand,positive_rate,tests_per_case,tests_units,total_vaccinations,people_vaccinated,people_fully_vaccinated,total_boosters,new_vaccinations,new_vaccinations_smoothed,total_vaccinations_per_hundred,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred,total_boosters_per_hundred,new_vaccinations_smoothed_per_million,new_people_vaccinated_smoothed,new_people_vaccinated_smoothed_per_hundred,stringency_index,population_density,median_age,aged_65_older,aged_70_older,gdp_per_capita,extreme_poverty,cardiovasc_death_rate,diabetes_prevalence,female_smokers,male_smokers,handwashing_facilities,hospital_beds_per_thousand,life_expectancy,human_development_index,population,excess_mortality_cumulative_absolute,excess_mortality_cumulative,excess_mortality,excess_mortality_cumulative_per_million
count,1674,1674,1674,1674,1674.0,1674.0,1669.0,1674.0,1674.0,1669.0,1674.0,1674.0,1669.0,1674.0,1674.0,1669.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,6.0,6.0,3.0,0.0,0.0,91.0,6.0,6.0,3.0,0.0,91.0,91.0,91.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1674.0,0.0,1674.0,0.0,0.0,0.0,0.0
unique,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
top,SHN,Africa,Saint Helena,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
freq,1674,1674,1674,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mean,,,,2022-04-20 12:00:00,873.4504181600955,1.2939068100358424,1.2977807070101859,0.0,0.0,0.0,162684.01076941457,240.9958602150538,241.7178388256441,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,4038.8333333333335,3263.3333333333335,1551.0,,,84.81318681318682,74.77999999999999,60.419999999999995,28.72,,15703.164835164835,49.1978021978022,0.9111208791208791,,,,,,,,,,,,,,80.55999999999999,,5401.0,,,,
min,,,,2020-01-05 00:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,107.0,107.0,110.0,,,61.0,1.98,1.98,2.04,,11294.0,0.0,0.0,,,,,,,,,,,,,,80.56,,5401.0,,,,
25%,,,,2021-02-26 06:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,3155.25,3155.25,561.0,,,75.0,58.4225,58.4225,10.389999999999999,,13886.0,0.5,0.0095,,,,,,,,,,,,,,80.56,,5401.0,,,,
50%,,,,2022-04-20 12:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,3877.0,3822.0,1012.0,,,75.0,71.785,70.765,18.74,,13886.0,75.0,1.389,,,,,,,,,,,,,,80.56,,5401.0,,,,
75%,,,,2023-06-12 18:00:00,2166.0,0.0,0.0,0.0,0.0,0.0,403427.1,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,5143.25,4356.75,2271.5,,,97.0,95.2275,80.6625,42.059999999999995,,17960.0,75.0,1.389,,,,,,,,,,,,,,80.56,,5401.0,,,,
max,,,,2024-08-04 00:00:00,2166.0,1298.0,185.429,0.0,0.0,0.0,403427.1,241758.23,34536.89,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,7892.0,4361.0,3531.0,,,165.0,146.12,80.74,65.38,,30550.0,149.0,2.759,,,,,,,,,,,,,,80.56,,5401.0,,,,
std,,,,,1055.3800680778745,33.838841342645125,12.752513543976017,0.0,0.0,0.0,196569.21438977506,6302.633615550237,2375.208718623094,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,2595.101494482762,1647.167831966939,1773.0485046946685,,,20.29937715952667,48.048239509892554,30.496730972351777,32.82817692166289,,3758.5979811145785,41.732806114939194,0.77272221306186,,,,,,,,,,,,,,1.4215101198104257e-14,,0.0,,,,
