,iso_code,continent,location,date,total_cases,new_cases,new_cases_smoothed,total_deaths,new_deaths,new_deaths_smoothed,total_cases_per_million,new_cases_per_million,new_cases_smoothed_per_million,total_deaths_per_million,new_deaths_per_million,new_deaths_smoothed_per_million,reproduction_rate,icu_patients,icu_patients_per_million,hosp_patients,hosp_patients_per_million,weekly_icu_admissions,weekly_icu_admissions_per_million,weekly_hosp_admissions,weekly_hosp_admissions_per_million,total_tests,new_tests,total_tests_per_thousand,new_tests_per_thousand,new_tests_smoothed,new_tests_smoothed_per_thousand,positive_rate,tests_per_case,tests_units,total_vaccinations,people_vaccinated,people_fully_vaccinated,total_boosters,new_vaccinations,new_vaccinations_smoothed,total_vaccinations_per_hundred,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred,total_boosters_per_hundred,new_vaccinations_smoothed_per_million,new_people_vaccinated_smoothed,new_people_vaccinated_smoothed_per_hundred,stringency_index,population_density,median_age,aged_65_older,aged_70_older,gdp_per_capita,extreme_poverty,cardiovasc_death_rate,diabetes_prevalence,female_smokers,male_smokers,handwashing_facilities,hospital_beds_per_thousand,life_expectancy,human_development_index,population,excess_mortality_cumulative_absolute,excess_mortality_cumulative,excess_mortality,excess_mortality_cumulative_per_million
count,1674,1674,1674,1674,1674.0,1674.0,1669.0,1674.0,1674.0,1669.0,1674.0,1674.0,1669.0,1674.0,1674.0,1669.0,569.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,157.0,62.0,157.0,62.0,340.0,340.0,340.0,338.0,347,76.0,72.0,66.0,19.0,7.0,648.0,76.0,72.0,66.0,19.0,648.0,653.0,653.0,0.0,1674.0,0.0,0.0,0.0,1674.0,0.0,0.0,1674.0,0.0,0.0,0.0,1674.0,1674.0,1674.0,1674.0,33.0,33.0,33.0,33.0
unique,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
top,KNA,North America,Saint Kitts and Nevis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,people tested,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
freq,1674,1674,1674,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,347,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mean,,,,2022-04-20 12:00:00,3794.505376344086,3.9468339307048983,3.958686638705812,26.848267622461172,0.027479091995221028,0.02757219892150988,81198.89014336918,84.45857407407406,84.71156321150389,574.5278578255674,0.5880250896057347,0.5897866986219292,0.791476274165202,,,,,,,,,52713.52229299363,252.0483870967742,1107.2873885350318,5.294435483870967,204.50882352941176,4.2957705882352935,0.07466294117647058,76.85532544378698,,41973.34210526316,22941.930555555555,20302.303030303032,2268.6315789473683,936.1428571428571,100.76851851851852,88.02960526315789,48.11569444444445,42.57939393939394,4.758947368421054,2113.4521604938273,53.13782542113323,0.11157120980091885,,212.865,,,,24654.385000000006,,,12.840000000000002,,,,2.3000000000000003,76.23000000000002,0.7790000000000001,47681.0,62.04242402121212,7.164545454545455,18.675151515151512,1301.546432121212
min,,,,2020-01-05 00:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,,,,,,,,,22930.0,28.0,481.662,0.588,33.0,0.693,0.0,1.7,,0.0,0.0,127.0,914.0,87.0,1.0,0.0,0.0,0.27,1.92,21.0,0.0,0.0,,212.865,,,,24654.385,,,12.84,,,,2.3,76.23,0.779,47681.0,-11.0,-16.67,-20.35,-230.77246
25%,,,,2021-02-26 06:00:00,41.0,0.0,0.0,0.0,0.0,0.0,877.362,0.0,0.0,0.0,0.0,0.0,0.45,,,,,,,,,35529.0,111.5,746.313,2.3425,67.75,1.42275,0.0154,11.275,,39962.75,22592.75,19247.25,1482.0,141.0,13.0,83.8125,47.3875,40.3675,3.1100000000000003,273.0,6.0,0.013,,212.865,,,,24654.385,,,12.84,,,,2.3,76.23,0.779,47681.0,8.799999,2.61,-2.52,184.61795
50%,,,,2022-04-20 12:00:00,5557.0,0.0,0.0,43.0,0.0,0.0,118914.64,0.0,0.0,920.16,0.0,0.0,0.69,,,,,,,,,56194.0,190.5,1180.397,4.0015,166.5,3.4975,0.0294,34.0,,45653.5,24167.5,21915.0,2548.0,299.0,49.0,95.745,50.685,45.96,5.34,1028.0,11.0,0.023,,212.865,,,,24654.385,,,12.84,,,,2.3,76.23,0.779,47681.0,21.8,5.04,15.08,457.68512
75%,,,,2023-06-12 18:00:00,6602.0,0.0,1.0,46.0,0.0,0.0,141276.67,0.0,21.399,984.357,0.0,0.0,1.13,,,,,,,,,65348.0,319.75,1372.684,6.71675,276.5,5.8085,0.08585000000000001,63.95,,53039.5,27352.0,25241.5,2883.5,930.5,116.25,111.24,57.365,52.9375,6.05,2438.25,58.0,0.122,,212.865,,,,24654.385,,,12.84,,,,2.3,76.23,0.779,47681.0,141.5,18.22,33.09,2967.6392
max,,,,2024-08-04 00:00:00,6607.0,1013.0,144.714,46.0,5.0,0.714,141383.66,21677.26,3096.751,984.357,106.995,15.285,2.65,,,,,,,,,94440.0,904.0,1983.784,18.989,620.0,13.024,0.5732,2076.9,,64297.0,33794.0,27000.0,3503.0,4024.0,894.0,134.85,70.88,56.63,7.35,18750.0,496.0,1.04,,212.865,,,,24654.385,,,12.84,,,,2.3,76.23,0.779,47681.0,183.4,19.72,108.96,3846.3958
