,iso_code,continent,location,date,total_cases,new_cases,new_cases_smoothed,total_deaths,new_deaths,new_deaths_smoothed,total_cases_per_million,new_cases_per_million,new_cases_smoothed_per_million,total_deaths_per_million,new_deaths_per_million,new_deaths_smoothed_per_million,reproduction_rate,icu_patients,icu_patients_per_million,hosp_patients,hosp_patients_per_million,weekly_icu_admissions,weekly_icu_admissions_per_million,weekly_hosp_admissions,weekly_hosp_admissions_per_million,total_tests,new_tests,total_tests_per_thousand,new_tests_per_thousand,new_tests_smoothed,new_tests_smoothed_per_thousand,positive_rate,tests_per_case,tests_units,total_vaccinations,people_vaccinated,people_fully_vaccinated,total_boosters,new_vaccinations,new_vaccinations_smoothed,total_vaccinations_per_hundred,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred,total_boosters_per_hundred,new_vaccinations_smoothed_per_million,new_people_vaccinated_smoothed,new_people_vaccinated_smoothed_per_hundred,stringency_index,population_density,median_age,aged_65_older,aged_70_older,gdp_per_capita,extreme_poverty,cardiovasc_death_rate,diabetes_prevalence,female_smokers,male_smokers,handwashing_facilities,hospital_beds_per_thousand,life_expectancy,human_development_index,population,excess_mortality_cumulative_absolute,excess_mortality_cumulative,excess_mortality,excess_mortality_cumulative_per_million
count,1674,1674,1674,1674,1674.0,1674.0,1669.0,1674.0,1674.0,1669.0,1674.0,1674.0,1669.0,1674.0,1674.0,1669.0,1012.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,794.0,794.0,794.0,794.0,791.0,791.0,790.0,788.0,798,120.0,125.0,62.0,26.0,61.0,993.0,120.0,125.0,62.0,26.0,993.0,993.0,993.0,1092.0,1674.0,1674.0,1674.0,1674.0,1674.0,1674.0,1674.0,1674.0,1674.0,1674.0,1674.0,0.0,1674.0,1674.0,1674.0,0.0,0.0,0.0,0.0
unique,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
top,SEN,Africa,Senegal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,tests performed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
freq,1674,1674,1674,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,798,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mean,,,,2022-04-20 12:00:00,62789.29569892473,53.455794504181604,53.615973636908336,1428.7550776583034,1.1774193548387097,1.1809658478130616,3557.2457138590203,3.0284689366786144,3.0375092869982026,80.94405256869771,0.0667090800477897,0.06690053924505691,0.9776976284584981,,,,,,,,,490934.4974811083,1388.0340050377833,29.089443324937022,0.08225188916876575,1390.591656131479,0.08239190897597977,0.06753493670886077,75.56256345177665,,946506.2166666667,782359.264,835889.8387096775,431555.3846153846,5412.081967213115,3210.034239677744,5.465833333333333,4.51768,4.8264516129032256,2.4915384615384615,185.4269889224572,2711.968781470292,0.015648539778449145,26.735934065934064,82.32799999999999,18.699999999999992,3.008,1.7959999999999994,2470.5800000000004,38.0,241.21900000000002,2.4200000000000004,0.4,16.599999999999998,20.85900000000001,,67.94000000000001,0.5120000000000002,17316452.0,,,,
min,,,,2020-01-05 00:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08,,,,,,,,,1.0,1.0,0.0,0.0,2.0,0.0,0.0,1.8,,0.0,0.0,68596.0,3430.0,82.0,0.0,0.0,0.0,0.4,0.02,0.0,0.0,0.0,0.0,82.328,18.7,3.008,1.796,2470.58,38.0,241.219,2.42,0.4,16.6,20.859,,67.94,0.512,17316452.0,,,,
25%,,,,2021-02-26 06:00:00,32630.0,0.0,0.286,795.0,0.0,0.0,1848.61,0.0,0.016,45.04,0.0,0.0,0.81,,,,,,,,,171294.5,963.0,10.149999999999999,0.057,1039.5,0.062,0.016649999999999998,10.3,,233505.0,247750.0,328749.25,11113.5,2038.0,85.0,1.3475000000000001,1.43,1.895,0.0625,5.0,0.0,0.0,13.89,82.328,18.7,3.008,1.796,2470.58,38.0,241.219,2.42,0.4,16.6,20.859,,67.94,0.512,17316452.0,,,,
50%,,,,2022-04-20 12:00:00,85967.0,0.0,5.571,1965.0,0.0,0.0,4870.348,0.0,0.316,111.325,0.0,0.0,0.98,,,,,,,,,455688.0,1295.0,27.000999999999998,0.077,1311.0,0.078,0.0489,20.4,,415592.5,421993.0,1025660.0,602315.0,3943.0,1732.0,2.4000000000000004,2.44,5.92,3.48,100.0,790.0,0.005,19.44,82.328,18.7,3.008,1.796,2470.58,38.0,241.219,2.42,0.4,16.6,20.859,,67.94,0.512,17316452.0,,,,
75%,,,,2023-06-12 18:00:00,88999.0,0.0,46.0,1971.0,0.0,0.714,5042.122,0.0,2.606,111.664,0.0,0.04,1.16,,,,,,,,,839581.25,1739.75,49.747749999999996,0.103,1610.0,0.0955,0.09665,59.425,,1750089.5,1271021.0,1136678.25,815965.0,7766.0,4180.0,10.105,7.34,6.5625,4.71,241.0,3346.0,0.019,43.06,82.328,18.7,3.008,1.796,2470.58,38.0,241.219,2.42,0.4,16.6,20.859,,67.94,0.512,17316452.0,,,,
max,,,,2024-08-04 00:00:00,89485.0,6199.0,885.571,1971.0,148.0,21.143,5069.656,351.196,50.171,111.664,8.385,1.198,2.13,,,,,,,,,1102099.0,4471.0,65.303,0.265,3642.0,0.216,0.5714,725.7,,3179647.0,2684696.0,1546628.0,815965.0,17437.0,41586.0,18.36,15.5,8.93,4.71,2402.0,73656.0,0.425,77.78,82.328,18.7,3.008,1.796,2470.58,38.0,241.219,2.42,0.4,16.6,20.859,,67.94,0.512,17316452.0,,,,
