,iso_code,continent,location,date,total_cases,new_cases,new_cases_smoothed,total_deaths,new_deaths,new_deaths_smoothed,total_cases_per_million,new_cases_per_million,new_cases_smoothed_per_million,total_deaths_per_million,new_deaths_per_million,new_deaths_smoothed_per_million,reproduction_rate,icu_patients,icu_patients_per_million,hosp_patients,hosp_patients_per_million,weekly_icu_admissions,weekly_icu_admissions_per_million,weekly_hosp_admissions,weekly_hosp_admissions_per_million,total_tests,new_tests,total_tests_per_thousand,new_tests_per_thousand,new_tests_smoothed,new_tests_smoothed_per_thousand,positive_rate,tests_per_case,tests_units,total_vaccinations,people_vaccinated,people_fully_vaccinated,total_boosters,new_vaccinations,new_vaccinations_smoothed,total_vaccinations_per_hundred,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred,total_boosters_per_hundred,new_vaccinations_smoothed_per_million,new_people_vaccinated_smoothed,new_people_vaccinated_smoothed_per_hundred,stringency_index,population_density,median_age,aged_65_older,aged_70_older,gdp_per_capita,extreme_poverty,cardiovasc_death_rate,diabetes_prevalence,female_smokers,male_smokers,handwashing_facilities,hospital_beds_per_thousand,life_expectancy,human_development_index,population,excess_mortality_cumulative_absolute,excess_mortality_cumulative,excess_mortality,excess_mortality_cumulative_per_million
count,1674,1674,1674,1674,1674.0,1674.0,1669.0,1674.0,1674.0,1669.0,1674.0,1674.0,1669.0,1674.0,1674.0,1669.0,1019.0,1194.0,1194.0,1194.0,1194.0,0.0,0.0,0.0,0.0,847.0,845.0,847.0,845.0,841.0,841.0,834.0,834.0,848,237.0,237.0,218.0,110.0,135.0,531.0,237.0,237.0,218.0,110.0,531.0,531.0,531.0,1092.0,1674.0,1674.0,1674.0,0.0,1674.0,0.0,1674.0,1674.0,1674.0,1674.0,1674.0,1674.0,1674.0,1674.0,1674.0,48.0,48.0,48.0,48.0
unique,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
top,SRB,Europe,Serbia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,people tested,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
freq,1674,1674,1674,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,848,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mean,,,,2022-04-20 12:00:00,1515695.4402628434,1543.2915173237755,1547.9149448771718,11419.139187574672,10.78673835125448,10.819064110245655,223184.62336917565,227.24811947431303,227.92886219292993,1681.4566995221028,1.5883279569892472,1.5930683043738767,1.0367811579980373,82.81742043551088,12.05219932998325,2066.075376884422,300.67105695142374,,,,,4075626.042502952,11660.196449704143,593.1162101534828,1.6968887573964495,11691.39714625446,1.7014256837098694,0.1516552757793765,22.304916067146284,,5044614.164556962,2376952.0970464135,2302657.9174311925,1184143.6545454545,24182.844444444443,16066.523540489643,73.41345991561181,34.59122362869198,33.51009174311927,17.232636363636363,2338.1581920903955,6310.928436911488,0.09183804143126179,37.46344322344323,80.29099999999998,41.199999999999996,17.365999999999993,,14048.880999999996,,439.415,10.079999999999998,37.699999999999996,40.199999999999996,97.71900000000002,5.609,76.0,0.806,6871547.0,37680.97841,15.206458333333332,14.552083333333334,5225.8241964375
min,,,,2020-01-05 00:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.58,0.0,0.0,1.0,0.146,,,,,16.0,1.0,0.002,0.0,5.0,0.001,0.008,1.7,,7000.0,7000.0,47665.0,1289.0,221.0,175.0,0.1,0.1,0.69,0.02,25.0,46.0,0.001,0.0,80.291,41.2,17.366,,14048.881,,439.415,10.08,37.7,40.2,97.719,5.609,76.0,0.806,6871547.0,-520.1,-4.86,-9.61,-70.68487
25%,,,,2021-02-26 06:00:00,434122.0,0.0,66.286,4321.0,0.0,0.0,63924.027,0.0,9.761,636.263,0.0,0.0,0.79,15.0,2.183,279.25,40.63849999999999,,,,,1109200.5,7027.0,161.41899999999998,1.023,7444.0,1.083,0.037,4.0,,2593838.0,1481015.0,1341253.0,509315.0,8646.5,2079.5,37.75,21.55,19.517500000000002,7.4125,302.5,349.0,0.005,11.11,80.291,41.2,17.366,,14048.881,,439.415,10.08,37.7,40.2,97.719,5.609,76.0,0.806,6871547.0,15708.901,14.055,-0.8775,2148.3891
50%,,,,2022-04-20 12:00:00,1995351.0,0.0,475.286,15923.0,0.0,3.714,293813.44,0.0,69.985,2344.646,0.0,0.547,0.93,31.0,4.511,670.5,97.57650000000001,,,,,3775363.0,10345.0,549.42,1.505,10347.0,1.506,0.13125,7.65,,5576247.0,2853790.0,2767479.0,1455174.5,23210.0,11516.0,81.15,41.53,40.275,21.175,1676.0,3085.0,0.045,36.11,80.291,41.2,17.366,,14048.881,,439.415,10.08,37.7,40.2,97.719,5.609,76.0,0.806,6871547.0,51276.203,17.545,3.0300000000000002,7064.3150000000005
75%,,,,2023-06-12 18:00:00,2542831.0,0.0,1903.143,18057.0,0.0,13.0,374429.3,0.0,280.236,2658.875,0.0,1.914,1.23,143.0,20.81,3690.0,536.99725,,,,,6702000.5,15200.0,975.326,2.212,14794.0,2.153,0.2521,27.0,,7622643.0,3229702.0,3107081.25,1836274.75,35456.0,26609.5,110.93,47.0,45.2175,26.7225,3872.5,9077.0,0.132,54.63,80.291,41.2,17.366,,14048.881,,439.415,10.08,37.7,40.2,97.719,5.609,76.0,0.806,6871547.0,58534.65425,21.5325,20.545,8163.384075
max,,,,2024-08-04 00:00:00,2583470.0,116552.0,16650.286,18057.0,446.0,63.714,380413.34,17162.164,2451.738,2658.875,65.673,9.382,2.13,353.0,51.371,9731.0,1416.129,,,,,9852899.0,39740.0,1433.869,5.783,33574.0,4.886,0.5768,124.9,,8534688.0,3354075.0,3278198.0,1902412.0,69995.0,64449.0,124.2,48.81,47.71,27.69,9379.0,45317.0,0.659,100.0,80.291,41.2,17.366,,14048.881,,439.415,10.08,37.7,40.2,97.719,5.609,76.0,0.806,6871547.0,61345.207,25.22,93.4,8494.96
