,iso_code,continent,location,date,total_cases,new_cases,new_cases_smoothed,total_deaths,new_deaths,new_deaths_smoothed,total_cases_per_million,new_cases_per_million,new_cases_smoothed_per_million,total_deaths_per_million,new_deaths_per_million,new_deaths_smoothed_per_million,reproduction_rate,icu_patients,icu_patients_per_million,hosp_patients,hosp_patients_per_million,weekly_icu_admissions,weekly_icu_admissions_per_million,weekly_hosp_admissions,weekly_hosp_admissions_per_million,total_tests,new_tests,total_tests_per_thousand,new_tests_per_thousand,new_tests_smoothed,new_tests_smoothed_per_thousand,positive_rate,tests_per_case,tests_units,total_vaccinations,people_vaccinated,people_fully_vaccinated,total_boosters,new_vaccinations,new_vaccinations_smoothed,total_vaccinations_per_hundred,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred,total_boosters_per_hundred,new_vaccinations_smoothed_per_million,new_people_vaccinated_smoothed,new_people_vaccinated_smoothed_per_hundred,stringency_index,population_density,median_age,aged_65_older,aged_70_older,gdp_per_capita,extreme_poverty,cardiovasc_death_rate,diabetes_prevalence,female_smokers,male_smokers,handwashing_facilities,hospital_beds_per_thousand,life_expectancy,human_development_index,population,excess_mortality_cumulative_absolute,excess_mortality_cumulative,excess_mortality,excess_mortality_cumulative_per_million
count,1674,1674,1674,1674,1674.0,1674.0,1669.0,1674.0,1674.0,1669.0,1674.0,1674.0,1669.0,1674.0,1674.0,1669.0,906.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,102.0,104.0,91.0,19.0,21.0,820.0,102.0,104.0,91.0,19.0,820.0,820.0,820.0,1092.0,1674.0,1674.0,1674.0,1674.0,1674.0,1674.0,1674.0,1674.0,1674.0,1674.0,0.0,1674.0,1674.0,1674.0,1674.0,48.0,48.0,48.0,48.0
unique,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
top,SYC,Africa,Seychelles,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
freq,1674,1674,1674,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mean,,,,2022-04-20 12:00:00,30197.244324970132,30.995221027479094,31.088086279209108,109.05854241338112,0.1027479091995221,0.10307489514679447,240554.15773715655,246.9109163679809,247.6505967645297,868.7709844683394,0.8184958183990442,0.8209418813660875,0.7327924944812362,,,,,,,,,,,,,,,,,,121265.43137254902,62212.721153846156,56820.03296703297,40499.94736842105,2041.095238095238,275.66341463414636,113.18960784313724,58.06942307692308,53.03593406593407,37.80315789473684,2573.040243902439,109.84390243902439,0.1026109756097561,46.21496336996337,208.35399999999993,36.199999999999996,8.605999999999998,5.586,26382.287000000004,1.0999999999999999,242.64800000000005,10.549999999999999,7.099999999999999,35.699999999999996,,3.600000000000001,73.39999999999999,0.7959999999999999,107135.0,-90.82084629166667,-8.121458333333333,-2.7143750000000004,-851.5027614583333
min,,,,2020-01-05 00:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12,,,,,,,,,,,,,,,,,,0.0,0.0,5.0,27744.0,773.0,0.0,0.0,0.0,0.0,25.9,0.0,0.0,0.0,0.0,208.354,36.2,8.606,5.586,26382.287,1.1,242.648,10.55,7.1,35.7,,3.6,73.4,0.796,107135.0,-172.3,-22.66,-43.72,-1620.162
25%,,,,2021-02-26 06:00:00,2328.0,0.0,0.0,10.0,0.0,0.0,18545.072,0.0,0.0,79.661,0.0,0.0,0.26,,,,,,,,,,,,,,,,,,63729.5,43251.0,27567.5,37022.5,1315.0,60.0,59.485,40.3725,25.73,34.555,560.0,5.0,0.005,23.15,208.354,36.2,8.606,5.586,26382.287,1.1,242.648,10.55,7.1,35.7,,3.6,73.4,0.796,107135.0,-116.425015,-13.3475,-15.434999999999999,-1082.454375
50%,,,,2022-04-20 12:00:00,41851.0,0.0,1.571,163.0,0.0,0.0,333389.1,0.0,12.518,1298.474,0.0,0.0,0.91,,,,,,,,,,,,,,,,,,127280.5,68278.5,67305.0,42536.0,1935.0,108.5,118.805,63.730000000000004,62.82,39.7,1012.5,16.0,0.015,46.3,208.354,36.2,8.606,5.586,26382.287,1.1,242.648,10.55,7.1,35.7,,3.6,73.4,0.796,107135.0,-89.65001799999999,-4.36,-3.63,-837.281435
75%,,,,2023-06-12 18:00:00,50937.0,0.0,36.0,172.0,0.0,0.0,405769.06,0.0,286.779,1370.169,0.0,0.0,1.05,,,,,,,,,,,,,,,,,,183224.75,82615.75,80121.0,44349.5,2823.0,310.0,171.02,77.11,74.785,41.4,2893.5,78.0,0.073,69.44,208.354,36.2,8.606,5.586,26382.287,1.1,242.648,10.55,7.1,35.7,,3.6,73.4,0.796,107135.0,-60.4750235,-2.675,6.1325,-562.355675
max,,,,2024-08-04 00:00:00,51886.0,3936.0,562.286,172.0,12.0,1.714,413328.88,31354.555,4479.222,1370.169,95.593,13.656,1.25,,,,,,,,,,,,,,,,,,224558.0,88520.0,83565.0,44936.0,3758.0,2401.0,209.6,82.62,78.0,41.94,22411.0,2170.0,2.025,93.52,208.354,36.2,8.606,5.586,26382.287,1.1,242.648,10.55,7.1,35.7,,3.6,73.4,0.796,107135.0,-3.2,-2.04,53.31,-30.31882
