,iso_code,continent,location,date,total_cases,new_cases,new_cases_smoothed,total_deaths,new_deaths,new_deaths_smoothed,total_cases_per_million,new_cases_per_million,new_cases_smoothed_per_million,total_deaths_per_million,new_deaths_per_million,new_deaths_smoothed_per_million,reproduction_rate,icu_patients,icu_patients_per_million,hosp_patients,hosp_patients_per_million,weekly_icu_admissions,weekly_icu_admissions_per_million,weekly_hosp_admissions,weekly_hosp_admissions_per_million,total_tests,new_tests,total_tests_per_thousand,new_tests_per_thousand,new_tests_smoothed,new_tests_smoothed_per_thousand,positive_rate,tests_per_case,tests_units,total_vaccinations,people_vaccinated,people_fully_vaccinated,total_boosters,new_vaccinations,new_vaccinations_smoothed,total_vaccinations_per_hundred,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred,total_boosters_per_hundred,new_vaccinations_smoothed_per_million,new_people_vaccinated_smoothed,new_people_vaccinated_smoothed_per_hundred,stringency_index,population_density,median_age,aged_65_older,aged_70_older,gdp_per_capita,extreme_poverty,cardiovasc_death_rate,diabetes_prevalence,female_smokers,male_smokers,handwashing_facilities,hospital_beds_per_thousand,life_expectancy,human_development_index,population,excess_mortality_cumulative_absolute,excess_mortality_cumulative,excess_mortality,excess_mortality_cumulative_per_million
count,1674,1674,1674,1674,1674.0,1674.0,1669.0,1674.0,1673.0,1668.0,1674.0,1674.0,1669.0,1674.0,1673.0,1668.0,979.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,8.0,0.0,91.0,91.0,91.0,42.0,98,65.0,68.0,63.0,31.0,2.0,868.0,65.0,68.0,63.0,31.0,868.0,868.0,868.0,1092.0,1674.0,1674.0,1674.0,1674.0,1674.0,1674.0,1674.0,1674.0,1674.0,1674.0,1674.0,0.0,1674.0,1674.0,1674.0,0.0,0.0,0.0,0.0
unique,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
top,SLE,Africa,Sierra Leone,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,tests performed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
freq,1674,1674,1674,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,98,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mean,,,,2022-04-20 12:00:00,5757.382317801673,4.766427718040621,4.780710605152787,101.59976105137396,0.07531380753138076,0.07555635491606714,695.6041714456392,0.5758763440860215,0.5775859796285201,12.274978494623657,0.009100418410041842,0.009136091127098322,0.663564862104188,,,,,,,,,410048.625,,48.695875,,485.34065934065933,0.057813186813186805,0.0003934065934065934,2095.390476190476,,2965013.476923077,2072395.6470588236,1724257.888888889,329474.4516129032,3990.5,10549.781105990784,34.453692307692315,24.081470588235295,20.036984126984127,3.828709677419355,1225.8824884792627,6541.943548387097,0.07595506912442397,42.889661172161176,104.70000000000003,19.099999999999998,2.5380000000000003,1.285,1390.2999999999995,52.20000000000001,325.72099999999995,2.4200000000000004,8.799999999999999,41.300000000000004,19.275000000000002,,54.70000000000001,0.45200000000000007,8605723.0,,,,
min,,,,2020-01-05 00:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,,,,,,,,,381468.0,,45.302,,209.0,0.025,0.0,368.7,,0.0,0.0,122.0,2767.0,1928.0,0.0,0.0,0.0,0.0,0.03,0.0,0.0,0.0,0.0,104.7,19.1,2.538,1.285,1390.3,52.2,325.721,2.42,8.8,41.3,19.275,,54.7,0.452,8605723.0,,,,
25%,,,,2021-02-26 06:00:00,3849.0,0.0,0.0,79.0,0.0,0.0,465.034,0.0,0.0,9.545,0.0,0.0,0.165,,,,,,,,,402008.75,,47.74125,,316.0,0.038,0.0,856.525,,97315.0,81098.25,43320.5,12864.0,2959.25,1099.75,1.13,0.94,0.505,0.15,127.75,1142.0,0.013,37.96,104.7,19.1,2.538,1.285,1390.3,52.2,325.721,2.42,8.8,41.3,19.275,,54.7,0.452,8605723.0,,,,
50%,,,,2022-04-20 12:00:00,7677.0,0.0,0.286,125.0,0.0,0.0,927.532,0.0,0.035,15.102,0.0,0.0,0.72,,,,,,,,,413463.0,,49.101,,335.0,0.04,0.0,1461.5,,2134324.0,1735434.0,1315830.0,85550.0,3990.5,3088.0,24.8,20.165,15.29,0.99,359.0,4362.5,0.051,42.54,104.7,19.1,2.538,1.285,1390.3,52.2,325.721,2.42,8.8,41.3,19.275,,54.7,0.452,8605723.0,,,,
75%,,,,2023-06-12 18:00:00,7762.0,0.0,3.571,125.0,0.0,0.0,937.801,0.0,0.431,15.102,0.0,0.0,0.95,,,,,,,,,422247.75,,50.14475,,710.0,0.084,0.0006,2232.5499999999997,,5122711.0,3621364.5,2981095.0,573131.0,5021.75,17881.5,59.53,42.082499999999996,34.64,6.66,2077.5,10371.0,0.121,50.93,104.7,19.1,2.538,1.285,1390.3,52.2,325.721,2.42,8.8,41.3,19.275,,54.7,0.452,8605723.0,,,,
max,,,,2024-08-04 00:00:00,7979.0,604.0,86.286,126.0,11.0,1.571,964.019,72.975,10.425,15.223,1.329,0.19,1.86,,,,,,,,,428517.0,,50.889,,838.0,0.1,0.0027,5860.1,,9155936.0,5676123.0,4961886.0,1201709.0,6053.0,60860.0,106.39,65.96,57.66,13.96,7072.0,34358.0,0.399,88.89,104.7,19.1,2.538,1.285,1390.3,52.2,325.721,2.42,8.8,41.3,19.275,,54.7,0.452,8605723.0,,,,
std,,,,,2722.5642350433172,32.414526652380424,11.442849054442132,37.17313685913056,0.7013787090093216,0.2561009166045401,328.9389163625453,3.91630318560806,1.3824847553836026,4.4910777121834995,0.08473686095137001,0.030990953140443724,0.467713905255097,,,,,,,,,16692.935459884135,,1.9822845721540592,,221.5115858409728,0.026278386593426965,0.0006082401203110857,1761.193870134622,,2916620.455333338,1918756.8099183603,1624614.8857889378,381825.36466626014,2916.8154723945086,12771.444689555441,33.891103486443846,22.29621420677389,18.877314994536956,4.437402950627378,1484.104696349821,6839.6129938535805,0.07953986217230755,15.578047080668048,2.8430202396208514e-14,3.553775299526064e-15,4.44221912440758e-16,0.0,4.548832383393362e-13,7.107550599052128e-15,5.686040479241703e-14,4.44221912440758e-16,1.776887649763032e-15,7.107550599052128e-15,3.553775299526064e-15,,7.107550599052128e-15,5.552773905509475e-17,0.0,,,,
