,iso_code,continent,location,date,total_cases,new_cases,new_cases_smoothed,total_deaths,new_deaths,new_deaths_smoothed,total_cases_per_million,new_cases_per_million,new_cases_smoothed_per_million,total_deaths_per_million,new_deaths_per_million,new_deaths_smoothed_per_million,reproduction_rate,icu_patients,icu_patients_per_million,hosp_patients,hosp_patients_per_million,weekly_icu_admissions,weekly_icu_admissions_per_million,weekly_hosp_admissions,weekly_hosp_admissions_per_million,total_tests,new_tests,total_tests_per_thousand,new_tests_per_thousand,new_tests_smoothed,new_tests_smoothed_per_thousand,positive_rate,tests_per_case,tests_units,total_vaccinations,people_vaccinated,people_fully_vaccinated,total_boosters,new_vaccinations,new_vaccinations_smoothed,total_vaccinations_per_hundred,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred,total_boosters_per_hundred,new_vaccinations_smoothed_per_million,new_people_vaccinated_smoothed,new_people_vaccinated_smoothed_per_hundred,stringency_index,population_density,median_age,aged_65_older,aged_70_older,gdp_per_capita,extreme_poverty,cardiovasc_death_rate,diabetes_prevalence,female_smokers,male_smokers,handwashing_facilities,hospital_beds_per_thousand,life_expectancy,human_development_index,population,excess_mortality_cumulative_absolute,excess_mortality_cumulative,excess_mortality,excess_mortality_cumulative_per_million
count,1674,1674,1674,1674,1674.0,1674.0,1669.0,1674.0,1674.0,1669.0,1674.0,1674.0,1669.0,1674.0,1674.0,1669.0,990.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,3.0,0.0,97.0,97.0,97.0,54.0,104,84.0,83.0,78.0,1.0,7.0,829.0,84.0,83.0,78.0,1.0,829.0,829.0,829.0,1092.0,1674.0,1674.0,1674.0,1674.0,0.0,0.0,1674.0,1674.0,0.0,0.0,1674.0,1674.0,1674.0,0.0,1674.0,0.0,0.0,0.0,0.0
unique,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
top,SOM,Africa,Somalia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,tests performed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
freq,1674,1674,1674,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,104,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mean,,,,2022-04-20 12:00:00,19000.734169653526,16.328554360812426,16.377475134811267,950.9354838709677,0.8130227001194743,0.8154685440383463,1067.343552568698,0.9172371565113502,0.9199484721390052,53.41791935483871,0.04567025089605735,0.04578310365488317,0.576959595959596,,,,,,,,,465117.6666666667,,27.254333333333335,,991.680412371134,0.05827835051546392,0.008490721649484535,576.3222222222222,,2205332.261904762,1801114.9518072288,1429101.935897436,28134.0,5327.428571428572,12546.09167671894,12.53202380952381,10.235421686746987,8.121153846153845,0.16,713.0229191797346,10657.16164053076,0.06059469240048251,29.994441391941397,23.5,16.800000000000004,2.7310000000000008,1.496,,,365.76900000000006,6.049999999999998,,,9.831000000000003,0.9000000000000002,57.399999999999984,,17597508.0,,,,
min,,,,2020-01-05 00:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02,,,,,,,,,400466.0,,23.466,,252.0,0.015,0.0,16.0,,117567.0,117567.0,942.0,28134.0,0.0,64.0,0.67,0.67,0.01,0.16,4.0,0.0,0.0,0.0,23.5,16.8,2.731,1.496,,,365.769,6.05,,,9.831,0.9,57.4,,17597508.0,,,,
25%,,,,2021-02-26 06:00:00,5889.0,0.0,0.0,194.0,0.0,0.0,330.808,0.0,0.0,10.898,0.0,0.0,0.21,,,,,,,,,447064.5,,26.1965,,398.0,0.023,0.0,58.8,,246313.0,156325.5,98756.0,28134.0,795.5,3819.0,1.4,0.885,0.5575,0.16,217.0,2183.0,0.012,13.89,23.5,16.8,2.731,1.496,,,365.769,6.05,,,9.831,0.9,57.4,,17597508.0,,,,
50%,,,,2022-04-20 12:00:00,26471.0,0.0,1.0,1361.0,0.0,0.0,1486.977,0.0,0.056,76.453,0.0,0.0,0.56,,,,,,,,,493663.0,,28.927,,1277.0,0.075,0.0003,270.9,,1056030.0,589128.0,790365.0,28134.0,1361.0,6972.0,6.0,3.35,4.49,0.16,396.0,5428.0,0.031,35.19,23.5,16.8,2.731,1.496,,,365.769,6.05,,,9.831,0.9,57.4,,17597508.0,,,,
75%,,,,2023-06-12 18:00:00,27334.0,0.0,11.857,1361.0,0.0,0.286,1535.455,0.0,0.666,76.453,0.0,0.016,0.93,,,,,,,,,497443.5,,29.1485,,1277.0,0.075,0.0068,638.5,,3143630.0,2545016.5,1641835.0,28134.0,8187.0,12930.0,17.86,14.465,9.33,0.16,735.0,10456.0,0.059,39.81,23.5,16.8,2.731,1.496,,,365.769,6.05,,,9.831,0.9,57.4,,17597508.0,,,,
max,,,,2024-08-04 00:00:00,27334.0,1102.0,157.429,1361.0,86.0,12.286,1535.455,61.904,8.843,76.453,4.831,0.69,1.34,,,,,,,,,501224.0,,29.37,,1277.0,0.075,0.0624,2976.7,,10555834.0,8972167.0,7666835.0,28134.0,17966.0,111118.0,59.98,50.99,43.57,0.16,6314.0,111118.0,0.631,73.61,23.5,16.8,2.731,1.496,,,365.769,6.05,,,9.831,0.9,57.4,,17597508.0,,,,
std,,,,,10497.816249183312,96.44438296159363,33.20568202973826,552.7157421236597,5.808689211494333,2.064942998556935,589.7023020880432,5.417650167133556,1.8652661715231582,31.048304402730054,0.32629732239967435,0.11598652417880699,0.3906414682386168,,,,,,,,,56117.47216628109,,3.2882615974604774,,448.0343073357532,0.026240372150260982,0.01755207182971469,891.6240513416053,,2609324.9700527387,2277299.6326715546,1900986.7887594476,,6985.726897446986,18376.39752466024,14.828111512784453,12.94134585126149,10.803008477171632,,1044.2172302113254,18138.228749574984,0.10305924271033264,16.94322924881392,0.0,3.553775299526064e-15,8.88443824881516e-16,0.0,,,5.686040479241703e-14,1.776887649763032e-15,,,3.553775299526064e-15,2.22110956220379e-16,1.4215101198104257e-14,,0.0,,,,
