,iso_code,continent,location,date,total_cases,new_cases,new_cases_smoothed,total_deaths,new_deaths,new_deaths_smoothed,total_cases_per_million,new_cases_per_million,new_cases_smoothed_per_million,total_deaths_per_million,new_deaths_per_million,new_deaths_smoothed_per_million,reproduction_rate,icu_patients,icu_patients_per_million,hosp_patients,hosp_patients_per_million,weekly_icu_admissions,weekly_icu_admissions_per_million,weekly_hosp_admissions,weekly_hosp_admissions_per_million,total_tests,new_tests,total_tests_per_thousand,new_tests_per_thousand,new_tests_smoothed,new_tests_smoothed_per_thousand,positive_rate,tests_per_case,tests_units,total_vaccinations,people_vaccinated,people_fully_vaccinated,total_boosters,new_vaccinations,new_vaccinations_smoothed,total_vaccinations_per_hundred,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred,total_boosters_per_hundred,new_vaccinations_smoothed_per_million,new_people_vaccinated_smoothed,new_people_vaccinated_smoothed_per_hundred,stringency_index,population_density,median_age,aged_65_older,aged_70_older,gdp_per_capita,extreme_poverty,cardiovasc_death_rate,diabetes_prevalence,female_smokers,male_smokers,handwashing_facilities,hospital_beds_per_thousand,life_expectancy,human_development_index,population,excess_mortality_cumulative_absolute,excess_mortality_cumulative,excess_mortality,excess_mortality_cumulative_per_million
count,1674,1674,1674,1674,1674.0,1674.0,1669.0,1674.0,1674.0,1669.0,1674.0,1674.0,1669.0,1674.0,1674.0,1669.0,1020.0,873.0,873.0,831.0,831.0,0.0,0.0,117.0,117.0,820.0,797.0,820.0,797.0,860.0,860.0,834.0,834.0,867,539.0,524.0,478.0,310.0,431.0,950.0,539.0,524.0,478.0,310.0,950.0,950.0,950.0,1092.0,1674.0,1674.0,1674.0,1674.0,1674.0,1674.0,1674.0,1674.0,1674.0,1674.0,1674.0,1674.0,1674.0,1674.0,1674.0,209.0,209.0,209.0,209.0
unique,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
top,ZAF,Africa,South Africa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,people tested,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
freq,1674,1674,1674,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,867,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mean,,,,2022-04-20 12:00:00,2802459.210274791,2432.954002389486,2440.242645895746,73901.76164874552,61.28733572281959,61.47094667465549,44926.74304898447,39.0031302270012,39.11998442180946,1184.7330268817204,0.982510752688172,0.9854607549430796,1.0224019607843136,803.6540664375716,13.417978235967928,6145.780986762937,102.61114320096267,,,4457.017094017094,74.41524786324786,11533898.280487806,31130.810539523212,194.19869756097557,0.5241706398996236,29763.173255813952,0.5011279069767441,0.12446043165467627,15.605515587529975,,25155394.612244897,15621670.061068702,14324709.80125523,3091527.212903226,46438.12296983759,43922.43894736842,41.99990723562152,26.082175572519088,23.917050209205023,5.161709677419354,733.3210526315789,25491.063157894736,0.04254736842105263,44.015934065934076,46.75400000000001,27.300000000000008,5.343999999999999,3.053,12294.876000000002,18.900000000000002,200.38000000000002,5.519999999999998,8.099999999999998,33.199999999999996,43.993,2.3200000000000003,64.13,0.7089999999999997,59893884.0,185424.96771660287,15.09641148325359,14.681866028708136,3091.694592584689
min,,,,2020-01-05 00:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.56,0.0,0.0,96.0,1.603,,,269.0,4.491,42.0,4.0,0.001,0.0,3.0,0.0,0.0096,2.8,,0.0,0.0,2260.0,405959.0,0.0,369.0,0.0,0.0,0.0,0.68,6.0,0.0,0.0,0.0,46.754,27.3,5.344,3.053,12294.876,18.9,200.38,5.52,8.1,33.2,43.993,2.32,64.13,0.709,59893884.0,-10280.2,-4.42,-18.85,-174.8276
25%,,,,2021-02-26 06:00:00,1502367.0,0.0,0.571,48940.0,0.0,0.0,24084.725,0.0,0.009,784.566,0.0,0.0,0.84,263.0,4.391,3075.5,51.349000000000004,,,1728.0,28.851,4060018.5,19997.0,68.359,0.337,20715.25,0.349,0.054000000000000006,5.0,,10933303.5,8009702.75,11163558.75,2709022.5,6605.5,5924.75,18.255,13.375,18.6425,4.52,99.0,676.75,0.001,34.1175,46.754,27.3,5.344,3.053,12294.876,18.9,200.38,5.52,8.1,33.2,43.993,2.32,64.13,0.709,59893884.0,56924.9,10.7,3.22,958.4566
50%,,,,2022-04-20 12:00:00,3740398.0,0.0,354.429,100144.0,0.0,6.0,59963.016,0.0,5.682,1605.427,0.0,0.096,0.99,600.0,10.018,4954.0,82.713,,,2559.0,42.726,10396134.5,28703.0,175.042,0.483,27437.0,0.462,0.0939,10.649999999999999,,32817492.0,20763120.5,18126410.0,3550484.5,14373.0,26042.0,54.79,34.665,30.265,5.925,435.0,5617.5,0.009,45.37,46.754,27.3,5.344,3.053,12294.876,18.9,200.38,5.52,8.1,33.2,43.993,2.32,64.13,0.709,59893884.0,242638.12,17.69,7.89,4051.1335
75%,,,,2023-06-12 18:00:00,4072533.0,0.0,2337.571,102595.0,0.0,82.0,65287.53,0.0,37.474,1644.72,0.0,1.315,1.2225,1136.0,18.967,8327.0,139.029,,,6901.0,115.22,18899907.5,39618.0,318.222,0.667,38704.25,0.652,0.20115,18.475,,37317349.5,22193124.5,19292167.75,3765151.0,63421.5,60389.5,62.305,37.052499999999995,32.2075,6.2875,1008.5,27648.75,0.046,57.41,46.754,27.3,5.344,3.053,12294.876,18.9,200.38,5.52,8.1,33.2,43.993,2.32,64.13,0.709,59893884.0,280230.72,20.55,15.69,4662.847
max,,,,2024-08-04 00:00:00,4072765.0,162987.0,23283.857,102595.0,4027.0,575.286,65291.246,2612.875,373.268,1644.72,64.558,9.223,2.08,2694.0,44.98,18034.0,301.099,,,18184.0,303.604,25637671.0,104831.0,431.667,1.765,75495.0,1.271,0.3512,103.8,,41798812.0,24210953.0,21038797.0,4410601.0,484564.0,241230.0,69.79,40.42,35.13,7.36,4028.0,210884.0,0.352,87.96,46.754,27.3,5.344,3.053,12294.876,18.9,200.38,5.52,8.1,33.2,43.993,2.32,64.13,0.709,59893884.0,309067.7,24.35,169.49,5115.787
