,iso_code,continent,location,date,total_cases,new_cases,new_cases_smoothed,total_deaths,new_deaths,new_deaths_smoothed,total_cases_per_million,new_cases_per_million,new_cases_smoothed_per_million,total_deaths_per_million,new_deaths_per_million,new_deaths_smoothed_per_million,reproduction_rate,icu_patients,icu_patients_per_million,hosp_patients,hosp_patients_per_million,weekly_icu_admissions,weekly_icu_admissions_per_million,weekly_hosp_admissions,weekly_hosp_admissions_per_million,total_tests,new_tests,total_tests_per_thousand,new_tests_per_thousand,new_tests_smoothed,new_tests_smoothed_per_thousand,positive_rate,tests_per_case,tests_units,total_vaccinations,people_vaccinated,people_fully_vaccinated,total_boosters,new_vaccinations,new_vaccinations_smoothed,total_vaccinations_per_hundred,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred,total_boosters_per_hundred,new_vaccinations_smoothed_per_million,new_people_vaccinated_smoothed,new_people_vaccinated_smoothed_per_hundred,stringency_index,population_density,median_age,aged_65_older,aged_70_older,gdp_per_capita,extreme_poverty,cardiovasc_death_rate,diabetes_prevalence,female_smokers,male_smokers,handwashing_facilities,hospital_beds_per_thousand,life_expectancy,human_development_index,population,excess_mortality_cumulative_absolute,excess_mortality_cumulative,excess_mortality,excess_mortality_cumulative_per_million
count,1674,0,1674,1674,1674.0,1674.0,1669.0,1674.0,1674.0,1669.0,1674.0,1674.0,1669.0,1674.0,1674.0,1669.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1130.0,1130.0,1125.0,1125.0,1130.0,1130.0,1130.0,1130.0,1125.0,1125.0,1130.0,1130.0,1130.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1674.0,0.0,0.0,0.0,0.0
unique,1,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
top,OWID_SAM,,South America,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
freq,1674,,1674,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mean,,,,2022-04-20 12:00:00,43897592.833333336,41105.74193548387,41228.215041342126,983825.7897252091,811.0029868578256,813.4320742959856,101970.55901732377,95.4853100358423,95.76979328939485,2285.347781362007,1.8838930704898444,1.8895428400239664,,,,,,,,,,,,,,,,,,,691489912.8796461,296468308.5265487,252423742.6808889,151447638.9768889,853950.8079646018,854043.6522123894,158.30215044247788,67.86997345132744,57.78699555555555,34.67064888888889,1955.1442477876105,331921.79911504424,0.07598053097345134,,,,,,,,,,,,,,,,436816679.0,,,,
min,,,,2020-01-05 00:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,420.0,420.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,436816679.0,,,,
25%,,,,2021-02-26 06:00:00,17386034.0,0.0,624.0,528328.0,0.0,7.429,40386.35,0.0,1.45,1227.263,0.0,0.017,,,,,,,,,,,,,,,,,,,454083666.25,273263653.0,187311149.0,6899797.0,40913.25,42061.0,103.95500000000001,62.5575,42.88,1.58,96.25,2351.75,0.001,,,,,,,,,,,,,,,,436816679.0,,,,
50%,,,,2022-04-20 12:00:00,56526869.0,0.0,20457.714,1291875.0,0.0,208.0,131307.34,0.0,47.522,3000.921,0.0,0.483,,,,,,,,,,,,,,,,,,,899607240.0,368525665.5,327289262.0,215701078.0,261407.5,386320.0,205.945,84.37,74.93,49.38,884.0,42233.5,0.01,,,,,,,,,,,,,,,,436816679.0,,,,
75%,,,,2023-06-12 18:00:00,68560092.0,0.0,61724.714,1352239.0,0.0,1326.571,159259.55,0.0,143.382,3141.142,0.0,3.082,,,,,,,,,,,,,,,,,,,956153246.75,375312261.25,336828170.0,253430958.0,1485078.5,1416578.75,218.8875,85.92,77.11,58.02,3243.25,543279.0,0.124,,,,,,,,,,,,,,,,436816679.0,,,,
max,,,,2024-08-04 00:00:00,68809418.0,2570599.0,367228.429,1354187.0,33704.0,4814.857,159838.72,5971.294,853.042,3145.667,78.292,11.185,,,,,,,,,,,,,,,,,,,964991405.0,375459127.0,337117943.0,257493475.0,5346868.0,3607374.0,220.91,85.95,77.18,58.95,8258.0,2241991.0,0.513,,,,,,,,,,,,,,,,436816679.0,,,,
std,,,,,26027508.098733135,178867.7231454173,55907.87380450843,489223.20509847044,3623.3668345289434,1146.0338339022858,60459.79693896124,415.4952509754115,129.8694984561764,1136.425950498067,8.41679461066663,2.6621396064603253,,,,,,,,,,,,,,,,,,,342857521.99792683,125335113.19680814,122270069.61683086,109255380.37983897,1065292.485736777,976912.0677137058,78.48996358736231,28.69284864593004,27.991181647797866,25.011715319550866,2236.431263974654,514743.3472081843,0.11784637269279026,,,,,,,,,,,,,,,,0.0,,,,
