,iso_code,continent,location,date,total_cases,new_cases,new_cases_smoothed,total_deaths,new_deaths,new_deaths_smoothed,total_cases_per_million,new_cases_per_million,new_cases_smoothed_per_million,total_deaths_per_million,new_deaths_per_million,new_deaths_smoothed_per_million,reproduction_rate,icu_patients,icu_patients_per_million,hosp_patients,hosp_patients_per_million,weekly_icu_admissions,weekly_icu_admissions_per_million,weekly_hosp_admissions,weekly_hosp_admissions_per_million,total_tests,new_tests,total_tests_per_thousand,new_tests_per_thousand,new_tests_smoothed,new_tests_smoothed_per_thousand,positive_rate,tests_per_case,tests_units,total_vaccinations,people_vaccinated,people_fully_vaccinated,total_boosters,new_vaccinations,new_vaccinations_smoothed,total_vaccinations_per_hundred,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred,total_boosters_per_hundred,new_vaccinations_smoothed_per_million,new_people_vaccinated_smoothed,new_people_vaccinated_smoothed_per_hundred,stringency_index,population_density,median_age,aged_65_older,aged_70_older,gdp_per_capita,extreme_poverty,cardiovasc_death_rate,diabetes_prevalence,female_smokers,male_smokers,handwashing_facilities,hospital_beds_per_thousand,life_expectancy,human_development_index,population,excess_mortality_cumulative_absolute,excess_mortality_cumulative,excess_mortality,excess_mortality_cumulative_per_million
count,1674,1674,1674,1674,1674.0,1674.0,1669.0,1674.0,1674.0,1669.0,1674.0,1674.0,1669.0,1674.0,1674.0,1669.0,969.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,176.0,85.0,176.0,85.0,656.0,656.0,656.0,635.0,663,89.0,89.0,80.0,6.0,3.0,909.0,89.0,89.0,80.0,6.0,909.0,909.0,909.0,1092.0,0.0,1674.0,1674.0,1674.0,1674.0,0.0,1674.0,1674.0,0.0,0.0,0.0,0.0,1674.0,1674.0,1674.0,0.0,0.0,0.0,0.0
unique,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
top,SSD,Africa,South Sudan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,tests performed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
freq,1674,1674,1674,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,663,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mean,,,,2022-04-20 12:00:00,12848.667264038231,11.244324970131421,11.277998202516477,110.4695340501792,0.08781362007168458,0.08809766327142,1165.8164462365592,1.0202449223416965,1.0233001797483523,10.023270011947432,0.007968339307048985,0.008014979029358897,0.735500515995872,,,,,,,,,141394.76136363635,692.964705882353,13.155102272727271,0.06437647058823529,592.185975609756,0.05497256097560976,0.036141768292682924,77.23842519685041,,1152996.8988764044,1116102.3370786516,1198938.225,418271.3333333333,2496.3333333333335,4796.3861386138615,10.565280898876406,10.227303370786515,10.985625,3.831666666666667,439.4664466446645,4740.909790979098,0.04350605060506051,40.48411172161172,,19.199999999999992,3.4410000000000003,2.032,1569.8879999999995,,280.77500000000003,10.430000000000001,,,,,57.850000000000016,0.43299999999999994,10913172.0,,,,
min,,,,2020-01-05 00:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,,,,,,,,,19433.0,116.0,1.808,0.011,155.0,0.014,0.0,2.8,,0.0,0.0,1513.0,272667.0,201.0,0.0,0.0,0.0,0.01,2.5,0.0,0.0,0.0,0.0,,19.2,3.441,2.032,1569.888,,280.775,10.43,,,,,57.85,0.433,10913172.0,,,,
25%,,,,2021-02-26 06:00:00,6584.0,0.0,0.0,86.0,0.0,0.0,597.395,0.0,0.0,7.803,0.0,0.0,0.51,,,,,,,,,56011.75,420.0,5.2115,0.039,539.75,0.05,0.0109,34.65,,103751.0,77546.0,44274.25,412133.75,1665.5,186.0,0.95,0.71,0.40499999999999997,3.775,17.0,186.0,0.002,23.82,,19.2,3.441,2.032,1569.888,,280.775,10.43,,,,,57.85,0.433,10913172.0,,,,
50%,,,,2022-04-20 12:00:00,17402.0,0.0,2.429,138.0,0.0,0.0,1578.96,0.0,0.22,12.521,0.0,0.0,0.83,,,,,,,,,109236.0,553.0,10.163,0.051,616.0,0.057,0.0172,56.7,,575057.0,526243.0,625518.0,439775.5,3130.0,1436.0,5.27,4.82,5.73,4.03,132.0,1263.0,0.012,41.67,,19.2,3.441,2.032,1569.888,,280.775,10.43,,,,,57.85,0.433,10913172.0,,,,
75%,,,,2023-06-12 18:00:00,18368.0,0.0,10.0,138.0,0.0,0.0,1666.61,0.0,0.907,12.521,0.0,0.0,1.04,,,,,,,,,154173.0,759.0,14.34375,0.071,616.0,0.057,0.0283,88.0,,2177752.0,2127334.0,2101283.0,440970.0,3644.0,4779.0,19.96,19.49,19.25,4.0375,438.0,5580.0,0.051,52.78,,19.2,3.441,2.032,1569.888,,280.775,10.43,,,,,57.85,0.433,10913172.0,,,,
max,,,,2024-08-04 00:00:00,18823.0,1353.0,193.286,147.0,12.0,1.714,1707.894,122.764,17.538,13.338,1.089,0.156,1.59,,,,,,,,,410280.0,7340.0,38.172,0.683,1439.0,0.134,0.3558,3069.9,,4365547.0,4315127.0,4273253.0,513122.0,4158.0,97376.0,40.0,39.54,39.16,4.7,8923.0,97358.0,0.892,86.11,,19.2,3.441,2.032,1569.888,,280.775,10.43,,,,,57.85,0.433,10913172.0,,,,
