,iso_code,continent,location,date,total_cases,new_cases,new_cases_smoothed,total_deaths,new_deaths,new_deaths_smoothed,total_cases_per_million,new_cases_per_million,new_cases_smoothed_per_million,total_deaths_per_million,new_deaths_per_million,new_deaths_smoothed_per_million,reproduction_rate,icu_patients,icu_patients_per_million,hosp_patients,hosp_patients_per_million,weekly_icu_admissions,weekly_icu_admissions_per_million,weekly_hosp_admissions,weekly_hosp_admissions_per_million,total_tests,new_tests,total_tests_per_thousand,new_tests_per_thousand,new_tests_smoothed,new_tests_smoothed_per_thousand,positive_rate,tests_per_case,tests_units,total_vaccinations,people_vaccinated,people_fully_vaccinated,total_boosters,new_vaccinations,new_vaccinations_smoothed,total_vaccinations_per_hundred,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred,total_boosters_per_hundred,new_vaccinations_smoothed_per_million,new_people_vaccinated_smoothed,new_people_vaccinated_smoothed_per_hundred,stringency_index,population_density,median_age,aged_65_older,aged_70_older,gdp_per_capita,extreme_poverty,cardiovasc_death_rate,diabetes_prevalence,female_smokers,male_smokers,handwashing_facilities,hospital_beds_per_thousand,life_expectancy,human_development_index,population,excess_mortality_cumulative_absolute,excess_mortality_cumulative,excess_mortality,excess_mortality_cumulative_per_million
count,1674,1674,1674,1674,1674.0,1282.0,1277.0,1674.0,1282.0,1277.0,1674.0,1282.0,1277.0,1674.0,1282.0,1277.0,1036.0,1045.0,1045.0,1045.0,1045.0,1039.0,1039.0,1039.0,1039.0,825.0,825.0,825.0,825.0,818.0,818.0,825.0,819.0,825,342.0,346.0,339.0,150.0,219.0,870.0,342.0,346.0,339.0,150.0,870.0,870.0,870.0,1092.0,1674.0,1674.0,1674.0,1674.0,1674.0,1674.0,1674.0,1674.0,1674.0,1674.0,0.0,1674.0,1674.0,1674.0,1674.0,209.0,209.0,209.0,209.0
unique,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
top,ESP,Europe,Spain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,tests performed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
freq,1674,1674,1674,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,825,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mean,,,,2022-04-20 12:00:00,8537779.1869773,10905.101404056162,10947.799527016445,89326.01493428912,95.04836193447738,95.42052466718872,178508.62337873358,228.00479407176283,228.89753876272513,1867.6359994026282,1.9872776911076444,1.9950877055599059,1.1482722007722006,1060.6,22.300893779904307,6194.103349282296,130.24142966507176,502.8075072184793,10.572366698748798,5341.0750721847935,112.30506833493745,41747828.21212121,112923.84,879.1434424242424,2.3780012121212124,113669.73227383863,2.393696821515893,0.12651272727272728,14.704273504273504,,54849825.39766082,27451319.245664738,25294756.209439527,16381419.2,287515.5707762557,121722.71264367815,115.33114035087719,57.72095375722544,53.18631268436578,34.44493333333333,2559.428735632184,47602.09425287356,0.1000586206896552,45.123653846153836,93.10500000000002,45.5,19.436000000000003,13.799000000000003,34272.35999999999,1.0,99.403,7.170000000000001,27.399999999999995,31.399999999999995,,2.9699999999999993,83.55999999999999,0.9040000000000001,47558632.0,93650.0926645933,11.466842105263156,9.201052631578948,1971.1969076124399
min,,,,2020-01-05 00:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.65,84.0,1.766,1202.0,25.274,56.0,1.177,1024.0,21.531,6304.0,6304.0,0.133,0.133,13016.0,0.274,0.0,2.3,,82834.0,82834.0,2315.0,265541.0,22084.0,1025.0,0.17,0.17,0.0,0.56,22.0,65.0,0.0,0.0,93.105,45.5,19.436,13.799,34272.36,1.0,99.403,7.17,27.4,31.4,,2.97,83.56,0.904,47558632.0,-6590.8003,-12.15,-12.15,-139.15266
25%,,,,2021-02-26 06:00:00,3116530.0,0.0,1608.857,73845.0,0.0,18.286,65160.676,0.0,33.638,1543.958,0.0,0.382,0.92,228.0,4.794,2492.0,52.398,165.0,3.4690000000000003,2170.0,45.628,10786834.0,52810.0,227.154,1.112,64172.5,1.351,0.055,5.85,,18059819.5,13042791.75,7268571.0,5154746.0,103615.5,11814.0,37.972500000000004,27.4225,15.285,10.835,248.25,331.75,0.001,27.59,93.105,45.5,19.436,13.799,34272.36,1.0,99.403,7.17,27.4,31.4,,2.97,83.56,0.904,47558632.0,70087.0,9.91,0.48,1475.9219
50%,,,,2022-04-20 12:00:00,11798595.0,0.0,4617.286,105178.0,0.0,48.429,246686.03,0.0,96.539,2199.07,0.0,1.013,1.125,574.0,12.069,4517.0,94.978,318.0,6.686,4045.0,85.053,41168962.0,101090.0,866.953,2.129,104498.5,2.2005,0.102,9.7,,66297475.0,36758731.5,35300384.0,21223835.5,251191.0,56474.5,139.4,77.28999999999999,74.22,44.63,1187.5,2863.5,0.006,43.98,93.105,45.5,19.436,13.799,34272.36,1.0,99.403,7.17,27.4,31.4,,2.97,83.56,0.904,47558632.0,97313.22,11.14,5.42,2046.1736
75%,,,,2023-06-12 18:00:00,13968644.0,0.0,11544.0,121734.0,0.0,104.429,292057.6,0.0,241.363,2545.225,0.0,2.183,1.27,1832.0,38.521,8118.0,170.695,740.0,15.56,7166.0,150.67700000000002,64354204.0,144832.0,1355.198,3.05,134981.5,2.84225,0.17,18.2,,87911773.5,40407274.5,38219865.5,25416646.25,452295.0,178499.25,184.8525,84.9675,80.365,53.44,3753.0,54744.75,0.115,66.67,93.105,45.5,19.436,13.799,34272.36,1.0,99.403,7.17,27.4,31.4,,2.97,83.56,0.904,47558632.0,136408.31,13.88,12.54,2869.5308
max,,,,2024-08-04 00:00:00,13980340.0,956506.0,136643.714,121852.0,5841.0,834.429,292302.16,19998.707,2856.958,2547.692,122.124,17.446,2.96,4894.0,102.905,27029.0,568.33,2334.0,49.076,22669.0,476.654,93162168.0,505369.0,1961.848,10.642,380876.0,8.021,0.434,66.7,,105840320.0,41351234.0,40739123.0,26559282.0,765399.0,670109.0,222.55,86.95,85.66,55.85,14090.0,275069.0,0.578,85.19,93.105,45.5,19.436,13.799,34272.36,1.0,99.403,7.17,27.4,31.4,,2.97,83.56,0.904,47558632.0,149787.2,26.22,156.63,3152.1123
std,,,,,5692123.516021469,60348.33822594418,20480.07912357804,37872.20057153636,426.2053294213191,135.0417599627514,119011.41024499005,1261.768202904317,428.19923780959226,791.8351872562118,8.911126581598557,2.823437134780442,0.33551547656389247,1037.723271825822,21.81984609462479,4829.730271261545,101.55317344236288,449.82836536456284,9.45839515594988,4034.261662558441,84.8271214871171,30727526.92716147,80609.94778613612,647.0732895567814,1.6975080311371809,70303.13592614936,1.4804752424360283,0.0963589196875615,13.281998546239821,,35142467.14731524,15136062.321720326,15675713.85801389,9988456.892815612,196135.53719604688,147518.8433142318,73.89294366398742,31.826341400069808,32.96100891284772,21.002301303967617,3101.8357850066786,78383.30900088976,0.16483198549169178,23.589740132617624,1.4215101198104257e-14,0.0,3.553775299526064e-15,3.553775299526064e-15,7.27813181342938e-12,0.0,0.0,8.88443824881516e-16,3.553775299526064e-15,3.553775299526064e-15,,8.88443824881516e-16,1.4215101198104257e-14,1.110554781101895e-16,0.0,41814.81008413359,5.887133671352509,18.955652719980016,878.9841864631604
