,iso_code,continent,location,date,total_cases,new_cases,new_cases_smoothed,total_deaths,new_deaths,new_deaths_smoothed,total_cases_per_million,new_cases_per_million,new_cases_smoothed_per_million,total_deaths_per_million,new_deaths_per_million,new_deaths_smoothed_per_million,reproduction_rate,icu_patients,icu_patients_per_million,hosp_patients,hosp_patients_per_million,weekly_icu_admissions,weekly_icu_admissions_per_million,weekly_hosp_admissions,weekly_hosp_admissions_per_million,total_tests,new_tests,total_tests_per_thousand,new_tests_per_thousand,new_tests_smoothed,new_tests_smoothed_per_thousand,positive_rate,tests_per_case,tests_units,total_vaccinations,people_vaccinated,people_fully_vaccinated,total_boosters,new_vaccinations,new_vaccinations_smoothed,total_vaccinations_per_hundred,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred,total_boosters_per_hundred,new_vaccinations_smoothed_per_million,new_people_vaccinated_smoothed,new_people_vaccinated_smoothed_per_hundred,stringency_index,population_density,median_age,aged_65_older,aged_70_older,gdp_per_capita,extreme_poverty,cardiovasc_death_rate,diabetes_prevalence,female_smokers,male_smokers,handwashing_facilities,hospital_beds_per_thousand,life_expectancy,human_development_index,population,excess_mortality_cumulative_absolute,excess_mortality_cumulative,excess_mortality,excess_mortality_cumulative_per_million
count,1674,1674,1674,1674,1674.0,1674.0,1669.0,1674.0,1674.0,1669.0,1674.0,1674.0,1669.0,1674.0,1674.0,1669.0,940.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,220.0,220.0,220.0,220.0,682.0,682.0,220.0,214.0,689,235.0,234.0,211.0,13.0,162.0,455.0,235.0,234.0,211.0,13.0,455.0,455.0,455.0,1092.0,1674.0,1674.0,1674.0,1674.0,1674.0,0.0,1674.0,1674.0,1674.0,1674.0,1674.0,1674.0,1674.0,1674.0,1674.0,24.0,24.0,24.0,24.0
unique,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
top,SUR,South America,Suriname,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,tests performed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
freq,1674,1674,1674,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,689,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mean,,,,2022-04-20 12:00:00,51549.12425328555,49.283751493428916,49.43138705811863,909.7777777777778,0.8399044205495818,0.8424577591372079,82720.40688769415,79.085188172043,79.32207070101859,1459.9120113500596,1.3477879330943845,1.3517633313361292,0.882191489361702,,,,,,,,,34599.21363636364,382.6545454545454,56.443940909090905,0.6242136363636364,122.35923753665689,0.19960117302052788,0.24545909090909093,6.895327102803738,,304263.2425531915,184852.15384615384,132698.08530805688,46021.307692307695,2119.4074074074074,1113.7516483516483,49.22974468085106,29.909316239316244,21.470710900473932,7.446153846153847,1802.0351648351648,590.989010989011,0.09564395604395605,54.44619047619047,3.6120000000000014,29.600000000000005,6.932999999999999,4.229,13767.119000000004,,258.31399999999996,12.539999999999996,7.400000000000001,42.899999999999984,67.779,3.100000000000001,71.68000000000004,0.7379999999999999,618046.0,308.56667077916666,3.1812500000000004,20.256249999999998,503.10317754583326
min,,,,2020-01-05 00:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,166.0,24.0,0.271,0.039,9.0,0.015,0.0,2.0,,0.0,0.0,82.0,41132.0,10.0,14.0,0.0,0.0,0.01,6.66,23.0,6.0,0.001,0.0,3.612,29.6,6.933,4.229,13767.119,,258.314,12.54,7.4,42.9,67.779,3.1,71.68,0.738,618046.0,-116.1,-11.34,-15.09,-191.2471
25%,,,,2021-02-26 06:00:00,8854.0,0.0,0.0,168.0,0.0,0.0,14207.933,0.0,0.0,269.588,0.0,0.0,0.67,,,,,,,,,9024.0,139.75,14.721250000000001,0.22775,30.25,0.0495,0.13075,2.5,,194584.5,158553.5,49174.0,44288.0,1023.0,201.5,31.479999999999997,25.6525,7.955,7.17,326.0,72.5,0.0115,21.3,3.612,29.6,6.933,4.229,13767.119,,258.314,12.54,7.4,42.9,67.779,3.1,71.68,0.738,618046.0,-33.525,-1.7999999999999998,-1.425,-55.224455500000005
50%,,,,2022-04-20 12:00:00,79276.0,0.0,2.714,1325.0,0.0,0.0,127213.47,0.0,4.356,2126.215,0.0,0.0,0.87,,,,,,,,,25591.5,275.0,41.749,0.4485,61.0,0.1,0.234,4.2,,337124.0,202798.0,154459.0,46907.0,1818.0,638.0,54.55,32.81,24.99,7.59,1032.0,368.0,0.06,60.86,3.612,29.6,6.933,4.229,13767.119,,258.314,12.54,7.4,42.9,67.779,3.1,71.68,0.738,618046.0,6.4000007,0.5,7.305,10.542477
75%,,,,2023-06-12 18:00:00,82495.0,0.0,39.571,1404.0,0.0,0.714,132378.97,0.0,63.5,2252.986,0.0,1.146,1.13,,,,,,,,,55385.5,481.5,90.354,0.78525,132.0,0.215,0.39225,7.25,,456124.5,251697.5,209505.5,47795.0,2485.0,1708.0,73.8,40.7225,33.900000000000006,7.73,2763.5,769.5,0.1245,75.0,3.612,29.6,6.933,4.229,13767.119,,258.314,12.54,7.4,42.9,67.779,3.1,71.68,0.738,618046.0,554.2,9.1975,31.2125,904.0944999999999
max,,,,2024-08-04 00:00:00,82501.0,6541.0,934.429,1406.0,60.0,8.571,132388.6,10496.283,1499.469,2256.195,96.281,13.754,2.43,,,,,,,,,84184.0,2452.0,137.335,4.0,991.0,1.617,0.508,43.5,,505699.0,267820.0,237879.0,48889.0,9775.0,6238.0,81.82,43.33,38.49,7.91,10093.0,5461.0,0.884,100.0,3.612,29.6,6.933,4.229,13767.119,,258.314,12.54,7.4,42.9,67.779,3.1,71.68,0.738,618046.0,1584.8,20.01,110.94,2585.3645
std,,,,,35320.44767155649,342.3838114867949,121.24427502440776,591.8042879214644,4.997374946576355,1.7231899168030536,56678.39828573292,549.4201697159713,194.55955817135876,949.6628736583988,8.019243083609604,2.7652085622960034,0.43396981870674506,,,,,,,,,28105.127896803875,369.93599190548946,45.84968656113674,0.6034819551012567,164.009522066981,0.2675610611936101,0.14340909060647505,7.009643031739029,,160716.23448383532,78369.93032077207,80751.63184417669,2368.701028855808,1683.7849464916078,1217.1475907090573,26.003927414146013,12.680210408788627,13.065644990432865,0.3820457752141415,1969.344992428,847.4888183544393,0.1371333985166288,27.23744420081419,1.332665737322274e-15,3.553775299526064e-15,8.88443824881516e-16,0.0,3.63906590671469e-12,,5.686040479241703e-14,3.553775299526064e-15,8.88443824881516e-16,1.4215101198104257e-14,0.0,8.88443824881516e-16,2.8430202396208514e-14,1.110554781101895e-16,0.0,553.9767204177205,8.769410922905974,34.83103012026963,903.9418228560253
