,iso_code,continent,location,date,total_cases,new_cases,new_cases_smoothed,total_deaths,new_deaths,new_deaths_smoothed,total_cases_per_million,new_cases_per_million,new_cases_smoothed_per_million,total_deaths_per_million,new_deaths_per_million,new_deaths_smoothed_per_million,reproduction_rate,icu_patients,icu_patients_per_million,hosp_patients,hosp_patients_per_million,weekly_icu_admissions,weekly_icu_admissions_per_million,weekly_hosp_admissions,weekly_hosp_admissions_per_million,total_tests,new_tests,total_tests_per_thousand,new_tests_per_thousand,new_tests_smoothed,new_tests_smoothed_per_thousand,positive_rate,tests_per_case,tests_units,total_vaccinations,people_vaccinated,people_fully_vaccinated,total_boosters,new_vaccinations,new_vaccinations_smoothed,total_vaccinations_per_hundred,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred,total_boosters_per_hundred,new_vaccinations_smoothed_per_million,new_people_vaccinated_smoothed,new_people_vaccinated_smoothed_per_hundred,stringency_index,population_density,median_age,aged_65_older,aged_70_older,gdp_per_capita,extreme_poverty,cardiovasc_death_rate,diabetes_prevalence,female_smokers,male_smokers,handwashing_facilities,hospital_beds_per_thousand,life_expectancy,human_development_index,population,excess_mortality_cumulative_absolute,excess_mortality_cumulative,excess_mortality,excess_mortality_cumulative_per_million
count,1674,1674,1674,1674,1674.0,1674.0,1669.0,1674.0,1674.0,1669.0,1674.0,1674.0,1669.0,1674.0,1674.0,1669.0,1032.0,1097.0,1097.0,1485.0,1485.0,0.0,0.0,0.0,0.0,721.0,721.0,721.0,721.0,714.0,714.0,714.0,713.0,721,164.0,114.0,113.0,30.0,1.0,1149.0,164.0,114.0,113.0,30.0,1149.0,805.0,805.0,1092.0,1674.0,1674.0,1674.0,1674.0,1674.0,1674.0,1674.0,1674.0,1674.0,1674.0,0.0,1674.0,1674.0,1674.0,1674.0,209.0,209.0,209.0,209.0
unique,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
top,SWE,Europe,Sweden,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,tests performed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
freq,1674,1674,1674,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,721,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mean,,,,2022-04-20 12:00:00,1714655.4665471923,1645.8667861409797,1650.4739418813658,16967.921146953406,16.3673835125448,16.402041941282206,163497.76060872158,156.9385448028674,157.3778460155782,1617.944333930705,1.560678614097969,1.5639838226482925,1.143827519379845,111.34457611668186,10.554639015496809,807.3185185185185,76.52779730639732,,,,,9622971.834951457,25530.631067961163,919.3544230235785,2.439126213592233,25704.731092436974,2.455757703081233,0.1068189075630252,21.46255259467041,,19610884.14634146,6249409.48245614,5741093.212389381,9073516.8,69531.0,24662.47171453438,185.8969512195122,59.23973684210526,54.42141592920354,86.00933333333333,2337.8146214099215,9682.976397515527,0.09179378881987581,36.82375457875458,24.718,41.0,19.985000000000003,13.432999999999995,46949.28300000001,0.5,133.98199999999997,4.789999999999999,18.800000000000008,18.900000000000002,,2.2199999999999998,82.79999999999997,0.9450000000000002,10549349.0,10001.66611397129,5.382727272727273,5.692535885167464,948.6720878899522
min,,,,2020-01-05 00:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.44,3.0,0.284,0.0,0.0,,,,,11789.0,2196.0,1.126,0.21,2196.0,0.21,0.0,1.3,,2478.0,1413.0,62.0,7094270.0,69531.0,217.0,0.02,0.01,0.0,67.25,21.0,19.0,0.0,0.0,24.718,41.0,19.985,13.433,46949.283,0.5,133.982,4.79,18.8,18.9,,2.22,82.8,0.945,10549349.0,-1201.3999,-6.15,-14.18,-115.864944
25%,,,,2021-02-26 06:00:00,637817.0,0.0,101.429,12854.0,0.0,2.857,60817.844,0.0,9.672,1225.669,0.0,0.272,0.97,18.0,1.706,268.0,25.404,,,,,4028271.0,10697.0,384.851,1.022,10951.0,1.0465,0.0336,8.3,,14416550.5,6206734.75,4198040.0,8716013.0,69531.0,2896.0,136.6625,58.832499999999996,39.79,82.6175,275.0,134.0,0.001,11.11,24.718,41.0,19.985,13.433,46949.283,0.5,133.982,4.79,18.8,18.9,,2.22,82.8,0.945,10549349.0,7996.3,5.02,-1.24,763.9464
50%,,,,2022-04-20 12:00:00,2497864.0,0.0,468.571,18730.0,0.0,7.286,238179.14,0.0,44.68,1785.964,0.0,0.695,1.17,38.0,3.602,549.0,52.041,,,,,10508766.0,21564.0,1003.981,2.06,21966.5,2.0985,0.0881,11.3,,22839558.5,7698935.0,7467732.0,9402317.5,69531.0,15244.0,216.505,72.97999999999999,70.79,89.125,1445.0,1305.0,0.012,34.96,24.718,41.0,19.985,13.433,46949.283,0.5,133.982,4.79,18.8,18.9,,2.22,82.8,0.945,10549349.0,9984.2,5.45,3.31,946.4281
75%,,,,2023-06-12 18:00:00,2710946.0,0.0,1019.714,24468.0,0.0,19.571,258497.17,0.0,97.233,2333.1,0.0,1.866,1.29,192.0,18.2,1274.0,120.766,,,,,14669701.0,37510.0,1401.506,3.584,37665.25,3.59875,0.12090000000000001,29.7,,26155879.75,7759844.5,7576826.0,9781611.5,69531.0,38577.0,247.94,73.5575,71.82,92.7225,3657.0,11285.0,0.107,59.26,24.718,41.0,19.985,13.433,46949.283,0.5,133.982,4.79,18.8,18.9,,2.22,82.8,0.945,10549349.0,15206.902,6.42,9.01,1432.9794
max,,,,2024-08-04 00:00:00,2755181.0,281038.0,40148.286,27399.0,679.0,97.0,262715.12,26797.852,3828.265,2612.58,64.745,9.249,2.29,560.0,53.084,2776.0,263.144,,,,,18407585.0,87153.0,1758.614,8.326,87153.0,8.326,0.7919,155.6,,28312817.0,7775726.0,7593676.0,9836355.0,69531.0,110659.0,268.38,73.71,71.98,93.24,10490.0,58818.0,0.558,71.13,24.718,41.0,19.985,13.433,46949.283,0.5,133.982,4.79,18.8,18.9,,2.22,82.8,0.945,10549349.0,20273.002,10.59,47.96,1910.369
