,iso_code,continent,location,date,total_cases,new_cases,new_cases_smoothed,total_deaths,new_deaths,new_deaths_smoothed,total_cases_per_million,new_cases_per_million,new_cases_smoothed_per_million,total_deaths_per_million,new_deaths_per_million,new_deaths_smoothed_per_million,reproduction_rate,icu_patients,icu_patients_per_million,hosp_patients,hosp_patients_per_million,weekly_icu_admissions,weekly_icu_admissions_per_million,weekly_hosp_admissions,weekly_hosp_admissions_per_million,total_tests,new_tests,total_tests_per_thousand,new_tests_per_thousand,new_tests_smoothed,new_tests_smoothed_per_thousand,positive_rate,tests_per_case,tests_units,total_vaccinations,people_vaccinated,people_fully_vaccinated,total_boosters,new_vaccinations,new_vaccinations_smoothed,total_vaccinations_per_hundred,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred,total_boosters_per_hundred,new_vaccinations_smoothed_per_million,new_people_vaccinated_smoothed,new_people_vaccinated_smoothed_per_hundred,stringency_index,population_density,median_age,aged_65_older,aged_70_older,gdp_per_capita,extreme_poverty,cardiovasc_death_rate,diabetes_prevalence,female_smokers,male_smokers,handwashing_facilities,hospital_beds_per_thousand,life_expectancy,human_development_index,population,excess_mortality_cumulative_absolute,excess_mortality_cumulative,excess_mortality,excess_mortality_cumulative_per_million
count,1674,1674,1674,1674,1674.0,1674.0,1669.0,1674.0,1674.0,1669.0,1674.0,1674.0,1669.0,1674.0,1674.0,1669.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,8.0,8.0,5.0,3.0,0.0,532.0,8.0,8.0,5.0,3.0,532.0,532.0,532.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1674.0,0.0,1674.0,0.0,0.0,0.0,0.0
unique,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
top,TKL,Oceania,Tokelau,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
freq,1674,1674,1674,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mean,,,,2022-04-20 12:00:00,19.3584229390681,0.04778972520908005,0.04792630317555423,0.0,0.0,0.0,8373.019839904422,20.670297491039427,20.732221689634514,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,2372.125,1158.0,1383.0,932.6666666666666,,10.139097744360901,125.30999999999999,61.1725,73.05999999999999,49.27333333333333,5356.291353383459,4.046992481203008,0.21393045112781955,,,,,,,,,,,,,,81.86000000000001,,1893.0,,,,
min,,,,2020-01-05 00:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,0.0,0.0,968.0,862.0,,1.0,0.0,0.0,51.14,45.54,528.0,0.0,0.0,,,,,,,,,,,,,,81.86,,1893.0,,,,
25%,,,,2021-02-26 06:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,964.25,964.25,1125.0,915.0,,2.0,50.94,50.94,59.43,48.34,1057.0,1.0,0.053,,,,,,,,,,,,,,81.86,,1893.0,,,,
50%,,,,2022-04-20 12:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,2200.0,1153.5,1125.0,968.0,,2.0,116.215,60.935,59.43,51.14,1057.0,1.0,0.053,,,,,,,,,,,,,,81.86,,1893.0,,,,
75%,,,,2023-06-12 18:00:00,5.0,0.0,0.0,0.0,0.0,0.0,2162.63,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,3483.5,1377.75,1494.0,968.0,,17.0,184.01999999999998,72.7775,78.92,51.14,8980.0,2.0,0.106,,,,,,,,,,,,,,81.86,,1893.0,,,,
max,,,,2024-08-04 00:00:00,80.0,39.0,5.571,0.0,0.0,0.0,34602.074,16868.512,2409.787,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,5374.0,2203.0,2203.0,968.0,,62.0,283.89,116.38,116.38,51.14,32752.0,23.0,1.215,,,,,,,,,,,,,,81.86,,1893.0,,,,
std,,,,,33.39517725449694,1.1145338878646132,0.4195034291391749,0.0,0.0,0.0,14444.27991755218,482.06484260210226,181.46282320959472,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,1782.490107165495,624.0,497.51231140545656,61.19912853410033,,12.348647292579448,94.16253986743196,32.96373190991231,26.282133665286764,3.233161507461905,6523.127238059791,7.018112857119991,0.370679211740244,,,,,,,,,,,,,,1.4215101198104257e-14,,0.0,,,,
