,iso_code,continent,location,date,total_cases,new_cases,new_cases_smoothed,total_deaths,new_deaths,new_deaths_smoothed,total_cases_per_million,new_cases_per_million,new_cases_smoothed_per_million,total_deaths_per_million,new_deaths_per_million,new_deaths_smoothed_per_million,reproduction_rate,icu_patients,icu_patients_per_million,hosp_patients,hosp_patients_per_million,weekly_icu_admissions,weekly_icu_admissions_per_million,weekly_hosp_admissions,weekly_hosp_admissions_per_million,total_tests,new_tests,total_tests_per_thousand,new_tests_per_thousand,new_tests_smoothed,new_tests_smoothed_per_thousand,positive_rate,tests_per_case,tests_units,total_vaccinations,people_vaccinated,people_fully_vaccinated,total_boosters,new_vaccinations,new_vaccinations_smoothed,total_vaccinations_per_hundred,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred,total_boosters_per_hundred,new_vaccinations_smoothed_per_million,new_people_vaccinated_smoothed,new_people_vaccinated_smoothed_per_hundred,stringency_index,population_density,median_age,aged_65_older,aged_70_older,gdp_per_capita,extreme_poverty,cardiovasc_death_rate,diabetes_prevalence,female_smokers,male_smokers,handwashing_facilities,hospital_beds_per_thousand,life_expectancy,human_development_index,population,excess_mortality_cumulative_absolute,excess_mortality_cumulative,excess_mortality,excess_mortality_cumulative_per_million
count,1674,1674,1674,1674,1674.0,1674.0,1669.0,1674.0,1674.0,1669.0,1674.0,1674.0,1669.0,1674.0,1674.0,1669.0,323.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,41.0,41.0,39.0,13.0,0.0,721.0,41.0,41.0,39.0,13.0,721.0,721.0,721.0,1092.0,1674.0,1674.0,1674.0,1674.0,1674.0,0.0,1674.0,1674.0,1674.0,1674.0,0.0,1674.0,1674.0,1674.0,1674.0,0.0,0.0,0.0,0.0
unique,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
top,TON,Oceania,Tonga,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
freq,1674,1674,1674,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mean,,,,2022-04-20 12:00:00,8132.097968936679,10.140979689366786,10.171377471539843,6.103942652329749,0.007168458781362007,0.007192929898142601,77409.47819593787,96.53203225806452,96.82122768124627,58.10343010752688,0.06823655913978495,0.06844397843019773,0.5078947368421053,,,,,,,,,,,,,,,,,,113191.41463414633,58021.243902439026,46015.92307692308,35950.46153846154,,281.2981969486824,105.91756097560977,54.29317073170733,43.059230769230766,33.64153846153847,2632.1650485436894,119.7739251040222,0.11208183079056865,45.772344322344324,150.028,22.300000000000008,5.82,4.031999999999998,5425.621000000001,,227.49,15.419999999999996,11.8,44.399999999999984,,2.600000000000001,70.90999999999998,0.7249999999999998,106867.0,,,,
min,,,,2020-01-05 00:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,,,,,,,,,,,,,,,,,,2287.0,2287.0,1349.0,19930.0,,1.0,2.14,2.14,1.26,18.65,9.0,0.0,0.0,0.0,150.028,22.3,5.82,4.032,5425.621,,227.49,15.42,11.8,44.4,,2.6,70.91,0.725,106867.0,,,,
25%,,,,2021-02-26 06:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07,,,,,,,,,,,,,,,,,,47553.0,28841.0,26526.0,37220.0,,11.0,44.5,26.99,24.82,34.83,103.0,0.0,0.0,43.52,150.028,22.3,5.82,4.032,5425.621,,227.49,15.42,11.8,44.4,,2.6,70.91,0.725,106867.0,,,,
50%,,,,2022-04-20 12:00:00,9025.0,0.0,0.0,11.0,0.0,0.0,85909.016,0.0,0.0,104.709,0.0,0.0,0.48,,,,,,,,,,,,,,,,,,118185.0,73183.0,46239.0,37615.0,,185.0,110.59,68.48,43.27,35.2,1731.0,7.0,0.007,47.22,150.028,22.3,5.82,4.032,5425.621,,227.49,15.42,11.8,44.4,,2.6,70.91,0.725,106867.0,,,,
75%,,,,2023-06-12 18:00:00,16817.0,0.0,0.143,12.0,0.0,0.0,160081.11,0.0,1.36,114.228,0.0,0.0,0.855,,,,,,,,,,,,,,,,,,190474.0,81816.0,72494.0,38331.0,,441.0,178.23,76.56,67.84,35.87,4127.0,139.0,0.13,48.66,150.028,22.3,5.82,4.032,5425.621,,227.49,15.42,11.8,44.4,,2.6,70.91,0.725,106867.0,,,,
max,,,,2024-08-04 00:00:00,16976.0,2173.0,310.429,12.0,7.0,1.0,161594.62,20684.797,2954.971,114.228,66.633,9.519,1.26,,,,,,,,,,,,,,,,,,203208.0,87342.0,77360.0,38506.0,,2026.0,190.15,81.73,72.39,36.03,18958.0,1536.0,1.437,96.3,150.028,22.3,5.82,4.032,5425.621,,227.49,15.42,11.8,44.4,,2.6,70.91,0.725,106867.0,,,,
std,,,,,8017.576615050378,101.51219080840312,37.252447988061576,5.937808486515135,0.18605602138340138,0.07012294734071493,76319.34893237868,966.2950268527627,354.6058606461856,56.521998983137564,1.7710672675485974,0.6674092533955276,0.41695051027153257,,,,,,,,,,,,,,,,,,69669.665060188,27302.01531094407,28510.737610115848,5174.406755293864,,363.3966628440456,65.19278080357087,25.547671658981407,26.679761241792033,4.8417384036346665,3400.471646894333,244.50019356329523,0.2287886038220999,19.618310780293175,0.0,7.107550599052128e-15,0.0,1.776887649763032e-15,9.097664766786724e-13,,0.0,3.553775299526064e-15,0.0,1.4215101198104257e-14,,8.88443824881516e-16,1.4215101198104257e-14,2.22110956220379e-16,0.0,,,,
