,iso_code,continent,location,date,total_cases,new_cases,new_cases_smoothed,total_deaths,new_deaths,new_deaths_smoothed,total_cases_per_million,new_cases_per_million,new_cases_smoothed_per_million,total_deaths_per_million,new_deaths_per_million,new_deaths_smoothed_per_million,reproduction_rate,icu_patients,icu_patients_per_million,hosp_patients,hosp_patients_per_million,weekly_icu_admissions,weekly_icu_admissions_per_million,weekly_hosp_admissions,weekly_hosp_admissions_per_million,total_tests,new_tests,total_tests_per_thousand,new_tests_per_thousand,new_tests_smoothed,new_tests_smoothed_per_thousand,positive_rate,tests_per_case,tests_units,total_vaccinations,people_vaccinated,people_fully_vaccinated,total_boosters,new_vaccinations,new_vaccinations_smoothed,total_vaccinations_per_hundred,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred,total_boosters_per_hundred,new_vaccinations_smoothed_per_million,new_people_vaccinated_smoothed,new_people_vaccinated_smoothed_per_hundred,stringency_index,population_density,median_age,aged_65_older,aged_70_older,gdp_per_capita,extreme_poverty,cardiovasc_death_rate,diabetes_prevalence,female_smokers,male_smokers,handwashing_facilities,hospital_beds_per_thousand,life_expectancy,human_development_index,population,excess_mortality_cumulative_absolute,excess_mortality_cumulative,excess_mortality,excess_mortality_cumulative_per_million
count,1674,1674,1674,1674,1674.0,1674.0,1669.0,1674.0,1674.0,1669.0,1674.0,1674.0,1669.0,1674.0,1674.0,1669.0,1003.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,508.0,471.0,508.0,471.0,542.0,542.0,508.0,504.0,549,457.0,459.0,440.0,258.0,402.0,583.0,457.0,459.0,440.0,258.0,583.0,583.0,583.0,1092.0,1674.0,1674.0,1674.0,1674.0,1674.0,0.0,1674.0,1674.0,0.0,0.0,1674.0,1674.0,1674.0,1674.0,1674.0,0.0,0.0,0.0,0.0
unique,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
top,TTO,North America,Trinidad and Tobago,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,people tested,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
freq,1674,1674,1674,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,549,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mean,,,,2022-04-20 12:00:00,108220.84707287933,114.39426523297492,114.73695805871778,2577.572879330944,2.6224611708482675,2.6303265428400238,72343.9096953405,76.47074014336917,76.69982624325944,1723.0663835125447,1.7530669056152928,1.758220491312163,0.9186640079760718,,,,,,,,,374752.8700787402,1414.6050955414012,245.6328031496063,0.927212314225053,1282.7785977859778,0.8407933579335795,0.20938976377952756,12.85873015873016,,1095340.8468271336,563417.816993464,522837.0363636364,123788.17441860466,3762.60447761194,2711.713550600343,71.542056892779,36.79976034858388,34.14936363636364,8.085193798449613,1771.1663807890222,1292.8319039451114,0.08442195540308749,52.33026556776557,266.88599999999997,36.199999999999996,10.013999999999996,5.819000000000002,28763.071,,228.46700000000004,10.97,,,89.443,3.0,73.50999999999999,0.7959999999999999,1531043.0,,,,
min,,,,2020-01-05 00:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,,,,,,,,,70152.0,15.0,45.981,0.01,128.0,0.084,0.0,1.5,,0.0,0.0,196.0,137.0,2.0,42.0,0.0,0.0,0.01,0.01,27.0,16.0,0.001,0.0,266.886,36.2,10.014,5.819,28763.071,,228.467,10.97,,,89.443,3.0,73.51,0.796,1531043.0,,,,
25%,,,,2021-02-26 06:00:00,7666.0,0.0,0.0,139.0,0.0,0.0,5124.598,0.0,0.0,92.919,0.0,0.0,0.82,,,,,,,,,164390.0,568.5,107.75,0.3725,794.5,0.521,0.132,3.6,,709963.0,441319.0,393032.0,102050.75,534.0,207.0,46.37,28.825,25.6725,6.665,135.5,52.0,0.003,17.2275,266.886,36.2,10.014,5.819,28763.071,,228.467,10.97,,,89.443,3.0,73.51,0.796,1531043.0,,,,
50%,,,,2022-04-20 12:00:00,141853.0,0.0,20.429,3798.0,0.0,0.429,94826.47,0.0,13.656,2538.902,0.0,0.286,0.96,,,,,,,,,344880.5,883.0,226.053,0.579,1260.0,0.826,0.2055,4.8,,1330873.0,695129.0,659824.0,145395.0,2460.5,1473.0,86.93,45.4,43.095,9.5,962.0,399.0,0.026,63.89,266.886,36.2,10.014,5.819,28763.071,,228.467,10.97,,,89.443,3.0,73.51,0.796,1531043.0,,,,
75%,,,,2023-06-12 18:00:00,191496.0,0.0,185.857,4390.0,0.0,2.571,128012.02,0.0,124.243,2934.645,0.0,1.719,1.09,,,,,,,,,569823.25,1221.5,373.49199999999996,0.801,1621.5,1.0625,0.276,7.5,,1549291.0,746946.5,710981.0,163239.0,5277.25,3606.5,101.19,48.785,46.44,10.665,2355.5,1798.0,0.1175,73.8025,266.886,36.2,10.014,5.819,28763.071,,228.467,10.97,,,89.443,3.0,73.51,0.796,1531043.0,,,,
max,,,,2024-08-04 00:00:00,191496.0,6189.0,884.143,4390.0,199.0,28.429,128012.02,4137.248,591.035,2934.645,133.028,19.004,2.1,,,,,,,,,768404.0,15921.0,503.653,10.435,3597.0,2.358,0.689,166.7,,1580898.0,753588.0,716898.0,168619.0,22019.0,17908.0,103.26,49.22,46.82,11.01,11697.0,13786.0,0.9,92.59,266.886,36.2,10.014,5.819,28763.071,,228.467,10.97,,,89.443,3.0,73.51,0.796,1531043.0,,,,
std,,,,,83015.8648711951,556.3462435647419,181.8063330941036,1919.0595135073268,14.616708733978816,4.967462336099996,55494.7811435915,371.90859975891215,121.53466629885429,1282.8606769451844,9.771031846799472,3.3207151956449152,0.38484230870001396,,,,,,,,,221644.25807790773,1907.3045314352805,145.27734510698477,1.250147493229003,670.8426783788016,0.43969385429078706,0.1369329788033831,23.180194877679522,,543870.6562326775,245837.96879242212,249740.76273606112,50249.585246411596,4193.086347487509,3464.112512647356,35.52307782330546,16.05712918116732,16.31144140714208,3.282123043756629,2262.5611414954656,2008.6913118068082,0.13121049036466878,28.036969279872896,5.686040479241703e-14,7.107550599052128e-15,3.553775299526064e-15,1.776887649763032e-15,0.0,,2.8430202396208514e-14,0.0,,,0.0,0.0,1.4215101198104257e-14,1.110554781101895e-16,0.0,,,,
