,iso_code,continent,location,date,total_cases,new_cases,new_cases_smoothed,total_deaths,new_deaths,new_deaths_smoothed,total_cases_per_million,new_cases_per_million,new_cases_smoothed_per_million,total_deaths_per_million,new_deaths_per_million,new_deaths_smoothed_per_million,reproduction_rate,icu_patients,icu_patients_per_million,hosp_patients,hosp_patients_per_million,weekly_icu_admissions,weekly_icu_admissions_per_million,weekly_hosp_admissions,weekly_hosp_admissions_per_million,total_tests,new_tests,total_tests_per_thousand,new_tests_per_thousand,new_tests_smoothed,new_tests_smoothed_per_thousand,positive_rate,tests_per_case,tests_units,total_vaccinations,people_vaccinated,people_fully_vaccinated,total_boosters,new_vaccinations,new_vaccinations_smoothed,total_vaccinations_per_hundred,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred,total_boosters_per_hundred,new_vaccinations_smoothed_per_million,new_people_vaccinated_smoothed,new_people_vaccinated_smoothed_per_hundred,stringency_index,population_density,median_age,aged_65_older,aged_70_older,gdp_per_capita,extreme_poverty,cardiovasc_death_rate,diabetes_prevalence,female_smokers,male_smokers,handwashing_facilities,hospital_beds_per_thousand,life_expectancy,human_development_index,population,excess_mortality_cumulative_absolute,excess_mortality_cumulative,excess_mortality,excess_mortality_cumulative_per_million
count,1674,1674,1674,1674,1674.0,1674.0,1669.0,1674.0,1674.0,1669.0,1674.0,1674.0,1669.0,1674.0,1674.0,1669.0,1019.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,796.0,796.0,796.0,796.0,789.0,789.0,788.0,788.0,796,633.0,603.0,603.0,466.0,618.0,678.0,633.0,603.0,603.0,466.0,678.0,648.0,648.0,1092.0,1674.0,1674.0,1674.0,1674.0,1674.0,1674.0,1674.0,1674.0,1674.0,1674.0,0.0,1674.0,1674.0,1674.0,1674.0,48.0,48.0,48.0,48.0
unique,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
top,TUR,Asia,Turkey,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,tests performed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
freq,1674,1674,1674,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,796,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mean,,,,2022-04-20 12:00:00,10510843.440860216,10158.135005973716,10188.566808268424,68420.89964157707,60.58482676224612,60.76632893948473,120733.14993847073,116.68175209080046,117.03131815458357,785.9190489844683,0.6959074074074074,0.6979910125823846,0.8519627085377821,,,,,,,,,60164796.57788945,204980.56909547737,709.6963806532663,2.4179246231155775,206242.855513308,2.432811153358682,0.06974187817258883,27.521700507614213,,99756300.11058451,45376754.9668325,38829410.348258704,26437087.69527897,242556.2637540453,226059.2610619469,116.89110584518168,53.1708623548922,45.49892205638475,30.978218884120178,2648.877581120944,85579.54938271605,0.1002716049382716,42.27967032967033,104.91400000000002,31.600000000000005,8.153000000000002,5.061000000000001,25129.341000000004,0.2,171.28500000000005,12.129999999999997,14.099999999999996,41.100000000000016,,2.809999999999999,77.69000000000001,0.8200000000000002,85341248.0,155557.7461458333,13.608958333333334,16.26520833333333,1820.9107645000001
min,,,,2020-01-05 00:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.03,,,,,,,,,7533.0,7533.0,0.089,0.089,13413.0,0.158,0.0077,4.3,,0.0,3067822.0,336532.0,298841.0,399.0,2485.0,0.0,3.59,0.39,0.35,29.0,182.0,0.0,0.0,104.914,31.6,8.153,5.061,25129.341,0.2,171.285,12.13,14.1,41.1,,2.81,77.69,0.82,85341248.0,-4257.1,-4.62,-5.53,-50.598183
25%,,,,2021-02-26 06:00:00,2631876.0,0.0,0.0,27983.0,0.0,0.0,30231.13,0.0,0.0,321.428,0.0,0.0,0.63,,,,,,,,,11662158.75,112825.0,137.56525,1.33125,113224.0,1.336,0.024149999999999998,11.4,,43629179.0,38438267.0,18687566.5,12060133.75,27458.75,16615.75,51.12,45.04,21.9,14.135,195.0,848.0,0.001,13.89,104.914,31.6,8.153,5.061,25129.341,0.2,171.285,12.13,14.1,41.1,,2.81,77.69,0.82,85341248.0,67083.6925,12.8325,2.0675,792.78205
50%,,,,2022-04-20 12:00:00,14991669.0,0.0,1583.286,98577.0,0.0,10.429,172202.3,0.0,18.186,1132.308,0.0,0.12,0.94,,,,,,,,,46817368.0,191671.0,552.252,2.261,194259.0,2.291,0.0584,17.1,,120058425.0,56517947.0,50916147.0,34490630.0,142491.5,142644.0,140.68,66.23,59.66,40.415,1671.5,19973.5,0.023,36.72,104.914,31.6,8.153,5.061,25129.341,0.2,171.285,12.13,14.1,41.1,,2.81,77.69,0.82,85341248.0,186602.54,16.835,6.785,2193.6652
75%,,,,2023-06-12 18:00:00,17004677.0,0.0,11431.714,101419.0,0.0,90.0,195324.78,0.0,131.311,1164.953,0.0,1.034,1.08,,,,,,,,,101987706.5,307031.5,1203.03425,3.6215,308066.0,3.634,0.087625,41.375,,147576861.0,57833740.5,53054383.5,36898076.0,333501.25,299690.75,172.93,67.77,62.17,43.2375,3511.5,111493.75,0.1305,69.91,104.914,31.6,8.153,5.061,25129.341,0.2,171.285,12.13,14.1,41.1,,2.81,77.69,0.82,85341248.0,230814.58000000002,18.715,21.9775,2699.0591
max,,,,2024-08-04 00:00:00,17004718.0,712091.0,101727.286,101419.0,2493.0,356.143,195325.25,8179.457,1168.494,1164.953,28.636,4.091,4.25,,,,,,,,,163164533.0,468152.0,1924.668,5.522,460112.0,5.427,0.2334,130.4,,152543341.0,57941051.0,53176961.0,41425329.0,1796891.0,1264431.0,178.75,67.89,62.31,48.54,14816.0,1155560.0,1.354,80.56,104.914,31.6,8.153,5.061,25129.341,0.2,171.285,12.13,14.1,41.1,,2.81,77.69,0.82,85341248.0,293025.97,21.1,120.75,3414.5767
std,,,,,6993621.810101558,53150.26521029203,17767.9235699689,39780.14029289162,272.1580559977435,86.28229790704552,80332.46715354577,610.5122997930451,204.09183807046486,456.9359780366222,3.1261458889082068,0.9910955740843249,0.517325822346543,,,,,,,,,52679678.95100827,121517.54046414181,621.4028754571644,1.4334083897903074,120775.40303841165,1.4246542758375615,0.05362544411654511,23.2519523827092,,54700115.40766575,18353491.929102033,18752917.173867997,13755728.092714084,300433.2215994253,258897.9332029524,64.09578008021766,21.506116342075714,21.973913770141987,16.118598742538214,3033.6829946976864,158156.89977699425,0.18530901631146507,25.930628632297044,1.4215101198104257e-14,3.553775299526064e-15,1.776887649763032e-15,8.88443824881516e-16,3.63906590671469e-12,0.0,5.686040479241703e-14,3.553775299526064e-15,3.553775299526064e-15,1.4215101198104257e-14,,8.88443824881516e-16,1.4215101198104257e-14,2.22110956220379e-16,0.0,106340.66862389061,7.740978342584005,23.00181842853959,1239.5177986823292
