,iso_code,continent,location,date,total_cases,new_cases,new_cases_smoothed,total_deaths,new_deaths,new_deaths_smoothed,total_cases_per_million,new_cases_per_million,new_cases_smoothed_per_million,total_deaths_per_million,new_deaths_per_million,new_deaths_smoothed_per_million,reproduction_rate,icu_patients,icu_patients_per_million,hosp_patients,hosp_patients_per_million,weekly_icu_admissions,weekly_icu_admissions_per_million,weekly_hosp_admissions,weekly_hosp_admissions_per_million,total_tests,new_tests,total_tests_per_thousand,new_tests_per_thousand,new_tests_smoothed,new_tests_smoothed_per_thousand,positive_rate,tests_per_case,tests_units,total_vaccinations,people_vaccinated,people_fully_vaccinated,total_boosters,new_vaccinations,new_vaccinations_smoothed,total_vaccinations_per_hundred,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred,total_boosters_per_hundred,new_vaccinations_smoothed_per_million,new_people_vaccinated_smoothed,new_people_vaccinated_smoothed_per_hundred,stringency_index,population_density,median_age,aged_65_older,aged_70_older,gdp_per_capita,extreme_poverty,cardiovasc_death_rate,diabetes_prevalence,female_smokers,male_smokers,handwashing_facilities,hospital_beds_per_thousand,life_expectancy,human_development_index,population,excess_mortality_cumulative_absolute,excess_mortality_cumulative,excess_mortality,excess_mortality_cumulative_per_million
count,1674,1674,1674,1674,1674.0,1674.0,1669.0,1674.0,1674.0,1669.0,1674.0,1674.0,1669.0,1674.0,1674.0,1669.0,1013.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,556.0,474.0,556.0,474.0,674.0,674.0,674.0,674.0,681,362.0,362.0,341.0,68.0,356.0,1032.0,362.0,362.0,341.0,68.0,1032.0,1032.0,1032.0,1092.0,1674.0,1674.0,1674.0,1674.0,1674.0,1674.0,1674.0,1674.0,1674.0,1674.0,0.0,1674.0,1674.0,1674.0,1674.0,25.0,25.0,25.0,25.0
unique,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
top,UKR,Europe,Ukraine,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,tests performed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
freq,1674,1674,1674,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,681,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mean,,,,2022-04-20 12:00:00,3483784.565710872,3305.1236559139784,3314.9373421210303,71840.756869773,65.66308243727599,65.85977890952665,84869.40884050178,80.51699940262843,80.75605991611744,1750.131910394265,1.5996332138590206,1.6044260035949667,0.9738696939782824,,,,,,,,,7677778.519784173,28222.33966244726,176.37324460431657,0.6483037974683544,28326.197329376853,0.6507121661721069,0.19719821958456973,7.844213649851632,,11899713.936464088,6531236.759668509,5558462.961876833,309726.3676470588,88628.86797752809,34612.87209302326,29.972790055248616,16.450745856353592,14.000469208211143,0.7805882352941176,871.6443798449612,15763.612403100775,0.03979457364341086,41.647380952380956,77.38999999999999,41.399999999999984,16.461999999999996,11.133,7894.392999999997,0.1,539.8490000000002,7.11,13.5,47.399999999999984,,8.799999999999999,72.05999999999999,0.7790000000000001,39701744.0,53025.087688,4.6844,15.0276,1234.0781412000001
min,,,,2020-01-05 00:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.36,,,,,,,,,20608.0,2914.0,0.473,0.067,3174.0,0.073,0.0372,1.7,,159.0,159.0,1.0,14.0,90.0,949.0,0.0,0.0,0.0,0.0,24.0,742.0,0.002,0.0,77.39,41.4,16.462,11.133,7894.393,0.1,539.849,7.11,13.5,47.4,,8.8,72.06,0.779,39701744.0,-14858.4,-5.83,-11.55,-338.38565
25%,,,,2021-02-26 06:00:00,1265381.0,0.0,80.143,22585.0,0.0,0.0,30826.285,0.0,1.952,550.199,0.0,0.0,0.81,,,,,,,,,1827230.75,13557.0,41.97475,0.31125,17628.0,0.40475,0.08185,3.4,,1103786.25,993909.75,180843.0,11702.0,19050.5,6125.0,2.7800000000000002,2.505,0.46,0.0275,154.0,742.0,0.002,8.33,77.39,41.4,16.462,11.133,7894.393,0.1,539.849,7.11,13.5,47.4,,8.8,72.06,0.779,39701744.0,-3551.6,-2.97,0.83,-80.88425
50%,,,,2022-04-20 12:00:00,4950889.0,0.0,697.714,105692.0,0.0,8.714,120609.93,0.0,16.997,2574.791,0.0,0.212,1.0,,,,,,,,,7917294.0,24915.0,181.8755,0.572,24708.5,0.5674999999999999,0.19635000000000002,5.1,,8381405.0,5130181.0,4030268.0,211183.0,71706.0,6125.0,21.115000000000002,12.925,10.15,0.535,154.0,742.0,0.002,50.93,77.39,41.4,16.462,11.133,7894.393,0.1,539.849,7.11,13.5,47.4,,8.8,72.06,0.779,39701744.0,40922.2,6.57,8.11,940.0611
75%,,,,2023-06-12 18:00:00,5517281.0,0.0,3997.571,109869.0,0.0,63.571,134407.95,0.0,97.386,2676.548,0.0,1.549,1.14,,,,,,,,,11987358.0,37505.25,275.3725,0.8614999999999999,37665.75,0.865,0.29264999999999997,12.2,,23154283.75,12979057.25,10829356.0,500025.0,131198.25,45563.0,58.32,32.695,27.28,1.2625,1148.0,17019.5,0.043,58.8,77.39,41.4,16.462,11.133,7894.393,0.1,539.849,7.11,13.5,47.4,,8.8,72.06,0.779,39701744.0,92279.4,10.08,26.57,2119.8342
max,,,,2024-08-04 00:00:00,5532777.0,242942.0,34706.0,109920.0,4591.0,655.857,134785.47,5918.375,845.482,2677.79,111.843,15.978,1.86,,,,,,,,,19288823.0,113106.0,443.101,2.598,79753.0,1.832,0.6027,26.9,,35735488.0,16267198.0,15741036.0,3294979.0,317209.0,255007.0,90.01,40.97,39.65,8.3,6423.0,188506.0,0.475,88.89,77.39,41.4,16.462,11.133,7894.393,0.1,539.849,7.11,13.5,47.4,,8.8,72.06,0.779,39701744.0,179972.2,15.53,83.82,4533.106
std,,,,,2184387.7802796424,17184.172347240215,5734.31147423162,44814.73063494717,362.82925560921655,123.04819501803468,53214.45593983537,418.6282275588931,139.6950871417573,1091.743627484289,8.83898585736658,2.9976163802088736,0.24330325341462136,,,,,,,,,5698421.766312918,18277.968409314857,130.90364500967627,0.4198972698614917,15421.069961932282,0.3542548007210823,0.1167821040164944,5.476276328564608,,11304330.973591536,5734530.498906943,5470379.278940211,446655.80867738737,79072.7111263771,56160.23210383363,28.4732780437051,14.443730507237493,13.778795294915886,1.1255007275078592,1414.6516903232525,30902.100022351668,0.07779292097887328,26.13215501044526,1.4215101198104257e-14,1.4215101198104257e-14,3.553775299526064e-15,0.0,2.729299430036017e-12,0.0,1.1372080958483405e-13,0.0,0.0,1.4215101198104257e-14,,1.776887649763032e-15,1.4215101198104257e-14,1.110554781101895e-16,0.0,62955.87150287198,7.18245842313062,21.61100380978789,1481.1004974922269
