,iso_code,continent,location,date,total_cases,new_cases,new_cases_smoothed,total_deaths,new_deaths,new_deaths_smoothed,total_cases_per_million,new_cases_per_million,new_cases_smoothed_per_million,total_deaths_per_million,new_deaths_per_million,new_deaths_smoothed_per_million,reproduction_rate,icu_patients,icu_patients_per_million,hosp_patients,hosp_patients_per_million,weekly_icu_admissions,weekly_icu_admissions_per_million,weekly_hosp_admissions,weekly_hosp_admissions_per_million,total_tests,new_tests,total_tests_per_thousand,new_tests_per_thousand,new_tests_smoothed,new_tests_smoothed_per_thousand,positive_rate,tests_per_case,tests_units,total_vaccinations,people_vaccinated,people_fully_vaccinated,total_boosters,new_vaccinations,new_vaccinations_smoothed,total_vaccinations_per_hundred,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred,total_boosters_per_hundred,new_vaccinations_smoothed_per_million,new_people_vaccinated_smoothed,new_people_vaccinated_smoothed_per_hundred,stringency_index,population_density,median_age,aged_65_older,aged_70_older,gdp_per_capita,extreme_poverty,cardiovasc_death_rate,diabetes_prevalence,female_smokers,male_smokers,handwashing_facilities,hospital_beds_per_thousand,life_expectancy,human_development_index,population,excess_mortality_cumulative_absolute,excess_mortality_cumulative,excess_mortality,excess_mortality_cumulative_per_million
count,1674,1674,1674,1674,1674.0,1674.0,1669.0,1674.0,1674.0,1669.0,1674.0,1674.0,1669.0,1674.0,1674.0,1669.0,1036.0,781.0,781.0,1198.0,1198.0,0.0,0.0,888.0,888.0,778.0,776.0,778.0,776.0,773.0,773.0,770.0,770.0,780,602.0,609.0,609.0,339.0,600.0,602.0,602.0,609.0,609.0,339.0,602.0,609.0,609.0,1092.0,1674.0,1674.0,1674.0,1674.0,1674.0,1674.0,1674.0,1674.0,1674.0,1674.0,0.0,1674.0,1674.0,1674.0,1674.0,209.0,209.0,209.0,209.0
unique,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
top,GBR,Europe,United Kingdom,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,tests performed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
freq,1674,1674,1674,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,780,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mean,,,,2022-04-20 12:00:00,14795921.87455197,14919.13321385902,14962.08192810066,165832.2616487455,138.65710872162484,139.0725020970641,217014.82206630823,218.82198864994027,219.4519532654284,2432.2957275985664,2.0337126642771803,2.0398352306770517,1.0565444015444017,900.5006402048656,13.338967989756723,9146.025876460768,135.4787370617696,,,7489.521396396396,110.94117792792794,185604641.1799486,647529.3118556701,2758.6470347043696,9.62425257731959,649726.4346701164,9.656906856403623,0.04632116883116884,77.23545454545454,,100668680.95681064,44615354.47783251,36791909.94745485,32290809.368731562,247237.42166666666,247792.7973421927,149.1193023255814,66.087947454844,54.499293924466336,47.83191740412979,3670.495016611296,85562.13464696224,0.1267208538587849,43.22663003663004,272.89800000000014,40.800000000000004,18.517,12.526999999999997,39753.244,0.2,122.13699999999996,4.280000000000001,20.0,24.699999999999992,,2.5399999999999996,81.31999999999996,0.9320000000000002,67508936.0,128823.75484263159,10.474593301435407,9.594976076555023,1907.9380440291866
min,,,,2020-01-05 00:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.27,60.0,0.889,721.0,10.68,,,666.0,9.865,155174.0,11924.0,2.306,0.177,15713.0,0.234,0.0019,3.4,,2677971.0,2286572.0,391399.0,868202.0,3103.0,10905.0,3.97,3.39,0.58,1.29,162.0,933.0,0.001,0.0,272.898,40.8,18.517,12.527,39753.244,0.2,122.137,4.28,20.0,24.7,,2.54,81.32,0.932,67508936.0,-6099.4995,-4.24,-19.2,-90.956566
25%,,,,2021-02-26 06:00:00,4185806.0,0.0,942.429,144999.0,0.0,14.286,61394.074,0.0,13.823,2126.73,0.0,0.21,0.88,277.0,4.103,4767.5,70.62,,,3112.5,46.104749999999996,23763498.25,235726.75,353.19725,3.50325,254024.0,3.776,0.0115,15.0,,69871391.25,41297016.0,29472332.0,32375171.5,65013.75,73131.75,103.5,61.17,43.66,47.955,1083.5,8010.0,0.012,11.11,272.898,40.8,18.517,12.527,39753.244,0.2,122.137,4.28,20.0,24.7,,2.54,81.32,0.932,67508936.0,79912.3,9.7,0.36,1187.7388
50%,,,,2022-04-20 12:00:00,21820947.0,0.0,3729.286,195176.0,0.0,61.143,320052.3,0.0,54.698,2862.686,0.0,0.897,1.03,708.0,10.488,7619.0,112.8595,,,6185.0,91.6175,140665097.5,610600.0,2090.7095,9.075,655163.0,9.738,0.0385,25.95,,106292788.5,50455318.0,45942003.0,38616845.0,193226.5,209170.5,157.45,74.74,68.05,57.2,3098.0,27020.0,0.04,43.66,272.898,40.8,18.517,12.527,39753.244,0.2,122.137,4.28,20.0,24.7,,2.54,81.32,0.932,67508936.0,132536.52,10.13,8.35,1963.244
75%,,,,2023-06-12 18:00:00,24631888.0,0.0,18700.143,228302.0,0.0,134.429,361280.97,0.0,274.279,3348.552,0.0,1.972,1.1624999999999999,1030.0,15.257,11829.0,175.2215,,,10561.75,156.44975,326230084.5,995360.25,4848.76675,14.79425,984556.0,14.633,0.066775,87.2,,143062615.75,52959181.0,49580222.0,39847752.0,388812.75,402688.5,211.9175,78.45,73.44,59.025000000000006,5965.25,118283.0,0.175,67.59,272.898,40.8,18.517,12.527,39753.244,0.2,122.137,4.28,20.0,24.7,,2.54,81.32,0.932,67508936.0,184146.67,11.89,14.05,2718.5618
max,,,,2024-08-04 00:00:00,24974629.0,1320332.0,188618.857,232112.0,9723.0,1389.0,366308.0,19365.58,2766.511,3404.434,142.609,20.373,2.53,4077.0,60.392,38745.0,573.924,,,29443.0,436.135,503270347.0,2224245.0,7480.121,33.059,1862309.0,27.68,0.2983,514.8,,151248820.0,53813491.0,50762968.0,40373987.0,1062705.0,970350.0,224.04,79.71,75.19,59.81,14374.0,506394.0,0.75,87.96,272.898,40.8,18.517,12.527,39753.244,0.2,122.137,4.28,20.0,24.7,,2.54,81.32,0.932,67508936.0,235884.77,20.59,107.25,3482.3726
std,,,,,10421818.103469068,79761.22055646514,26822.994137247228,72396.34713853885,727.4072680695527,243.34958506172347,152858.94428630214,1169.874180356539,393.4183536944347,1061.8520294430186,10.669032585763052,3.569253100139968,0.2829015105885168,896.9935977601326,13.287041832813003,6985.834252184608,103.48013793309214,,,5774.579711749008,85.53798661275071,171325208.5674803,464365.10713594616,2546.4114139266107,6.901884526052365,435951.6107259992,6.4795728669369215,0.04527333609223804,108.98864928248221,,46191297.24471538,12742295.169848017,17595559.633890916,12147633.791102702,211600.2643590943,189839.18533123436,68.42253750614871,18.87506944629602,26.063910443861595,17.994210874914998,2812.067302410501,121385.01213268563,0.17981757269318735,27.803078435390024,1.1372080958483405e-13,7.107550599052128e-15,0.0,1.776887649763032e-15,0.0,0.0,4.264530359431277e-14,8.88443824881516e-16,0.0,7.107550599052128e-15,,4.44221912440758e-16,2.8430202396208514e-14,1.110554781101895e-16,0.0,65506.6057421538,4.2854411351953186,16.097397906195475,965.4212008517345
