,iso_code,continent,location,date,total_cases,new_cases,new_cases_smoothed,total_deaths,new_deaths,new_deaths_smoothed,total_cases_per_million,new_cases_per_million,new_cases_smoothed_per_million,total_deaths_per_million,new_deaths_per_million,new_deaths_smoothed_per_million,reproduction_rate,icu_patients,icu_patients_per_million,hosp_patients,hosp_patients_per_million,weekly_icu_admissions,weekly_icu_admissions_per_million,weekly_hosp_admissions,weekly_hosp_admissions_per_million,total_tests,new_tests,total_tests_per_thousand,new_tests_per_thousand,new_tests_smoothed,new_tests_smoothed_per_thousand,positive_rate,tests_per_case,tests_units,total_vaccinations,people_vaccinated,people_fully_vaccinated,total_boosters,new_vaccinations,new_vaccinations_smoothed,total_vaccinations_per_hundred,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred,total_boosters_per_hundred,new_vaccinations_smoothed_per_million,new_people_vaccinated_smoothed,new_people_vaccinated_smoothed_per_hundred,stringency_index,population_density,median_age,aged_65_older,aged_70_older,gdp_per_capita,extreme_poverty,cardiovasc_death_rate,diabetes_prevalence,female_smokers,male_smokers,handwashing_facilities,hospital_beds_per_thousand,life_expectancy,human_development_index,population,excess_mortality_cumulative_absolute,excess_mortality_cumulative,excess_mortality,excess_mortality_cumulative_per_million
count,1674,1674,1674,1674,1674.0,1232.0,1227.0,1674.0,1674.0,1669.0,1674.0,1232.0,1227.0,1674.0,1674.0,1669.0,1034.0,1381.0,1381.0,1381.0,1381.0,0.0,0.0,1375.0,1375.0,840.0,840.0,840.0,840.0,833.0,833.0,834.0,834.0,840,878.0,878.0,878.0,575.0,877.0,877.0,878.0,878.0,878.0,575.0,877.0,877.0,877.0,1092.0,1674.0,1674.0,1674.0,1674.0,1674.0,1674.0,1674.0,1674.0,1674.0,1674.0,0.0,1674.0,1674.0,1674.0,1674.0,209.0,209.0,209.0,209.0
unique,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
top,USA,North America,United States,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,tests performed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
freq,1674,1674,1674,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,840,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mean,,,,2022-04-20 12:00:00,63270300.75089606,83958.4650974026,84300.59413121436,777909.9964157706,712.76284348865,714.5802354703414,185253.27863500596,245.82751461038964,246.82929339853303,2277.6938709677424,2.0869384707287937,2.0922366686638703,1.0809381044487427,7703.354815351195,22.771458363504706,36706.53729181753,108.5061600289645,,,36406.19127272727,107.61833745454544,410386446.7011905,1086629.9095238096,1217.7725107142855,3.224455952380952,1094185.831932773,3.246857142857143,0.08531534772182253,16.77649880095923,,471846074.571754,214009733.72209567,181615607.96697038,53957174.56173913,771588.5541619157,771667.6579247435,142.11854214123008,64.45902050113895,54.70214123006835,16.251756521739132,2324.2383124287344,308281.36488027364,0.09285062713797036,48.58054945054945,35.608000000000004,38.300000000000004,15.413000000000002,9.732000000000001,54225.446,1.1999999999999995,151.08899999999994,10.789999999999996,19.099999999999998,24.6,,2.7700000000000005,78.86000000000001,0.926,338289856.0,832382.3883698564,12.92842105263158,11.40311004784689,2458.452738401914
min,,,,2020-01-05 00:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.52,566.0,1.673,4633.0,13.695,,,5396.0,15.951,348.0,348.0,0.001,0.001,1165.0,0.003,0.017,3.4,,45620.0,36817.0,9669.0,1.0,2556.0,4848.0,0.01,0.01,0.0,0.0,15.0,4648.0,0.001,0.0,35.608,38.3,15.413,9.732,54225.446,1.2,151.089,10.79,19.1,24.6,,2.77,78.86,0.926,338289856.0,-13459.8,-3.84,-4.44,-40.06584
25%,,,,2021-02-26 06:00:00,27864340.0,0.0,29820.0,506493.0,0.0,198.857,81585.83,0.0,87.312,1482.994,0.0,0.582,0.91,2044.0,6.042,15321.0,45.29,,,17456.0,51.601,116097254.75,661345.5,344.5045,1.96225,773383.0,2.295,0.05,9.5,,349277487.5,188706163.5,168845486.75,308.5,198058.0,228745.0,105.1975,56.84,50.86,0.0,689.0,41923.0,0.013,30.57,35.608,38.3,15.413,9.732,54225.446,1.2,151.089,10.79,19.1,24.6,,2.77,78.86,0.926,338289856.0,475144.72,12.03,2.55,1409.9349
50%,,,,2022-04-20 12:00:00,79946773.0,0.0,54857.143,984444.0,0.0,394.857,234081.42,0.0,160.62,2882.418,0.0,1.156,1.02,3865.0,11.425,26484.0,78.288,,,28510.0,84.277,416340619.5,1011313.0,1235.4405000000002,3.001,1080551.0,3.206,0.072,13.9,,560841574.0,253955428.5,218097651.5,39811513.0,475619.0,503599.0,168.92000000000002,76.49000000000001,65.69,11.99,1517.0,75895.0,0.023,52.19,35.608,38.3,15.413,9.732,54225.446,1.2,151.089,10.79,19.1,24.6,,2.77,78.86,0.926,338289856.0,987298.8,14.43,7.3,2918.4995
75%,,,,2023-06-12 18:00:00,103436829.0,0.0,101376.714,1129984.0,0.0,972.857,302859.5,0.0,296.828,3308.554,0.0,2.848,1.13,11534.0,34.095,42200.0,124.745,,,42353.5,125.199,660354848.25,1496002.75,1959.5240000000001,4.439500000000001,1479284.0,4.39,0.105,20.0,,627458474.75,264498443.25,226547731.5,106605615.5,985889.0,1025590.0,188.985,79.6675,68.2375,32.11,3089.0,372643.0,0.112,68.06,35.608,38.3,15.413,9.732,54225.446,1.2,151.089,10.79,19.1,24.6,,2.77,78.86,0.926,338289856.0,1280796.0,15.8,19.34,3767.085
max,,,,2024-08-04 00:00:00,103436829.0,5650933.0,807276.143,1193165.0,23312.0,3330.286,302859.5,16545.738,2363.677,3493.546,68.257,9.751,3.61,28891.0,85.403,154497.0,456.7,,,153977.0,455.163,912769124.0,3201706.0,2708.533,9.501,2623648.0,7.785,0.292,58.8,,676728782.0,270227181.0,230637348.0,133062763.0,4581777.0,3508126.0,203.83,81.39,69.47,40.08,10566.0,2017866.0,0.608,75.46,35.608,38.3,15.413,9.732,54225.446,1.2,151.089,10.79,19.1,24.6,,2.77,78.86,0.926,338289856.0,1349000.4,17.63,46.04,3967.6882
