,iso_code,continent,location,date,total_cases,new_cases,new_cases_smoothed,total_deaths,new_deaths,new_deaths_smoothed,total_cases_per_million,new_cases_per_million,new_cases_smoothed_per_million,total_deaths_per_million,new_deaths_per_million,new_deaths_smoothed_per_million,reproduction_rate,icu_patients,icu_patients_per_million,hosp_patients,hosp_patients_per_million,weekly_icu_admissions,weekly_icu_admissions_per_million,weekly_hosp_admissions,weekly_hosp_admissions_per_million,total_tests,new_tests,total_tests_per_thousand,new_tests_per_thousand,new_tests_smoothed,new_tests_smoothed_per_thousand,positive_rate,tests_per_case,tests_units,total_vaccinations,people_vaccinated,people_fully_vaccinated,total_boosters,new_vaccinations,new_vaccinations_smoothed,total_vaccinations_per_hundred,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred,total_boosters_per_hundred,new_vaccinations_smoothed_per_million,new_people_vaccinated_smoothed,new_people_vaccinated_smoothed_per_hundred,stringency_index,population_density,median_age,aged_65_older,aged_70_older,gdp_per_capita,extreme_poverty,cardiovasc_death_rate,diabetes_prevalence,female_smokers,male_smokers,handwashing_facilities,hospital_beds_per_thousand,life_expectancy,human_development_index,population,excess_mortality_cumulative_absolute,excess_mortality_cumulative,excess_mortality,excess_mortality_cumulative_per_million
count,1674,1674,1674,1674,1674.0,1674.0,1669.0,1674.0,1674.0,1669.0,1674.0,1674.0,1669.0,1674.0,1674.0,1669.0,1018.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,757.0,756.0,757.0,756.0,750.0,750.0,749.0,749.0,757,680.0,678.0,684.0,678.0,649.0,989.0,680.0,678.0,684.0,678.0,989.0,989.0,989.0,1092.0,1674.0,1674.0,1674.0,1674.0,1674.0,1674.0,1674.0,1674.0,1674.0,1674.0,0.0,1674.0,1674.0,1674.0,1674.0,41.0,41.0,41.0,41.0
unique,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
top,URY,South America,Uruguay,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,people tested,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
freq,1674,1674,1674,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,757,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mean,,,,2022-04-20 12:00:00,614541.2849462365,622.0704898446834,623.926374475734,5095.851254480287,4.589008363201912,4.602778909526663,181231.806462963,183.4522144563919,183.99953085680045,1502.796233572282,1.3533297491039424,1.357358298382265,1.014990176817289,,,,,,,,,2077649.4055482165,8051.097883597884,606.389892998679,2.3498465608465606,8103.992,2.365276,0.08308090787716957,71.55193591455274,,6527305.326470588,2564329.091445428,2353183.519005848,1616559.2109144542,13815.596302003081,9160.620829120324,190.701,74.91905604719763,68.75051169590644,47.229159292035405,2676.442871587462,3067.6400404448937,0.08962082912032356,37.600119047619046,19.751000000000005,35.60000000000001,14.655,10.361000000000004,20551.408999999996,0.1,160.70800000000003,6.93,14.0,19.900000000000002,,2.8,77.90999999999997,0.817,3422796.0,3019.89993902439,2.171951219512195,6.66,882.3085365121951
min,,,,2020-01-05 00:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.48,,,,,,,,,205.0,145.0,0.06,0.042,273.0,0.08,0.0004,2.4,,385.0,384.0,1.0,1.0,1.0,8.0,0.01,0.01,0.0,0.0,2.0,0.0,0.0,0.0,19.751,35.6,14.655,10.361,20551.409,0.1,160.708,6.93,14.0,19.9,,2.8,77.91,0.817,3422796.0,-2455.0,-8.23,-18.39,-715.934
25%,,,,2021-02-26 06:00:00,51377.0,0.0,1.857,563.0,0.0,0.0,15151.377,0.0,0.548,166.032,0.0,0.0,0.91,,,,,,,,,228588.0,2470.25,66.716,0.721,2371.75,0.6922499999999999,0.0125,8.4,,5084964.25,2621660.75,2434067.0,96911.0,252.0,279.0,148.56,76.595,71.11250000000001,2.8325,82.0,2.0,0.0,13.89,19.751,35.6,14.655,10.361,20551.409,0.1,160.708,6.93,14.0,19.9,,2.8,77.91,0.817,3422796.0,-457.80002,-3.45,-2.79,-133.50493
50%,,,,2022-04-20 12:00:00,895451.0,0.0,79.286,7193.0,0.0,0.571,264073.72,0.0,23.382,2121.258,0.0,0.169,1.04,,,,,,,,,1427538.0,6959.5,416.646,2.0309999999999997,7411.5,2.163,0.0287,34.8,,7468134.5,2900729.5,2702858.0,1866146.0,5621.0,2393.0,218.19,84.745,78.97,54.525000000000006,699.0,65.0,0.002,37.96,19.751,35.6,14.655,10.361,20551.409,0.1,160.708,6.93,14.0,19.9,,2.8,77.91,0.817,3422796.0,3315.4,5.12,2.16,967.6426
75%,,,,2023-06-12 18:00:00,1037893.0,0.0,405.714,7625.0,0.0,1.714,306080.7,0.0,119.648,2248.657,0.0,0.506,1.12,,,,,,,,,3650199.0,10660.25,1065.36,3.11125,10479.25,3.05825,0.1189,80.1,,8730077.75,3005239.25,2895928.5,2829385.25,22404.0,14015.0,255.0575,87.8,84.61,82.6625,4095.0,1201.0,0.035,57.41,19.751,35.6,14.655,10.361,20551.409,0.1,160.708,6.93,14.0,19.9,,2.8,77.91,0.817,3422796.0,7223.6997,6.87,9.57,2110.4675
max,,,,2024-08-04 00:00:00,1041346.0,78411.0,11201.571,7682.0,439.0,62.714,307099.0,23123.861,3303.409,2265.466,129.464,18.495,1.61,,,,,,,,,6086835.0,37352.0,1776.525,10.902,32807.0,9.575,0.41,2412.6,,9036273.0,3010451.0,2903089.0,3122733.0,185107.0,49542.0,264.0,87.95,84.82,91.23,14474.0,34806.0,1.017,75.93,19.751,35.6,14.655,10.361,20551.409,0.1,160.708,6.93,14.0,19.9,,2.8,77.91,0.817,3422796.0,7453.9,8.36,70.02,2177.7224
