,iso_code,continent,location,date,total_cases,new_cases,new_cases_smoothed,total_deaths,new_deaths,new_deaths_smoothed,total_cases_per_million,new_cases_per_million,new_cases_smoothed_per_million,total_deaths_per_million,new_deaths_per_million,new_deaths_smoothed_per_million,reproduction_rate,icu_patients,icu_patients_per_million,hosp_patients,hosp_patients_per_million,weekly_icu_admissions,weekly_icu_admissions_per_million,weekly_hosp_admissions,weekly_hosp_admissions_per_million,total_tests,new_tests,total_tests_per_thousand,new_tests_per_thousand,new_tests_smoothed,new_tests_smoothed_per_thousand,positive_rate,tests_per_case,tests_units,total_vaccinations,people_vaccinated,people_fully_vaccinated,total_boosters,new_vaccinations,new_vaccinations_smoothed,total_vaccinations_per_hundred,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred,total_boosters_per_hundred,new_vaccinations_smoothed_per_million,new_people_vaccinated_smoothed,new_people_vaccinated_smoothed_per_hundred,stringency_index,population_density,median_age,aged_65_older,aged_70_older,gdp_per_capita,extreme_poverty,cardiovasc_death_rate,diabetes_prevalence,female_smokers,male_smokers,handwashing_facilities,hospital_beds_per_thousand,life_expectancy,human_development_index,population,excess_mortality_cumulative_absolute,excess_mortality_cumulative,excess_mortality,excess_mortality_cumulative_per_million
count,1674,1674,1674,1674,1674.0,1674.0,1669.0,1674.0,1674.0,1669.0,1674.0,1674.0,1669.0,1674.0,1674.0,1669.0,298.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,0.0,1.0,1.0,1.0,1.0,8,38.0,38.0,31.0,11.0,0.0,629.0,38.0,38.0,31.0,11.0,629.0,629.0,629.0,1092.0,1674.0,1674.0,1674.0,1674.0,1674.0,1674.0,1674.0,1674.0,1674.0,1674.0,1674.0,0.0,1674.0,1674.0,1674.0,0.0,0.0,0.0,0.0
unique,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
top,VUT,Oceania,Vanuatu,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,people tested,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
freq,1674,1674,1674,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mean,,,,2022-04-20 12:00:00,5930.639187574671,7.179808841099164,7.2013433193529055,7.012544802867383,0.008363201911589008,0.008392450569203116,18943.976947431303,22.934144563918757,23.00286399041342,22.40006929510156,0.026715053763440858,0.026796285200718997,0.6248993288590604,,,,,,,,,11723.0,,36.7335,,76.0,0.238,0.0132,76.0,,133085.5,76981.36842105263,68194.0,13325.181818181818,,580.2337042925278,40.73052631578947,23.559473684210527,20.870967741935484,4.080909090909091,1775.7567567567567,280.00317965023845,0.08579491255961845,29.35260989010989,22.661999999999995,23.1,4.393999999999999,2.6200000000000006,2921.9090000000006,13.199999999999998,546.3000000000001,12.02,2.8,34.5,25.208999999999996,,70.47000000000001,0.609,326744.0,,,,
min,,,,2020-01-05 00:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,11457.0,,35.9,,76.0,0.238,0.0132,76.0,,0.0,0.0,114.0,346.0,,10.0,0.0,0.0,0.03,0.11,31.0,0.0,0.0,0.0,22.662,23.1,4.394,2.62,2921.909,13.2,546.3,12.02,2.8,34.5,25.209,,70.47,0.609,326744.0,,,,
25%,,,,2021-02-26 06:00:00,1.0,0.0,0.0,0.0,0.0,0.0,3.194,0.0,0.0,0.0,0.0,0.0,0.06,,,,,,,,,11590.0,,36.31675,,76.0,0.238,0.0132,76.0,,32844.0,29904.25,29461.0,10610.0,,68.0,10.0525,9.15,9.015,3.25,208.0,15.0,0.005,13.89,22.662,23.1,4.394,2.62,2921.909,13.2,546.3,12.02,2.8,34.5,25.209,,70.47,0.609,326744.0,,,,
50%,,,,2022-04-20 12:00:00,5629.0,0.0,0.0,6.0,0.0,0.0,17980.465,0.0,0.0,19.166,0.0,0.0,0.705,,,,,,,,,11723.0,,36.7335,,76.0,0.238,0.0132,76.0,,118889.5,83263.5,50403.0,10610.0,,507.0,36.385000000000005,25.479999999999997,15.43,3.25,1552.0,234.0,0.072,22.22,22.662,23.1,4.394,2.62,2921.909,13.2,546.3,12.02,2.8,34.5,25.209,,70.47,0.609,326744.0,,,,
75%,,,,2023-06-12 18:00:00,12019.0,0.0,0.0,14.0,0.0,0.0,38391.758,0.0,0.0,44.72,0.0,0.0,0.91,,,,,,,,,11856.0,,37.15025,,76.0,0.238,0.0132,76.0,,199723.5,114284.0,122374.5,16261.0,,729.0,61.125,34.98,37.45,4.98,2231.0,334.0,0.102,29.63,22.662,23.1,4.394,2.62,2921.909,13.2,546.3,12.02,2.8,34.5,25.209,,70.47,0.609,326744.0,,,,
max,,,,2024-08-04 00:00:00,12019.0,1591.0,227.286,14.0,6.0,0.857,38391.758,5082.06,726.009,44.72,19.166,2.738,2.18,,,,,,,,,11989.0,,37.567,,76.0,0.238,0.0132,76.0,,366638.0,176624.0,162250.0,27697.0,,8843.0,112.21,54.06,49.66,8.48,27064.0,2665.0,0.816,85.19,22.662,23.1,4.394,2.62,2921.909,13.2,546.3,12.02,2.8,34.5,25.209,,70.47,0.609,326744.0,,,,
