,iso_code,continent,location,date,total_cases,new_cases,new_cases_smoothed,total_deaths,new_deaths,new_deaths_smoothed,total_cases_per_million,new_cases_per_million,new_cases_smoothed_per_million,total_deaths_per_million,new_deaths_per_million,new_deaths_smoothed_per_million,reproduction_rate,icu_patients,icu_patients_per_million,hosp_patients,hosp_patients_per_million,weekly_icu_admissions,weekly_icu_admissions_per_million,weekly_hosp_admissions,weekly_hosp_admissions_per_million,total_tests,new_tests,total_tests_per_thousand,new_tests_per_thousand,new_tests_smoothed,new_tests_smoothed_per_thousand,positive_rate,tests_per_case,tests_units,total_vaccinations,people_vaccinated,people_fully_vaccinated,total_boosters,new_vaccinations,new_vaccinations_smoothed,total_vaccinations_per_hundred,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred,total_boosters_per_hundred,new_vaccinations_smoothed_per_million,new_people_vaccinated_smoothed,new_people_vaccinated_smoothed_per_hundred,stringency_index,population_density,median_age,aged_65_older,aged_70_older,gdp_per_capita,extreme_poverty,cardiovasc_death_rate,diabetes_prevalence,female_smokers,male_smokers,handwashing_facilities,hospital_beds_per_thousand,life_expectancy,human_development_index,population,excess_mortality_cumulative_absolute,excess_mortality_cumulative,excess_mortality,excess_mortality_cumulative_per_million
count,1674,1674,1674,1674,1674.0,1674.0,1669.0,1674.0,1674.0,1669.0,1674.0,1674.0,1669.0,1674.0,1674.0,1669.0,1016.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,178.0,135.0,178.0,135.0,273.0,273.0,187.0,187.0,280,413.0,403.0,273.0,95.0,329.0,845.0,413.0,403.0,273.0,95.0,845.0,845.0,845.0,1092.0,1674.0,1674.0,1674.0,1674.0,1674.0,1674.0,1674.0,1674.0,1674.0,1674.0,1674.0,1674.0,1674.0,1674.0,1674.0,0.0,0.0,0.0,0.0
unique,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
top,VNM,Asia,Vietnam,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,people tested,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
freq,1674,1674,1674,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,280,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mean,,,,2022-04-20 12:00:00,6122353.316009558,6943.847072879331,6964.6494757339715,25856.700716845877,25.810035842293907,25.887350509286996,61419.674042413375,69.66093070489845,69.86964649490714,259.395339307049,0.2589223416965353,0.2596920311563811,0.9429232283464566,,,,,,,,,70073623.1011236,216251.1037037037,718.9395786516855,2.2187037037037034,141391.53846153847,1.4506483516483517,0.23836524064171125,20.61818181818182,,102142863.52784504,42994683.22828784,38493263.08791209,49457144.54736842,426162.4285714286,315369.8461538461,104.02903147699759,43.78873449131514,39.20421245421246,50.370736842105266,3211.9278106508877,107062.89112426035,0.10912662721893492,54.88310439560439,308.127,32.60000000000001,7.150000000000001,4.718000000000002,6171.884,2.0,245.46500000000003,6.0,1.0,45.899999999999984,85.847,2.600000000000001,75.39999999999999,0.7040000000000001,98186856.0,,,,
min,,,,2020-01-05 00:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.21,,,,,,,,,45095067.0,9829.0,462.665,0.101,145.0,0.001,0.013,1.0,,0.0,0.0,9407.0,29629103.0,0.0,261.0,0.0,0.0,0.01,30.18,3.0,128.0,0.0,0.0,308.127,32.6,7.15,4.718,6171.884,2.0,245.465,6.0,1.0,45.9,85.847,2.6,75.4,0.704,98186856.0,,,,
25%,,,,2021-02-26 06:00:00,2383.0,0.0,1.286,35.0,0.0,0.0,23.906,0.0,0.013,0.351,0.0,0.0,0.69,,,,,,,,,60188226.0,101997.5,617.51775,1.0465,41118.0,0.422,0.0266,2.8499999999999996,,4051585.0,3638523.0,712864.0,44245542.0,36346.0,9265.0,4.13,3.71,0.73,45.065,94.0,925.0,0.001,28.7,308.127,32.6,7.15,4.718,6171.884,2.0,245.465,6.0,1.0,45.9,85.847,2.6,75.4,0.704,98186856.0,,,,
50%,,,,2022-04-20 12:00:00,10432547.0,0.0,24.571,42944.0,0.0,0.0,104659.695,0.0,0.247,430.816,0.0,0.0,0.94,,,,,,,,,73347057.5,199650.0,752.5245,2.048,113101.0,1.16,0.0911,11.0,,77145612.0,40654892.0,16141038.0,51660961.0,247307.0,121863.0,78.57,41.41,16.44,52.61,1241.0,18740.0,0.019,62.269999999999996,308.127,32.6,7.15,4.718,6171.884,2.0,245.465,6.0,1.0,45.9,85.847,2.6,75.4,0.704,98186856.0,,,,
75%,,,,2023-06-12 18:00:00,11617497.0,0.0,1241.143,43206.0,0.0,0.857,116547.16,0.0,12.451,433.444,0.0,0.009,1.19,,,,,,,,,78446407.5,287483.5,804.84275,2.9495,216823.0,2.225,0.3525,37.55,,205495812.0,79824288.5,78618038.0,55858006.5,722191.0,449979.0,209.29,81.295,80.07,56.89,4583.0,77597.0,0.079,70.83,308.127,32.6,7.15,4.718,6171.884,2.0,245.465,6.0,1.0,45.9,85.847,2.6,75.4,0.704,98186856.0,,,,
max,,,,2024-08-04 00:00:00,11624000.0,1845400.0,263628.571,43206.0,2503.0,357.571,116612.4,18513.121,2644.732,433.444,25.11,3.587,2.02,,,,,,,,,85824349.0,884347.0,880.538,9.073,601228.0,6.168,0.9958,77.2,,266492149.0,90497674.0,85961564.0,57975220.0,2091069.0,1675471.0,271.41,92.17,87.55,59.05,17064.0,1242489.0,1.265,96.3,308.127,32.6,7.15,4.718,6171.884,2.0,245.465,6.0,1.0,45.9,85.847,2.6,75.4,0.704,98186856.0,,,,
