,iso_code,continent,location,date,total_cases,new_cases,new_cases_smoothed,total_deaths,new_deaths,new_deaths_smoothed,total_cases_per_million,new_cases_per_million,new_cases_smoothed_per_million,total_deaths_per_million,new_deaths_per_million,new_deaths_smoothed_per_million,reproduction_rate,icu_patients,icu_patients_per_million,hosp_patients,hosp_patients_per_million,weekly_icu_admissions,weekly_icu_admissions_per_million,weekly_hosp_admissions,weekly_hosp_admissions_per_million,total_tests,new_tests,total_tests_per_thousand,new_tests_per_thousand,new_tests_smoothed,new_tests_smoothed_per_thousand,positive_rate,tests_per_case,tests_units,total_vaccinations,people_vaccinated,people_fully_vaccinated,total_boosters,new_vaccinations,new_vaccinations_smoothed,total_vaccinations_per_hundred,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred,total_boosters_per_hundred,new_vaccinations_smoothed_per_million,new_people_vaccinated_smoothed,new_people_vaccinated_smoothed_per_hundred,stringency_index,population_density,median_age,aged_65_older,aged_70_older,gdp_per_capita,extreme_poverty,cardiovasc_death_rate,diabetes_prevalence,female_smokers,male_smokers,handwashing_facilities,hospital_beds_per_thousand,life_expectancy,human_development_index,population,excess_mortality_cumulative_absolute,excess_mortality_cumulative,excess_mortality,excess_mortality_cumulative_per_million
count,1674,1674,1674,1674,1674.0,1674.0,1669.0,1674.0,1674.0,1669.0,1674.0,1674.0,1669.0,1674.0,1674.0,1669.0,977.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,784.0,758.0,784.0,758.0,812.0,812.0,812.0,808.0,819,257.0,106.0,230.0,3.0,137.0,768.0,257.0,106.0,230.0,3.0,768.0,802.0,802.0,1092.0,1674.0,1674.0,1674.0,1674.0,1674.0,1674.0,1674.0,1674.0,1674.0,1674.0,1674.0,1674.0,1674.0,1674.0,1674.0,0.0,0.0,0.0,0.0
unique,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
top,ZMB,Africa,Zambia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,tests performed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
freq,1674,1674,1674,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,819,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mean,,,,2022-04-20 12:00:00,223197.80764635603,208.98566308243727,209.60249011384062,2811.4342891278375,2.435483870967742,2.4428238466147394,11075.201562724014,10.369988052568699,10.4005584182145,139.50495459976105,0.12085304659498207,0.12118933493109646,0.9299692937563971,,,,,,,,,1566342.113520408,4501.76253298153,80.43608035714286,0.2311662269129288,4319.87684729064,0.22182635467980297,0.07175923645320198,56.285272277227726,,2461216.474708171,922170.9905660377,1739991.0217391304,28382.333333333332,18375.87591240876,17481.5546875,12.295058365758754,4.606981132075472,8.692260869565217,0.14333333333333334,873.3229166666666,14600.347880299252,0.07296384039900249,31.907985347985345,22.995000000000005,17.699999999999996,2.4800000000000004,1.542,3689.2510000000016,57.5,234.49899999999994,3.9399999999999995,3.100000000000001,24.699999999999992,13.937999999999997,2.0,63.88999999999999,0.5839999999999999,20017670.0,,,,
min,,,,2020-01-05 00:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06,,,,,,,,,33.0,17.0,0.002,0.001,23.0,0.001,0.0,3.1,,0.0,0.0,1107.0,23041.0,106.0,51.0,0.0,0.0,0.01,0.12,3.0,0.0,0.0,0.0,22.995,17.7,2.48,1.542,3689.251,57.5,234.499,3.94,3.1,24.7,13.938,2.0,63.89,0.584,20017670.0,,,,
25%,,,,2021-02-26 06:00:00,73894.0,0.0,0.714,1016.0,0.0,0.0,3666.662,0.0,0.035,50.414,0.0,0.0,0.73,,,,,,,,,224589.5,1844.0,11.53375,0.095,1640.5,0.084,0.0135,9.8,,413774.0,134550.25,230694.25,25731.5,4792.0,4560.0,2.07,0.675,1.1524999999999999,0.13,227.75,3388.0,0.017,13.89,22.995,17.7,2.48,1.542,3689.251,57.5,234.499,3.94,3.1,24.7,13.938,2.0,63.89,0.584,20017670.0,,,,
50%,,,,2022-04-20 12:00:00,318467.0,0.0,35.286,3973.0,0.0,0.143,15802.513,0.0,1.751,197.143,0.0,0.007,0.86,,,,,,,,,1437803.0,4032.0,73.8355,0.2075,4347.0,0.223,0.03965,25.05,,1145089.0,196049.0,992921.5,28422.0,9711.0,9737.0,5.72,0.98,4.96,0.14,486.0,8387.0,0.042,37.96,22.995,17.7,2.48,1.542,3689.251,57.5,234.499,3.94,3.1,24.7,13.938,2.0,63.89,0.584,20017670.0,,,,
75%,,,,2023-06-12 18:00:00,345058.0,0.0,151.571,4058.0,0.0,1.143,17121.973,0.0,7.521,201.36,0.0,0.057,1.09,,,,,,,,,2692380.5,6172.5,138.26125,0.317,5909.75,0.30325,0.1017,73.55,,3402612.0,308023.5,2243998.0,31053.0,18440.0,18254.5,17.0,1.54,11.21,0.15500000000000003,912.0,18378.0,0.0915,43.52,22.995,17.7,2.48,1.542,3689.251,57.5,234.499,3.94,3.1,24.7,13.938,2.0,63.89,0.584,20017670.0,,,,
max,,,,2024-08-04 00:00:00,349842.0,26367.0,3766.714,4077.0,430.0,61.429,17359.357,1308.346,186.907,202.303,21.337,3.048,2.43,,,,,,,,,3514038.0,16774.0,180.456,0.861,12299.0,0.632,0.3203,545.5,,13454213.0,11711565.0,9213802.0,33684.0,224617.0,180289.0,67.21,58.51,46.03,0.17,9006.0,47250.0,0.236,70.83,22.995,17.7,2.48,1.542,3689.251,57.5,234.499,3.94,3.1,24.7,13.938,2.0,63.89,0.584,20017670.0,,,,
std,,,,,141694.81804205597,1472.1900974392388,522.3512372294467,1669.6774737269627,21.20203573578117,7.700022003620611,7030.97711003367,73.05091994111048,25.91941894343776,82.8503020371758,1.0520661713219779,0.3820937351019691,0.3911771577281727,,,,,,,,,1239073.646525786,3293.455160164742,63.62993660988678,0.16911222484205282,2965.990828571844,0.15231520515478367,0.07572479376359072,77.8536302981904,,3041522.518993871,2480155.8090349752,2074254.948346256,5321.610877669781,31315.61317257248,24288.443250072633,15.193957118102459,12.389958312686804,10.362238218278355,0.02516611478423584,1213.3438360822902,15054.531970767248,0.07515636593156573,16.594228739780668,3.553775299526064e-15,3.553775299526064e-15,4.44221912440758e-16,0.0,1.3646497150180085e-12,0.0,5.686040479241703e-14,4.44221912440758e-16,8.88443824881516e-16,7.107550599052128e-15,3.553775299526064e-15,0.0,7.107550599052128e-15,1.110554781101895e-16,0.0,,,,
