,importance
new_deaths_smoothed_per_million,0.43772409595195144
hosp_patients_per_million,0.11549916447916792
hosp_patients_per_million_roll_avg7,0.058467357719600176
new_deaths_smoothed_per_million_roll_avg7,0.04987866433181592
stringency_index_roll_avg14,0.048756012733715874
stringency_index,0.03906480271005971
stringency_index_roll_avg7,0.01971776122998525
extreme_poverty,0.01867384941086699
new_deaths_smoothed_per_million_roll_avg14,0.018478514299682936
population_density,0.01835244736500171
stringency_index_lag14,0.01681300834690418
human_development_index,0.01653102099305148
diabetes_prevalence,0.01479121708882036
new_cases_smoothed_per_million_lag14,0.013821689791187527
total_boosters_per_hundred_lag14,0.011631816481587308
aged_65_older,0.009691253605521198
gdp_per_capita,0.009315024402118255
new_cases_smoothed_per_million_lag7,0.008546036220677386
hospital_beds_per_thousand,0.008203076864908277
stringency_index_lag7,0.005911709289549105
hosp_patients_per_million_lag14,0.005843399362021989
life_expectancy,0.0053598378856853195
total_boosters_per_hundred_roll_avg14,0.005175307799793353
cardiovasc_death_rate,0.004579654716202094
new_cases_smoothed_per_million_roll_avg14,0.004009934302568978
new_cases_smoothed_per_million,0.003999467153429608
new_deaths_smoothed_per_million_lag7,0.003654323949123743
total_boosters_per_hundred_lag7,0.0034537681170277957
new_tests_smoothed_per_thousand_roll_avg14,0.002755337181067614
median_age,0.0026091507347920677
hosp_patients_per_million_roll_avg14,0.0022647651913691117
people_fully_vaccinated_per_hundred_lag14,0.0021768713240736723
new_deaths_smoothed_per_million_lag14,0.0017379769605142292
people_fully_vaccinated_per_hundred_roll_avg14,0.00170621584043408
new_cases_smoothed_per_million_roll_avg7,0.0016053501609113508
positive_rate,0.0011436681359846196
positive_rate_lag7,0.0008402186412107216
people_fully_vaccinated_per_hundred,0.0008383003819555442
new_tests_smoothed_per_thousand_lag14,0.0008159383160644442
positive_rate_roll_avg7,0.0007559721356600283
positive_rate_lag14,0.0007261503665719287
people_fully_vaccinated_per_hundred_roll_avg7,0.0006753704782184888
hosp_patients_per_million_lag7,0.0006061417595381156
total_boosters_per_hundred_roll_avg7,0.00045502252148299906
reproduction_rate_lag14,0.0004519001638458565
total_boosters_per_hundred,0.00043782444542406353
reproduction_rate_roll_avg14,0.00038354878342123874
new_tests_smoothed_per_thousand,0.00028368969886114365
new_tests_smoothed_per_thousand_roll_avg7,0.0002707085180844296
new_tests_smoothed_per_thousand_lag7,0.0001955293272567692
reproduction_rate_lag7,0.00011139260857619308
reproduction_rate_roll_avg7,0.00010629435554303521
people_fully_vaccinated_per_hundred_lag7,6.680921793907226e-05
reproduction_rate,3.563614917345112e-05
positive_rate_roll_avg14,0.0
