,iso_code,continent,location,date,total_cases,new_cases,new_cases_smoothed,total_deaths,new_deaths,new_deaths_smoothed,total_cases_per_million,new_cases_per_million,new_cases_smoothed_per_million,total_deaths_per_million,new_deaths_per_million,new_deaths_smoothed_per_million,reproduction_rate,icu_patients,icu_patients_per_million,hosp_patients,hosp_patients_per_million,weekly_icu_admissions,weekly_icu_admissions_per_million,weekly_hosp_admissions,weekly_hosp_admissions_per_million,total_tests,new_tests,total_tests_per_thousand,new_tests_per_thousand,new_tests_smoothed,new_tests_smoothed_per_thousand,positive_rate,tests_per_case,tests_units,total_vaccinations,people_vaccinated,people_fully_vaccinated,total_boosters,new_vaccinations,new_vaccinations_smoothed,total_vaccinations_per_hundred,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred,total_boosters_per_hundred,new_vaccinations_smoothed_per_million,new_people_vaccinated_smoothed,new_people_vaccinated_smoothed_per_hundred,stringency_index,population_density,median_age,aged_65_older,aged_70_older,gdp_per_capita,extreme_poverty,cardiovasc_death_rate,diabetes_prevalence,female_smokers,male_smokers,handwashing_facilities,hospital_beds_per_thousand,life_expectancy,human_development_index,population,excess_mortality_cumulative_absolute,excess_mortality_cumulative,excess_mortality,excess_mortality_cumulative_per_million
count,1674,1674,1674,1674,1674.0,1674.0,1669.0,1674.0,1674.0,1669.0,1674.0,1674.0,1669.0,1674.0,1674.0,1669.0,1010.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,5.0,0.0,139.0,139.0,139.0,139.0,146,151.0,147.0,140.0,58.0,8.0,1042.0,151.0,147.0,140.0,58.0,1042.0,1042.0,1042.0,1092.0,1674.0,1674.0,1674.0,1674.0,1674.0,0.0,1674.0,1674.0,0.0,0.0,1674.0,1674.0,1674.0,1674.0,1674.0,0.0,0.0,0.0,0.0
unique,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
top,AFG,Asia,Afghanistan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,tests performed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
freq,1674,1674,1674,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,146,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mean,,,,2022-04-20 12:00:00,146946.82258064515,140.51015531660693,140.9310838825644,5664.603942652329,4.777777777777778,4.792118633912522,3621.266623655914,3.462649342891278,3.4730443379269023,139.59502807646356,0.11775089605734768,0.11820730976632714,1.0485247524752475,,,,,,,,,924645.2,,23.058799999999998,,983.5539568345324,0.024683453237410075,0.13004028776978419,19.529496402877697,,11139813.437086092,9916526.721088436,9731218.728571428,1691548.7241379311,9784.375,22013.559500959695,27.08523178807947,24.110544217687078,23.66035714285714,4.113448275862068,535.2351247600768,18362.42226487524,0.0446852207293666,27.49492673992674,54.42200000000001,18.599999999999998,2.5809999999999995,1.337,1803.9870000000005,,597.0290000000002,9.590000000000002,,,37.745999999999995,0.5,64.83000000000001,0.511,41128772.0,,,,
min,,,,2020-01-05 00:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.64,,,,,,,,,853003.0,,21.272,,435.0,0.011,0.0058,1.9,,0.0,0.0,55624.0,213042.0,383.0,1119.0,0.0,0.0,0.14,0.52,27.0,223.0,0.001,0.0,54.422,18.6,2.581,1.337,1803.987,,597.029,9.59,,,37.746,0.5,64.83,0.511,41128772.0,,,,
25%,,,,2021-02-26 06:00:00,55604.0,0.0,29.571,2432.0,0.0,0.143,1370.271,0.0,0.729,59.933,0.0,0.004,0.88,,,,,,,,,889430.0,,22.181,,1045.0,0.026,0.03905,5.949999999999999,,5138721.5,4678849.0,4415812.25,1059520.75,3201.75,6475.0,12.495000000000001,11.375,10.74,2.58,157.25,4841.75,0.012,11.11,54.422,18.6,2.581,1.337,1803.987,,597.029,9.59,,,37.746,0.5,64.83,0.511,41128772.0,,,,
50%,,,,2022-04-20 12:00:00,178387.0,0.0,50.286,7676.0,0.0,0.714,4396.059,0.0,1.239,189.163,0.0,0.018,1.0,,,,,,,,,904055.0,,22.545,,1066.0,0.027,0.0917,10.9,,11923733.0,11012345.0,10474365.0,2039261.0,5441.5,10409.5,28.99,26.78,25.465,4.960000000000001,253.0,8095.0,0.02,19.44,54.422,18.6,2.581,1.337,1803.987,,597.029,9.59,,,37.746,0.5,64.83,0.511,41128772.0,,,,
75%,,,,2023-06-12 18:00:00,222526.0,0.0,134.0,7920.0,0.0,2.857,5483.793,0.0,3.302,195.176,0.0,0.07,1.2,,,,,,,,,981844.0,,24.485,,1066.0,0.027,0.16825,25.6,,16939652.0,14862755.5,14301050.5,2224008.25,10785.25,17257.0,41.19,36.135,34.7725,5.405,419.75,14248.0,0.035,35.19,54.422,18.6,2.581,1.337,1803.987,,597.029,9.59,,,37.746,0.5,64.83,0.511,41128772.0,,,,
max,,,,2024-08-04 00:00:00,235214.0,12314.0,1759.143,7998.0,595.0,85.0,5796.468,303.459,43.351,197.098,14.663,2.095,1.61,,,,,,,,,994894.0,,24.811,,1301.0,0.032,0.5184,173.5,,22964750.0,19151369.0,18370386.0,2729940.0,36587.0,218908.0,55.84,46.56,44.67,6.64,5323.0,188998.0,0.46,84.26,54.422,18.6,2.581,1.337,1803.987,,597.029,9.59,,,37.746,0.5,64.83,0.511,41128772.0,,,,
std,,,,,81976.94873171973,777.2233089164966,263.65199654738024,3029.3667165228308,34.875059496086145,12.432559709471041,2020.1892142307947,19.15342113543613,6.497267168487412,74.6538399254911,0.8594505463121653,0.30636619194623677,0.2201677481946036,,,,,,,,,61243.91416867475,,1.5273693724832902,,277.9685670025954,0.006873637911154978,0.12234181133168084,25.759690601586808,,7349903.828259085,6222188.573218393,5885077.990517625,676123.737363883,11732.911585274012,35428.045197412524,17.870799752088587,15.128426467185259,14.308929365391442,1.6432312537856708,861.3987805706045,31405.657581631396,0.07636249282011079,24.287396340170876,1.4215101198104257e-14,3.553775299526064e-15,4.44221912440758e-16,0.0,4.548832383393362e-13,,2.274416191696681e-13,1.776887649763032e-15,,,7.107550599052128e-15,0.0,1.4215101198104257e-14,0.0,0.0,,,,
