,iso_code,continent,location,date,total_cases,new_cases,new_cases_smoothed,total_deaths,new_deaths,new_deaths_smoothed,total_cases_per_million,new_cases_per_million,new_cases_smoothed_per_million,total_deaths_per_million,new_deaths_per_million,new_deaths_smoothed_per_million,reproduction_rate,icu_patients,icu_patients_per_million,hosp_patients,hosp_patients_per_million,weekly_icu_admissions,weekly_icu_admissions_per_million,weekly_hosp_admissions,weekly_hosp_admissions_per_million,total_tests,new_tests,total_tests_per_thousand,new_tests_per_thousand,new_tests_smoothed,new_tests_smoothed_per_thousand,positive_rate,tests_per_case,tests_units,total_vaccinations,people_vaccinated,people_fully_vaccinated,total_boosters,new_vaccinations,new_vaccinations_smoothed,total_vaccinations_per_hundred,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred,total_boosters_per_hundred,new_vaccinations_smoothed_per_million,new_people_vaccinated_smoothed,new_people_vaccinated_smoothed_per_hundred,stringency_index,population_density,median_age,aged_65_older,aged_70_older,gdp_per_capita,extreme_poverty,cardiovasc_death_rate,diabetes_prevalence,female_smokers,male_smokers,handwashing_facilities,hospital_beds_per_thousand,life_expectancy,human_development_index,population,excess_mortality_cumulative_absolute,excess_mortality_cumulative,excess_mortality,excess_mortality_cumulative_per_million
count,1674,0,1674,1674,1674.0,1674.0,1669.0,1674.0,1674.0,1669.0,1674.0,1674.0,1669.0,1674.0,1674.0,1669.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1087.0,1087.0,1062.0,795.0,1087.0,1087.0,1087.0,1087.0,1062.0,795.0,1087.0,1087.0,1087.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1674.0,0.0,0.0,0.0,0.0
unique,1,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
top,OWID_AFR,,Africa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
freq,1674,,1674,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mean,,,,2022-04-20 12:00:00,8731712.12544803,7853.543010752688,7877.052244457759,183366.67562724015,154.7915173237754,155.25526063511086,6037.212979091995,5.430037634408602,5.44628340323547,126.78195878136201,0.10702150537634408,0.10732354703415216,,,,,,,,,,,,,,,,,,,485528982.100276,310906001.449862,252899774.82956687,55511366.0163522,793386.7313707452,790578.4287028519,34.03088316467341,21.791471941122353,17.725819209039546,3.8905408805031447,554.1278748850046,506378.57957681693,0.03550229990800369,,,,,,,,,,,,,,,,1426736614.0,,,,
min,,,,2020-01-05 00:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,0.0,0.0,5.0,28870.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,1426736614.0,,,,
25%,,,,2021-02-26 06:00:00,3849558.0,0.0,228.143,101195.0,0.0,0.714,2661.632,0.0,0.158,69.967,0.0,0.0,,,,,,,,,,,,,,,,,,,157542406.5,99390740.0,75625145.25,23172652.5,245759.5,266158.5,11.04,6.97,5.3025,1.625,186.5,181107.5,0.013,,,,,,,,,,,,,,,,1426736614.0,,,,
50%,,,,2022-04-20 12:00:00,12007437.0,0.0,2515.571,253422.0,0.0,30.857,8302.09,0.0,1.739,175.219,0.0,0.021,,,,,,,,,,,,,,,,,,,553222233.0,331381905.0,272239529.5,58963724.0,655822.0,643261.0,38.78,23.23,19.08,4.13,451.0,405920.0,0.028,,,,,,,,,,,,,,,,1426736614.0,,,,
75%,,,,2023-06-12 18:00:00,13096529.0,0.0,10851.714,258964.0,0.0,273.857,9055.101,0.0,7.503,179.051,0.0,0.189,,,,,,,,,,,,,,,,,,,799533557.0,516999289.0,429248970.0,89782579.0,1213124.5,1234287.5,56.04,36.24,30.09,6.29,865.0,822983.5,0.058,,,,,,,,,,,,,,,,1426736614.0,,,,
max,,,,2024-08-04 00:00:00,13145380.0,316014.0,45144.857,259117.0,7103.0,1014.714,9088.877,218.496,31.214,179.157,4.911,0.702,,,,,,,,,,,,,,,,,,,863237900.0,555027330.0,462411423.0,97944965.0,4248978.0,4180515.0,60.5,38.9,32.41,6.86,2930.0,1792254.0,0.126,,,,,,,,,,,,,,,,1426736614.0,,,,
std,,,,,5079790.032018606,34655.69544526011,10901.646939447608,98363.65780848612,709.713797934638,226.91078720076163,3512.229185138604,23.96138032892848,7.537549728727481,68.00984838422859,0.49070461629960693,0.15688812340056088,,,,,,,,,,,,,,,,,,,314903912.62214065,203140516.9565284,171376573.99086565,34685549.92948328,660425.1931988721,629298.9619910881,22.071762982022694,14.238183871817157,12.012001689062002,2.431059586813228,441.0572924216697,399590.84192967805,0.028007821589905883,,,,,,,,,,,,,,,,0.0,,,,
