,iso_code,continent,location,date,total_cases,new_cases,new_cases_smoothed,total_deaths,new_deaths,new_deaths_smoothed,total_cases_per_million,new_cases_per_million,new_cases_smoothed_per_million,total_deaths_per_million,new_deaths_per_million,new_deaths_smoothed_per_million,reproduction_rate,icu_patients,icu_patients_per_million,hosp_patients,hosp_patients_per_million,weekly_icu_admissions,weekly_icu_admissions_per_million,weekly_hosp_admissions,weekly_hosp_admissions_per_million,total_tests,new_tests,total_tests_per_thousand,new_tests_per_thousand,new_tests_smoothed,new_tests_smoothed_per_thousand,positive_rate,tests_per_case,tests_units,total_vaccinations,people_vaccinated,people_fully_vaccinated,total_boosters,new_vaccinations,new_vaccinations_smoothed,total_vaccinations_per_hundred,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred,total_boosters_per_hundred,new_vaccinations_smoothed_per_million,new_people_vaccinated_smoothed,new_people_vaccinated_smoothed_per_hundred,stringency_index,population_density,median_age,aged_65_older,aged_70_older,gdp_per_capita,extreme_poverty,cardiovasc_death_rate,diabetes_prevalence,female_smokers,male_smokers,handwashing_facilities,hospital_beds_per_thousand,life_expectancy,human_development_index,population,excess_mortality_cumulative_absolute,excess_mortality_cumulative,excess_mortality,excess_mortality_cumulative_per_million
count,1674,1674,1674,1674,1674.0,1674.0,1669.0,1674.0,1674.0,1669.0,1674.0,1674.0,1669.0,1674.0,1674.0,1669.0,1015.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,720.0,720.0,720.0,720.0,842.0,842.0,830.0,830.0,849,282.0,229.0,219.0,85.0,172.0,973.0,282.0,229.0,219.0,85.0,973.0,973.0,973.0,1092.0,1674.0,1674.0,1674.0,1674.0,1674.0,1674.0,1674.0,1674.0,1674.0,1674.0,0.0,1674.0,1674.0,1674.0,1674.0,48.0,48.0,48.0,48.0
unique,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
top,ALB,Europe,Albania,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,tests performed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
freq,1674,1674,1674,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,849,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mean,,,,2022-04-20 12:00:00,212446.27359617682,200.14755077658305,200.7471617735171,2580.7544802867383,2.15352449223417,2.1600137807070103,75132.67306929511,70.78316726403823,70.99523307369682,912.6965065710873,0.7616105137395461,0.7639436788496105,1.0285714285714285,,,,,,,,,559644.2569444445,2241.4861111111113,196.042425,0.7852125,1914.6745843230403,0.6707244655581948,0.19315108433734937,37.99192771084338,,1402001.0496453901,851560.2751091704,760120.7716894977,215169.61176470589,8242.389534883721,3174.796505652621,49.326241134751776,29.95995633187773,26.74333333333333,7.571058823529412,1116.9599177800617,1386.9033915724563,0.04875950668037,41.93515567765568,104.87100000000002,38.0,13.187999999999997,8.643,11803.431000000002,1.0999999999999999,304.19500000000005,10.079999999999998,7.099999999999999,51.2,,2.8900000000000006,78.56999999999996,0.795,2842318.0,10900.944689166667,21.851250000000004,16.47375,3834.5971731874997
min,,,,2020-01-05 00:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.56,,,,,,,,,8.0,1.0,0.003,0.0,4.0,0.001,0.0009,1.0,,0.0,0.0,1.0,2799.0,30.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,104.871,38.0,13.188,8.643,11803.431,1.1,304.195,10.08,7.1,51.2,,2.89,78.57,0.795,2842318.0,-247.2,-10.16,-26.19,-86.22704
25%,,,,2021-02-26 06:00:00,97909.0,0.0,2.857,1636.0,0.0,0.0,34626.0,0.0,1.01,578.579,0.0,0.0,0.87,,,,,,,,,53187.5,635.75,18.631749999999997,0.22275,330.0,0.116,0.09717500000000001,4.0,,642086.0,576905.0,451980.5,101171.0,5607.75,294.0,22.5925,20.3,15.9,3.56,103.0,50.0,0.002,11.11,104.871,38.0,13.188,8.643,11803.431,1.1,304.195,10.08,7.1,51.2,,2.89,78.57,0.795,2842318.0,6241.7,17.795,-3.3425000000000002,2184.3013
50%,,,,2022-04-20 12:00:00,274376.0,0.0,19.857,3495.0,0.0,0.143,97034.43,0.0,7.023,1236.024,0.0,0.051,1.01,,,,,,,,,423411.0,2118.5,148.32,0.7424999999999999,1919.5,0.6725000000000001,0.1755,5.7,,1365788.5,921001.0,782578.0,229289.0,8075.5,1023.0,48.055,32.4,27.53,8.07,360.0,181.0,0.006,46.3,104.871,38.0,13.188,8.643,11803.431,1.1,304.195,10.08,7.1,51.2,,2.89,78.57,0.795,2842318.0,14466.198,25.08,5.6,5087.14325
75%,,,,2023-06-12 18:00:00,334090.0,0.0,285.286,3604.0,0.0,3.143,118152.58,0.0,100.893,1274.572,0.0,1.111,1.15,,,,,,,,,993068.75,3319.75,347.87,1.16325,3017.75,1.05725,0.2514,10.3,,2093118.25,1126181.0,1040328.5,320852.0,10184.25,5727.0,73.63749999999999,39.62,36.6,11.29,2015.0,2268.0,0.08,60.19,104.871,38.0,13.188,8.643,11803.431,1.1,304.195,10.08,7.1,51.2,,2.89,78.57,0.795,2842318.0,15568.67225,31.3675,36.07,5496.552874999999
max,,,,2024-08-04 00:00:00,335047.0,15405.0,2200.714,3605.0,141.0,20.143,118491.02,5448.054,778.293,1274.926,49.865,7.124,1.88,,,,,,,,,1613870.0,8746.0,565.336,3.064,6971.0,2.442,0.9666,1067.6,,3088966.0,1349255.0,1279333.0,402371.0,23655.0,17565.0,108.68,47.47,45.01,14.16,6180.0,6816.0,0.24,89.81,104.871,38.0,13.188,8.643,11803.431,1.1,304.195,10.08,7.1,51.2,,2.89,78.57,0.795,2842318.0,16603.998,34.73,120.15,5841.71
std,,,,,131691.25987182758,1032.4531886257612,343.7384679850337,1356.8886807198846,11.267532508307204,3.7666491442910996,46573.2639128118,365.13216589934086,121.56480157120221,479.8703224617446,3.9848212944107164,1.3320889575515675,0.28567686427238304,,,,,,,,,534456.8597182088,1751.8230630726066,187.21931916041692,0.6136567660730938,1609.4663788894104,0.5638142588839163,0.14031019888363389,126.18971087763843,,939907.6083670084,368142.8610444691,351319.0953033106,124106.48323239105,4523.55317627673,3850.858206644754,33.06831755137086,12.951930950594274,12.36042932708436,4.366645498911638,1354.8438004804852,1931.9019224542205,0.06797363720214548,23.722664552061165,2.8430202396208514e-14,0.0,3.553775299526064e-15,0.0,1.819532953357345e-12,2.22110956220379e-16,5.686040479241703e-14,1.776887649763032e-15,8.88443824881516e-16,0.0,,4.44221912440758e-16,2.8430202396208514e-14,0.0,0.0,6083.6900413067415,11.87265132428663,30.766920037875437,2144.385657366224
