,iso_code,continent,location,date,total_cases,new_cases,new_cases_smoothed,total_deaths,new_deaths,new_deaths_smoothed,total_cases_per_million,new_cases_per_million,new_cases_smoothed_per_million,total_deaths_per_million,new_deaths_per_million,new_deaths_smoothed_per_million,reproduction_rate,icu_patients,icu_patients_per_million,hosp_patients,hosp_patients_per_million,weekly_icu_admissions,weekly_icu_admissions_per_million,weekly_hosp_admissions,weekly_hosp_admissions_per_million,total_tests,new_tests,total_tests_per_thousand,new_tests_per_thousand,new_tests_smoothed,new_tests_smoothed_per_thousand,positive_rate,tests_per_case,tests_units,total_vaccinations,people_vaccinated,people_fully_vaccinated,total_boosters,new_vaccinations,new_vaccinations_smoothed,total_vaccinations_per_hundred,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred,total_boosters_per_hundred,new_vaccinations_smoothed_per_million,new_people_vaccinated_smoothed,new_people_vaccinated_smoothed_per_hundred,stringency_index,population_density,median_age,aged_65_older,aged_70_older,gdp_per_capita,extreme_poverty,cardiovasc_death_rate,diabetes_prevalence,female_smokers,male_smokers,handwashing_facilities,hospital_beds_per_thousand,life_expectancy,human_development_index,population,excess_mortality_cumulative_absolute,excess_mortality_cumulative,excess_mortality,excess_mortality_cumulative_per_million
count,1674,1674,1674,1674,1674.0,1674.0,1669.0,1674.0,1674.0,1669.0,1674.0,1674.0,1669.0,1674.0,1674.0,1669.0,1016.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,76.0,0.0,76.0,0.0,521.0,521.0,520.0,520.0,528,64.0,59.0,53.0,26.0,2.0,972.0,64.0,59.0,53.0,26.0,972.0,972.0,972.0,1092.0,1674.0,0.0,0.0,0.0,0.0,0.0,1674.0,1674.0,1674.0,1674.0,0.0,0.0,1674.0,1674.0,1674.0,24.0,24.0,24.0,24.0
unique,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
top,AND,Europe,Andorra,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,tests performed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
freq,1674,1674,1674,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,528,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mean,,,,2022-04-20 12:00:00,29293.274193548386,28.682795698924732,28.7687501497903,124.15053763440861,0.09498207885304659,0.0952905931695626,367442.79507108714,359.78519952210274,360.8630563211504,1557.2934737156513,1.1914223416965355,1.1950119832234873,0.8726870078740159,,,,,,,,,181496.1447368421,,2296.431171052632,,485.30518234165066,6.1404760076775435,0.12776173076923078,14.566346153846155,,91347.8125,42868.83050847457,39471.15094339623,39027.346153846156,2401.0,161.17798353909464,114.4090625,53.69101694915254,49.43622641509434,48.879230769230766,2018.6687242798355,59.15329218106996,0.07410082304526748,33.60943223443223,163.75500000000002,,,,,,109.135,7.969999999999999,29.0,37.800000000000004,,,83.73000000000002,0.8680000000000002,79843.0,90.19999870833333,26.35375,22.06625,1146.8902982208335
min,,,,2020-01-05 00:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.33,,,,,,,,,45862.0,,580.282,,91.0,1.151,0.0064,1.1,,576.0,576.0,1172.0,8530.0,1973.0,0.0,0.72,0.72,1.47,10.68,0.0,0.0,0.0,0.0,163.755,,,,,,109.135,7.97,29.0,37.8,,,83.73,0.868,79843.0,-0.6,-1.73,-27.76,-7.7197227
25%,,,,2021-02-26 06:00:00,10672.0,0.0,0.0,107.0,0.0,0.0,133865.19,0.0,0.0,1342.164,0.0,0.0,0.56,,,,,,,,,139098.0,,1759.9769999999999,,212.0,2.682,0.057725,8.4,,27980.75,27613.0,26613.0,41235.5,2187.0,3.0,35.045,34.58,33.33,51.644999999999996,38.0,0.0,0.0,8.33,163.755,,,,,,109.135,7.97,29.0,37.8,,,83.73,0.868,79843.0,65.3499985,22.4325,-1.9525000000000001,840.80645
50%,,,,2022-04-20 12:00:00,40709.0,0.0,5.857,153.0,0.0,0.0,510636.97,0.0,73.47,1919.169,0.0,0.0,0.87,,,,,,,,,192725.0,,2438.5075,,391.0,4.947,0.0812,12.3,,103613.0,56628.0,53104.0,42141.5,2401.0,14.0,129.76999999999998,70.92,66.51,52.78,175.0,0.0,0.0,41.67,163.755,,,,,,109.135,7.97,29.0,37.8,,,83.73,0.868,79843.0,98.05,26.340000000000003,8.045,1249.9706
75%,,,,2023-06-12 18:00:00,48015.0,0.0,36.143,159.0,0.0,0.143,602280.44,0.0,453.361,1994.431,0.0,1.792,1.06,,,,,,,,,217621.0,,2753.51075,,674.0,8.528,0.11854999999999999,17.35,,153098.25,57884.5,53459.0,43010.25,2615.0,183.75,191.7525,72.5,66.96,53.8675,2301.5,31.0,0.039,51.85,163.755,,,,,,109.135,7.97,29.0,37.8,,,83.73,0.868,79843.0,129.1500025,29.0625,35.5675,1633.631425
max,,,,2024-08-04 00:00:00,48015.0,3480.0,497.143,159.0,11.0,1.571,602280.44,43651.69,6235.956,1994.431,137.979,19.711,1.63,,,,,,,,,300307.0,,3799.719,,1701.0,21.522,0.9515,156.5,,157072.0,57913.0,53501.0,43071.0,2829.0,1762.0,196.73,72.53,67.01,53.94,22068.0,854.0,1.07,56.48,163.755,,,,,,109.135,7.97,29.0,37.8,,,83.73,0.868,79843.0,140.20001,46.81,145.9,1773.4042
std,,,,,19588.893262569178,181.91585938314523,63.4950015787361,47.513864113899935,0.672176901482971,0.23862635982997163,245715.02930706705,2281.8777926742678,796.4550459193371,595.9944472588064,8.43151247555656,2.9934948944852993,0.3375702291003766,,,,,,,,,64863.15018636368,,820.699304927814,,326.9338690951937,4.136602156813027,0.15111986634690291,11.15570316119077,,62041.3998902768,20952.233792648738,19926.90697311651,9610.882265192131,605.2834046956847,305.0648193161499,77.70479225111976,26.24189994533717,24.95795689573345,12.03747479268868,3820.8013654846554,147.6317340462148,0.18491363564128477,20.32199601746366,2.8430202396208514e-14,,,,,,0.0,8.88443824881516e-16,0.0,7.107550599052128e-15,,,1.4215101198104257e-14,2.22110956220379e-16,0.0,42.536419762875,9.711172325460124,40.735220612751874,535.1776576844013
