,iso_code,continent,location,date,total_cases,new_cases,new_cases_smoothed,total_deaths,new_deaths,new_deaths_smoothed,total_cases_per_million,new_cases_per_million,new_cases_smoothed_per_million,total_deaths_per_million,new_deaths_per_million,new_deaths_smoothed_per_million,reproduction_rate,icu_patients,icu_patients_per_million,hosp_patients,hosp_patients_per_million,weekly_icu_admissions,weekly_icu_admissions_per_million,weekly_hosp_admissions,weekly_hosp_admissions_per_million,total_tests,new_tests,total_tests_per_thousand,new_tests_per_thousand,new_tests_smoothed,new_tests_smoothed_per_thousand,positive_rate,tests_per_case,tests_units,total_vaccinations,people_vaccinated,people_fully_vaccinated,total_boosters,new_vaccinations,new_vaccinations_smoothed,total_vaccinations_per_hundred,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred,total_boosters_per_hundred,new_vaccinations_smoothed_per_million,new_people_vaccinated_smoothed,new_people_vaccinated_smoothed_per_hundred,stringency_index,population_density,median_age,aged_65_older,aged_70_older,gdp_per_capita,extreme_poverty,cardiovasc_death_rate,diabetes_prevalence,female_smokers,male_smokers,handwashing_facilities,hospital_beds_per_thousand,life_expectancy,human_development_index,population,excess_mortality_cumulative_absolute,excess_mortality_cumulative,excess_mortality,excess_mortality_cumulative_per_million
count,1674,1674,1674,1674,1674.0,1674.0,1669.0,1674.0,1674.0,1669.0,1674.0,1674.0,1669.0,1674.0,1674.0,1669.0,936.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.0,5.0,30.0,5.0,133.0,133.0,133.0,94.0,140,108.0,105.0,97.0,48.0,0.0,1035.0,108.0,105.0,97.0,48.0,1035.0,1035.0,1035.0,1092.0,1674.0,1674.0,1674.0,1674.0,1674.0,0.0,1674.0,1674.0,0.0,0.0,1674.0,0.0,1674.0,1674.0,1674.0,0.0,0.0,0.0,0.0
unique,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
top,AGO,Africa,Angola,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,tests performed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
freq,1674,1674,1674,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,140,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mean,,,,2022-04-20 12:00:00,68364.08422939068,64.20609318996416,64.39851108448173,1325.8590203106332,1.1571087216248506,1.1606201318154583,1918.4518608124251,1.801764635603345,1.807132414619533,37.206652927120665,0.03246833930704899,0.03252127022168964,0.7706837606837607,,,,,,,,,1428346.1,5627.2,41.396833333333326,0.16299999999999998,2177.8646616541355,0.06309022556390978,0.014990977443609022,113.33297872340427,,13206559.24074074,8417522.095238095,4904946.134020618,1392860.4375,,26874.291787439615,37.1087037037037,23.652095238095242,13.782886597938145,3.9145833333333324,755.1014492753624,15991.59420289855,0.044955555555555554,51.81082417582417,23.889999999999997,16.800000000000004,2.4050000000000002,1.362,5819.495000000002,,276.0450000000001,3.9399999999999995,,,26.663999999999994,,61.149999999999984,0.5809999999999997,35588996.0,,,,
min,,,,2020-01-05 00:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.01,,,,,,,,,1317776.0,1459.0,38.192,0.042,760.0,0.022,0.0,6.1,,0.0,0.0,40195.0,138204.0,,881.0,0.0,0.0,0.11,0.39,25.0,0.0,0.0,0.0,23.89,16.8,2.405,1.362,5819.495,,276.045,3.94,,,26.664,,61.15,0.581,35588996.0,,,,
25%,,,,2021-02-26 06:00:00,20499.0,0.0,1.143,498.0,0.0,0.0,575.249,0.0,0.032,13.975,0.0,0.0,0.3,,,,,,,,,1385625.75,2260.0,40.15875,0.066,1810.0,0.052,0.0,66.5,,1819694.25,1025762.0,1290152.0,882137.5,,9475.0,5.109999999999999,2.88,3.63,2.48,266.0,2432.0,0.007,33.33,23.89,16.8,2.405,1.362,5819.495,,276.045,3.94,,,26.664,,61.15,0.581,35588996.0,,,,
50%,,,,2022-04-20 12:00:00,99287.0,0.0,13.143,1900.0,0.0,0.0,2786.219,0.0,0.369,53.318,0.0,0.0,0.88,,,,,,,,,1420397.5,4671.0,41.1665,0.135,2279.0,0.066,0.0065,107.25,,13317394.0,9287396.0,5278086.0,1127156.0,,14564.0,37.42,26.1,14.83,3.17,409.0,6811.0,0.019,58.8,23.89,16.8,2.405,1.362,5819.495,,276.045,3.94,,,26.664,,61.15,0.581,35588996.0,,,,
75%,,,,2023-06-12 18:00:00,105884.0,0.0,59.571,1936.0,0.0,1.286,2971.346,0.0,1.672,54.329,0.0,0.036,1.13,,,,,,,,,1458719.0,6708.0,42.277,0.194,2279.0,0.066,0.0121,171.5,,22934973.25,14220830.0,7814121.0,1925713.5,,34856.5,64.4425,39.96,21.96,5.41,979.5,19339.0,0.054,66.67,23.89,16.8,2.405,1.362,5819.495,,276.045,3.94,,,26.664,,61.15,0.581,35588996.0,,,,
max,,,,2024-08-04 00:00:00,107481.0,11256.0,1608.0,1937.0,99.0,14.143,3016.162,315.869,45.124,54.357,2.778,0.397,2.94,,,,,,,,,1618566.0,13038.0,46.91,0.378,4261.0,0.123,0.1635,429.6,,27819132.0,16550642.0,9609080.0,3067091.0,,183173.0,78.17,46.5,27.0,8.62,5147.0,147117.0,0.413,90.74,23.89,16.8,2.405,1.362,5819.495,,276.045,3.94,,,26.664,,61.15,0.581,35588996.0,,,,
std,,,,,43458.56413494725,434.07898932866885,153.10087881228168,779.0622348486417,6.526495743223893,2.2243018527422156,1219.546242054355,12.18124374871264,4.296376942352381,21.86230098695748,0.18314631287551045,0.06238630183316801,0.5179031792664449,,,,,,,,,71043.51447278511,4629.101716316029,2.0590017179965256,0.13418271125595876,661.3811167131785,0.019138434535350246,0.02837436278458612,71.96006417585444,,9832652.882009605,6107459.562148109,3307205.807880932,798937.8877458925,,30322.21921855944,27.628783111962,17.161441613689487,9.293319168310607,2.2448209503857495,852.0228009475184,22594.469580161953,0.06346564244794442,22.75770429791442,3.553775299526064e-15,3.553775299526064e-15,4.44221912440758e-16,0.0,1.819532953357345e-12,,5.686040479241703e-14,4.44221912440758e-16,,,7.107550599052128e-15,,1.4215101198104257e-14,2.22110956220379e-16,0.0,,,,
