,iso_code,continent,location,date,total_cases,new_cases,new_cases_smoothed,total_deaths,new_deaths,new_deaths_smoothed,total_cases_per_million,new_cases_per_million,new_cases_smoothed_per_million,total_deaths_per_million,new_deaths_per_million,new_deaths_smoothed_per_million,reproduction_rate,icu_patients,icu_patients_per_million,hosp_patients,hosp_patients_per_million,weekly_icu_admissions,weekly_icu_admissions_per_million,weekly_hosp_admissions,weekly_hosp_admissions_per_million,total_tests,new_tests,total_tests_per_thousand,new_tests_per_thousand,new_tests_smoothed,new_tests_smoothed_per_thousand,positive_rate,tests_per_case,tests_units,total_vaccinations,people_vaccinated,people_fully_vaccinated,total_boosters,new_vaccinations,new_vaccinations_smoothed,total_vaccinations_per_hundred,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred,total_boosters_per_hundred,new_vaccinations_smoothed_per_million,new_people_vaccinated_smoothed,new_people_vaccinated_smoothed_per_hundred,stringency_index,population_density,median_age,aged_65_older,aged_70_older,gdp_per_capita,extreme_poverty,cardiovasc_death_rate,diabetes_prevalence,female_smokers,male_smokers,handwashing_facilities,hospital_beds_per_thousand,life_expectancy,human_development_index,population,excess_mortality_cumulative_absolute,excess_mortality_cumulative,excess_mortality,excess_mortality_cumulative_per_million
count,1674,1674,1674,1674,1674.0,1674.0,1669.0,1674.0,1674.0,1669.0,1674.0,1674.0,1669.0,1674.0,1674.0,1669.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,0.0,111.0,111.0,111.0,94.0,118,69.0,69.0,57.0,29.0,1.0,764.0,69.0,69.0,57.0,29.0,764.0,771.0,771.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1674.0,0.0,1674.0,0.0,0.0,0.0,0.0
unique,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
top,AIA,North America,Anguilla,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,tests performed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
freq,1674,1674,1674,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,118,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mean,,,,2022-04-20 12:00:00,2133.89486260454,2.3321385902031064,2.3391240263630912,6.4342891278375145,0.007168458781362007,0.007197124026363092,150253.13132078853,164.21198745519712,164.7039352905932,453.0550215053764,0.5047520908004779,0.5062648292390652,,,,,,,,,,41519.0,,2635.625,,169.0,10.728,0.04797207207207207,76.9159574468085,,18696.797101449276,9317.36231884058,9011.929824561403,2452.551724137931,1421.0,32.73298429319372,117.76101449275363,58.68449275362319,56.76140350877192,15.446896551724139,2061.755235602094,14.621271076523994,0.09211024643320363,,,,,,,,,,,,,,81.88,,15877.0,,,,
min,,,,2020-01-05 00:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,31656.0,,2009.522,,169.0,10.728,0.0,6.2,,0.0,0.0,783.0,663.0,1421.0,0.0,0.0,0.0,4.93,4.18,0.0,0.0,0.0,,,,,,,,,,,,,,81.88,,15877.0,,,,
25%,,,,2021-02-26 06:00:00,18.0,0.0,0.0,0.0,0.0,0.0,1267.427,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,36587.5,,2322.5735,,169.0,10.728,0.01395,11.525,,17807.0,9362.0,8978.0,2147.0,1421.0,1.0,112.16,58.97,56.55,13.52,63.0,0.0,0.0,,,,,,,,,,,,,,81.88,,15877.0,,,,
50%,,,,2022-04-20 12:00:00,2731.0,0.0,0.0,9.0,0.0,0.0,192296.86,0.0,0.0,633.714,0.0,0.0,,,,,,,,,,41519.0,,2635.625,,169.0,10.728,0.0338,20.2,,21046.0,10157.0,9500.0,2747.0,1421.0,10.5,132.56,63.97,59.83,17.3,661.5,2.0,0.013,,,,,,,,,,,,,,81.88,,15877.0,,,,
75%,,,,2023-06-12 18:00:00,3904.0,0.0,0.857,12.0,0.0,0.0,274890.88,0.0,60.354,844.951,0.0,0.0,,,,,,,,,,46450.5,,2948.6765,,169.0,10.728,0.0803,43.4,,23601.0,10746.0,10183.0,2953.0,1421.0,30.0,148.65,67.68,64.14,18.6,1890.0,7.0,0.044,,,,,,,,,,,,,,81.88,,15877.0,,,,
max,,,,2024-08-04 00:00:00,3904.0,263.0,37.571,12.0,2.0,0.286,274890.88,18518.518,2645.503,844.951,140.825,20.118,,,,,,,,,,51382.0,,3261.728,,169.0,10.728,0.1615,1181.8,,24604.0,10854.0,10380.0,3309.0,1421.0,331.0,154.97,68.36,65.38,20.84,20848.0,331.0,2.085,,,,,,,,,,,,,,81.88,,15877.0,,,,
std,,,,,1781.0820444189187,15.399119895979103,5.41130322657195,5.532346430380102,0.09119639971050171,0.033905905081529346,125410.65714559519,1084.2923535466139,381.0270150030789,389.5468301348007,6.421399031231516,2.385031463042683,,,,,,,,,,13948.388365685836,,885.443354042482,,0.0,0.0,0.04181600644201207,218.63620754119884,,6502.669181777475,2315.1561055931265,1797.184353963256,729.7374570060355,,57.032164579182066,40.95647105177023,14.581566983517225,11.319874816098025,4.594686452420786,3592.102469448922,39.45303654230229,0.2484449026406479,,,,,,,,,,,,,,0.0,,0.0,,,,
