,iso_code,continent,location,date,total_cases,new_cases,new_cases_smoothed,total_deaths,new_deaths,new_deaths_smoothed,total_cases_per_million,new_cases_per_million,new_cases_smoothed_per_million,total_deaths_per_million,new_deaths_per_million,new_deaths_smoothed_per_million,reproduction_rate,icu_patients,icu_patients_per_million,hosp_patients,hosp_patients_per_million,weekly_icu_admissions,weekly_icu_admissions_per_million,weekly_hosp_admissions,weekly_hosp_admissions_per_million,total_tests,new_tests,total_tests_per_thousand,new_tests_per_thousand,new_tests_smoothed,new_tests_smoothed_per_thousand,positive_rate,tests_per_case,tests_units,total_vaccinations,people_vaccinated,people_fully_vaccinated,total_boosters,new_vaccinations,new_vaccinations_smoothed,total_vaccinations_per_hundred,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred,total_boosters_per_hundred,new_vaccinations_smoothed_per_million,new_people_vaccinated_smoothed,new_people_vaccinated_smoothed_per_hundred,stringency_index,population_density,median_age,aged_65_older,aged_70_older,gdp_per_capita,extreme_poverty,cardiovasc_death_rate,diabetes_prevalence,female_smokers,male_smokers,handwashing_facilities,hospital_beds_per_thousand,life_expectancy,human_development_index,population,excess_mortality_cumulative_absolute,excess_mortality_cumulative,excess_mortality,excess_mortality_cumulative_per_million
count,1674,1674,1674,1674,1674.0,1674.0,1669.0,1674.0,1674.0,1669.0,1674.0,1674.0,1669.0,1674.0,1674.0,1669.0,827.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,0.0,12.0,0.0,282.0,282.0,281.0,256.0,289,95.0,94.0,82.0,1.0,10.0,577.0,95.0,94.0,82.0,1.0,577.0,577.0,577.0,0.0,1674.0,1674.0,1674.0,1674.0,1674.0,0.0,1674.0,1674.0,0.0,0.0,0.0,1674.0,1674.0,1674.0,1674.0,24.0,24.0,24.0,24.0
unique,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
top,ATG,North America,Antigua and Barbuda,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,tests performed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
freq,1674,1674,1674,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,289,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mean,,,,2022-04-20 12:00:00,5351.039426523297,5.439665471923536,5.455977831036549,92.49223416965353,0.08721624850657109,0.08750629119233073,57630.389888291524,58.58489366786141,58.760415817855005,996.1362514934291,0.9393166069295102,0.9421647693229478,0.6426844014510278,,,,,,,,,7826.583333333333,,83.95808333333333,,49.290780141843975,0.5288510638297872,0.07493843416370105,51.691796875,,78766.18947368421,44326.14893617021,38786.0243902439,9838.0,841.2,240.263431542461,83.99778947368421,47.270212765957446,41.36182926829268,10.49,2562.150779896014,116.04506065857886,0.12369844020797229,,231.84499999999994,32.10000000000001,6.932999999999999,4.631,21490.942999999996,,191.511,13.169999999999996,,,,3.7999999999999994,77.01999999999998,0.7780000000000001,93772.0,-37.43333444583333,-5.079166666666667,-4.3395833333333345,-402.2283752916667
min,,,,2020-01-05 00:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,2701.0,,28.974,,26.0,0.279,0.0,1.6,,0.0,0.0,2581.0,9838.0,114.0,5.0,0.0,0.0,2.75,10.49,53.0,0.0,0.0,,231.845,32.1,6.933,4.631,21490.943,,191.511,13.17,,,,3.8,77.02,0.778,93772.0,-75.4,-9.15,-55.33,-808.7612
25%,,,,2021-02-26 06:00:00,598.0,0.0,0.0,11.0,0.0,0.0,6440.426,0.0,0.0,118.469,0.0,0.0,0.44,,,,,,,,,3791.25,,40.66975,,26.0,0.279,0.011,9.149999999999999,,59154.5,34976.5,28474.5,9838.0,233.75,43.0,63.085,37.300000000000004,30.3675,10.49,459.0,5.0,0.005,,231.845,32.1,6.933,4.631,21490.943,,191.511,13.17,,,,3.8,77.02,0.778,93772.0,-54.95000075,-7.1025,-18.3975,-589.4088975
50%,,,,2022-04-20 12:00:00,7535.0,0.0,0.143,135.0,0.0,0.0,81151.52,0.0,1.539,1453.942,0.0,0.0,0.64,,,,,,,,,6764.0,,72.5595,,31.5,0.338,0.0264,30.4,,71434.0,39112.5,33925.0,9838.0,368.5,115.0,76.18,41.71,36.18000000000001,10.49,1226.0,41.0,0.044,,231.845,32.1,6.933,4.631,21490.943,,191.511,13.17,,,,3.8,77.02,0.778,93772.0,-45.1,-5.46,-8.865,-485.17339000000004
75%,,,,2023-06-12 18:00:00,9106.0,0.0,3.286,146.0,0.0,0.0,98071.1,0.0,35.387,1572.412,0.0,0.0,0.88,,,,,,,,,11015.75,,118.16925,,52.0,0.558,0.0879,74.6,,109593.5,56860.75,55247.0,9838.0,1595.75,308.0,116.87,60.64,58.915,10.49,3285.0,108.0,0.115,,231.845,32.1,6.933,4.631,21490.943,,191.511,13.17,,,,3.8,77.02,0.778,93772.0,-14.625001750000001,-4.075,2.9725,-157.8146825
max,,,,2024-08-04 00:00:00,9106.0,627.0,89.571,146.0,20.0,2.857,98071.1,6752.754,964.679,1572.412,215.399,30.771,1.48,,,,,,,,,16700.0,,179.146,,231.0,2.478,0.6099,342.7,,136512.0,64290.0,62384.0,9838.0,2221.0,1278.0,145.58,68.56,66.53,10.49,13629.0,895.0,0.954,,231.845,32.1,6.933,4.631,21490.943,,191.511,13.17,,,,3.8,77.02,0.778,93772.0,3.1,6.61,91.88,33.451313
std,,,,,3999.1162632098312,40.79413719562365,14.591318899534942,62.46708349721524,0.7851225829409683,0.2859531614476958,43070.25405962105,439.35055018442154,157.14781424644792,672.7669774483834,8.455733940629582,3.0794756961798497,0.36859500375112114,,,,,,,,,4726.469958134878,,50.70232594890285,,40.26814729949339,0.43195782771896823,0.10864776812037787,55.84975337503914,,32946.99473632166,13431.015641431411,15654.675757138062,,803.095649485304,293.685566096366,35.13521029549131,14.322547603227472,16.694200007679814,,3131.8584715638904,209.0496802182325,0.22289300313885418,,5.686040479241703e-14,7.107550599052128e-15,8.88443824881516e-16,0.0,3.63906590671469e-12,,0.0,3.553775299526064e-15,,,,4.44221912440758e-16,1.4215101198104257e-14,1.110554781101895e-16,0.0,23.092097010330072,3.181123559601116,26.585168058306603,247.75850791615002
