,iso_code,continent,location,date,total_cases,new_cases,new_cases_smoothed,total_deaths,new_deaths,new_deaths_smoothed,total_cases_per_million,new_cases_per_million,new_cases_smoothed_per_million,total_deaths_per_million,new_deaths_per_million,new_deaths_smoothed_per_million,reproduction_rate,icu_patients,icu_patients_per_million,hosp_patients,hosp_patients_per_million,weekly_icu_admissions,weekly_icu_admissions_per_million,weekly_hosp_admissions,weekly_hosp_admissions_per_million,total_tests,new_tests,total_tests_per_thousand,new_tests_per_thousand,new_tests_smoothed,new_tests_smoothed_per_thousand,positive_rate,tests_per_case,tests_units,total_vaccinations,people_vaccinated,people_fully_vaccinated,total_boosters,new_vaccinations,new_vaccinations_smoothed,total_vaccinations_per_hundred,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred,total_boosters_per_hundred,new_vaccinations_smoothed_per_million,new_people_vaccinated_smoothed,new_people_vaccinated_smoothed_per_hundred,stringency_index,population_density,median_age,aged_65_older,aged_70_older,gdp_per_capita,extreme_poverty,cardiovasc_death_rate,diabetes_prevalence,female_smokers,male_smokers,handwashing_facilities,hospital_beds_per_thousand,life_expectancy,human_development_index,population,excess_mortality_cumulative_absolute,excess_mortality_cumulative,excess_mortality,excess_mortality_cumulative_per_million
count,1678,1678,1678,1678,1674.0,1674.0,1669.0,1674.0,1674.0,1669.0,1674.0,1674.0,1669.0,1674.0,1674.0,1669.0,1018.0,647.0,647.0,0.0,0.0,0.0,0.0,0.0,0.0,870.0,870.0,870.0,870.0,879.0,879.0,864.0,864.0,886,1125.0,1125.0,1125.0,1125.0,1124.0,1124.0,1125.0,1125.0,1125.0,1125.0,1124.0,1124.0,1124.0,1096.0,1678.0,1678.0,1678.0,1678.0,1678.0,1678.0,1678.0,1678.0,1678.0,1678.0,0.0,1678.0,1678.0,1678.0,1678.0,36.0,36.0,36.0,36.0
unique,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
top,ARG,South America,Argentina,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,tests performed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
freq,1678,1678,1678,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,886,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mean,,,,2022-04-18 12:00:00,6458828.9677419355,6034.180406212664,6052.229916716598,96386.19952210275,78.05436081242533,78.28768723786699,142240.1923590203,132.88832735961768,133.28581426003598,2122.674396057347,1.7189545997610516,1.7240904733373277,0.9698526522593319,2934.584234930448,64.48173415765069,,,,,,,13807351.844827587,42142.51724137931,304.9543804597701,0.9307459770114943,41630.24118316268,0.9194550625711034,0.19635300925925922,10.26226851851852,,83344109.45333333,33679399.112,26509186.381333333,21011771.164444443,104055.18327402136,104042.46174377225,183.1324177777778,74.00382222222223,58.24913777777778,46.16892444444444,2286.135231316726,36959.53558718861,0.0811379003558719,52.42913321167883,16.176999999999992,31.899999999999995,11.198000000000004,7.441000000000002,18933.907000000007,0.5999999999999999,191.032,5.5,16.199999999999996,27.699999999999996,,5.0,76.66999999999999,0.8450000000000002,45510324.0,92656.71810999999,13.212777777777779,18.536944444444444,2040.1246253722227
min,,,,2020-01-01 00:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,372.0,8.174,,,,,,,4.0,1.0,0.0,0.0,0.0,0.0,0.018,1.5,,20495.0,20492.0,2.0,1.0,6.0,1115.0,0.05,0.05,0.0,0.0,24.0,43.0,0.0,0.0,16.177,31.9,11.198,7.441,18933.907,0.6,191.032,5.5,16.2,27.7,,5.0,76.67,0.845,45510324.0,-8543.4,-5.17,-14.65,-189.70145
25%,,,,2021-02-23 06:00:00,2138252.0,0.0,15.571,56396.0,0.0,0.143,47089.863,0.0,0.343,1241.986,0.0,0.003,0.84,1028.0,22.588,,,,,,,1340930.5,13523.5,29.616500000000002,0.2985,14131.0,0.3125,0.089,3.6,,54447492.0,30491653.0,21626310.0,2817.0,6086.5,8534.5,119.64,67.0,47.52,0.01,187.75,172.5,0.0,18.99,16.177,31.9,11.198,7.441,18933.907,0.6,191.032,5.5,16.2,27.7,,5.0,76.67,0.845,45510324.0,18371.175000000003,6.4399999999999995,2.3850000000000002,407.921715
50%,,,,2022-04-18 12:00:00,9047398.0,0.0,1289.143,128344.0,0.0,7.714,199247.2,0.0,28.39,2826.468,0.0,0.17,1.02,3313.0,72.797,,,,,,,9032744.0,32062.0,199.5005,0.708,33925.0,0.749,0.1815,5.5,,107440521.0,41237652.0,34663604.0,28811859.0,29258.0,49165.5,236.08,90.61,76.17,63.31,1080.5,1550.5,0.003,71.76,16.177,31.9,11.198,7.441,18933.907,0.6,191.032,5.5,16.2,27.7,,5.0,76.67,0.845,45510324.0,115056.7025,18.37,13.32,2541.1851500000002
75%,,,,2023-06-11 18:00:00,10044957.0,0.0,7182.714,130472.0,0.0,123.143,221216.05,0.0,158.182,2873.332,0.0,2.712,1.15,3965.5,87.134,,,,,,,25365030.5,54249.5,560.2212499999999,1.1985,53631.5,1.1844999999999999,0.279,11.2,,115501468.0,41495231.0,34879057.0,36297288.0,157359.5,161854.25,253.79,91.18,76.64,79.76,3556.5,48205.25,0.106,79.17,16.177,31.9,11.198,7.441,18933.907,0.6,191.032,5.5,16.2,27.7,,5.0,76.67,0.845,45510324.0,168264.0725,20.752499999999998,28.46,3697.2725499999997
max,,,,2024-08-04 00:00:00,10101218.0,770687.0,110098.143,130663.0,4516.0,645.143,222455.06,16972.53,2424.647,2877.538,99.454,14.208,2.38,7969.0,175.103,,,,,,,36663990.0,270716.0,809.775,5.979,220349.0,4.867,0.662,55.6,,116978521.0,41529058.0,34900613.0,37713094.0,572427.0,453344.0,257.04,91.25,76.69,82.87,9961.0,320974.0,0.705,100.0,16.177,31.9,11.198,7.441,18933.907,0.6,191.032,5.5,16.2,27.7,,5.0,76.67,0.845,45510324.0,186306.38,22.16,81.83,4093.7168
std,,,,,3996193.3899970422,38267.49590013874,13356.502487503281,48153.48432728369,402.41983534755246,133.95794111864905,88006.55958884195,842.7496711282884,294.1448808830874,1060.464732048349,8.862320982102176,2.950140524976637,0.36651978540758223,1886.2723363480209,41.44713738815086,,,,,,,12961722.996184831,40561.94306266269,286.27749849205964,0.8958805973561013,37352.26675786726,0.824969377477488,0.13070884972967442,11.294022145152006,,41184074.09113874,13532927.455601148,13093668.096101316,15674525.560872395,135319.75610394252,121683.30620392077,90.49392412324643,29.735999605969724,28.770885180028582,34.44171170225053,2673.751081431104,68868.7392526978,0.15136351373660029,31.840481193395732,7.107545535426441e-15,3.5537727677132205e-15,3.5537727677132205e-15,1.7768863838566102e-15,7.278126628276676e-12,1.1105539899103814e-16,0.0,0.0,3.5537727677132205e-15,3.5537727677132205e-15,,0.0,1.4215091070852882e-14,2.221107979820763e-16,0.0,72774.32504474277,9.448256864510924,22.550632024015197,1599.5858766341016
