,iso_code,continent,location,date,total_cases,new_cases,new_cases_smoothed,total_deaths,new_deaths,new_deaths_smoothed,total_cases_per_million,new_cases_per_million,new_cases_smoothed_per_million,total_deaths_per_million,new_deaths_per_million,new_deaths_smoothed_per_million,reproduction_rate,icu_patients,icu_patients_per_million,hosp_patients,hosp_patients_per_million,weekly_icu_admissions,weekly_icu_admissions_per_million,weekly_hosp_admissions,weekly_hosp_admissions_per_million,total_tests,new_tests,total_tests_per_thousand,new_tests_per_thousand,new_tests_smoothed,new_tests_smoothed_per_thousand,positive_rate,tests_per_case,tests_units,total_vaccinations,people_vaccinated,people_fully_vaccinated,total_boosters,new_vaccinations,new_vaccinations_smoothed,total_vaccinations_per_hundred,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred,total_boosters_per_hundred,new_vaccinations_smoothed_per_million,new_people_vaccinated_smoothed,new_people_vaccinated_smoothed_per_hundred,stringency_index,population_density,median_age,aged_65_older,aged_70_older,gdp_per_capita,extreme_poverty,cardiovasc_death_rate,diabetes_prevalence,female_smokers,male_smokers,handwashing_facilities,hospital_beds_per_thousand,life_expectancy,human_development_index,population,excess_mortality_cumulative_absolute,excess_mortality_cumulative,excess_mortality,excess_mortality_cumulative_per_million
count,1674,1674,1674,1674,1674.0,1674.0,1669.0,1674.0,1674.0,1669.0,1674.0,1674.0,1669.0,1674.0,1674.0,1669.0,1019.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,837.0,837.0,837.0,837.0,841.0,841.0,837.0,818.0,848,54.0,47.0,47.0,20.0,0.0,914.0,54.0,47.0,47.0,20.0,914.0,914.0,914.0,0.0,1674.0,1674.0,1674.0,1674.0,1674.0,1674.0,1674.0,1674.0,1674.0,1674.0,1674.0,1674.0,1674.0,1674.0,1674.0,48.0,48.0,48.0,48.0
unique,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
top,ARM,Asia,Armenia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,tests performed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
freq,1674,1674,1674,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,848,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mean,,,,2022-04-20 12:00:00,308093.92891278374,270.17502986857824,270.9844319952067,6082.363799283155,5.243130227001195,5.2588621929298975,106944.26993966548,93.7820191158901,94.06300119832234,2111.2845418160096,1.8199707287933096,1.8254733373277412,0.8804710500490678,,,,,,,,,1187205.780167264,3706.4121863799282,425.3733082437276,1.3279988052568699,3683.7419738406657,1.3198941736028538,0.13606810035842293,42.257823960880195,,1087489.111111111,562018.9787234042,531370.5106382979,29142.6,,2458.4781181619255,39.111666666666665,20.212978723404255,19.10978723404255,1.0474999999999999,884.191466083151,1256.4124726477023,0.04509846827133479,,102.93100000000004,35.699999999999996,11.232000000000001,7.571,8787.580000000002,1.8000000000000005,341.01000000000005,7.11,1.5,52.100000000000016,94.043,4.200000000000001,75.09000000000002,0.7759999999999999,2780472.0,15290.304334374998,27.2975,23.439791666666668,5494.155915195833
min,,,,2020-01-05 00:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.07,,,,,,,,,6.0,1.0,0.002,0.0,1.0,0.0,0.0,2.1,,565.0,565.0,11784.0,628.0,,1.0,0.02,0.02,0.42,0.02,0.0,6.0,0.0,,102.931,35.7,11.232,7.571,8787.58,1.8,341.01,7.11,1.5,52.1,94.043,4.2,75.09,0.776,2780472.0,-18.9,-0.73,-4.03,-6.7365026
25%,,,,2021-02-26 06:00:00,170402.0,0.0,5.714,3164.0,0.0,0.0,59149.227,0.0,1.984,1098.274,0.0,0.0,0.66,,,,,,,,,231259.0,1751.0,82.86,0.627,1751.0,0.627,0.039,5.3,,201235.5,126407.0,124884.0,8125.75,,11.0,7.2375,4.55,4.49,0.29000000000000004,4.0,6.0,0.0,,102.931,35.7,11.232,7.571,8787.58,1.8,341.01,7.11,1.5,52.1,94.043,4.2,75.09,0.776,2780472.0,10379.724999999999,24.48,0.6425,3714.352275
50%,,,,2022-04-20 12:00:00,422762.0,0.0,43.857,8621.0,0.0,0.571,146747.38,0.0,15.224,2992.485,0.0,0.198,0.9,,,,,,,,,889872.0,3067.0,318.839,1.099,3134.0,1.123,0.103,9.3,,1057692.0,579360.0,582624.0,36913.5,,86.0,38.040000000000006,20.84,20.95,1.325,31.0,18.0,0.001,,102.931,35.7,11.232,7.571,8787.58,1.8,341.01,7.11,1.5,52.1,94.043,4.2,75.09,0.776,2780472.0,19973.7,31.56,9.54,7170.1155
75%,,,,2023-06-12 18:00:00,449222.0,0.0,306.0,8750.0,0.0,6.143,155932.05,0.0,106.217,3037.263,0.0,2.132,1.19,,,,,,,,,2134782.0,4950.0,764.888,1.774,4926.0,1.765,0.187,21.7,,1987559.5,986917.5,934087.5,42393.5,,3310.0,71.48,35.495000000000005,33.595,1.5225,1190.0,1415.25,0.050749999999999997,,102.931,35.7,11.232,7.571,8787.58,1.8,341.01,7.11,1.5,52.1,94.043,4.2,75.09,0.776,2780472.0,22380.600250000003,35.6225,28.0625,8054.8689
max,,,,2024-08-04 00:00:00,452273.0,23524.0,3360.571,8777.0,346.0,49.429,156991.11,8165.552,1166.507,3046.635,120.102,17.157,2.3,,,,,,,,,3102267.0,19360.0,1111.536,6.937,15623.0,5.598,0.478,1000.0,,2256919.0,1150915.0,1030758.0,81354.0,,17910.0,81.17,41.39,37.07,2.93,6441.0,14234.0,0.512,,102.931,35.7,11.232,7.571,8787.58,1.8,341.01,7.11,1.5,52.1,94.043,4.2,75.09,0.776,2780472.0,23082.4,40.01,178.61,8309.077
