,iso_code,continent,location,date,total_cases,new_cases,new_cases_smoothed,total_deaths,new_deaths,new_deaths_smoothed,total_cases_per_million,new_cases_per_million,new_cases_smoothed_per_million,total_deaths_per_million,new_deaths_per_million,new_deaths_smoothed_per_million,reproduction_rate,icu_patients,icu_patients_per_million,hosp_patients,hosp_patients_per_million,weekly_icu_admissions,weekly_icu_admissions_per_million,weekly_hosp_admissions,weekly_hosp_admissions_per_million,total_tests,new_tests,total_tests_per_thousand,new_tests_per_thousand,new_tests_smoothed,new_tests_smoothed_per_thousand,positive_rate,tests_per_case,tests_units,total_vaccinations,people_vaccinated,people_fully_vaccinated,total_boosters,new_vaccinations,new_vaccinations_smoothed,total_vaccinations_per_hundred,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred,total_boosters_per_hundred,new_vaccinations_smoothed_per_million,new_people_vaccinated_smoothed,new_people_vaccinated_smoothed_per_hundred,stringency_index,population_density,median_age,aged_65_older,aged_70_older,gdp_per_capita,extreme_poverty,cardiovasc_death_rate,diabetes_prevalence,female_smokers,male_smokers,handwashing_facilities,hospital_beds_per_thousand,life_expectancy,human_development_index,population,excess_mortality_cumulative_absolute,excess_mortality_cumulative,excess_mortality,excess_mortality_cumulative_per_million
count,1674,1674,1674,1674,1674.0,1674.0,1669.0,1674.0,1674.0,1669.0,1674.0,1674.0,1669.0,1674.0,1674.0,1669.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,2.0,2.0,0.0,0.0,0.0,0.0,2,631.0,618.0,616.0,0.0,467.0,1078.0,631.0,618.0,616.0,0.0,1078.0,1078.0,1078.0,1092.0,1674.0,1674.0,1674.0,1674.0,1674.0,0.0,0.0,1674.0,0.0,0.0,0.0,0.0,1674.0,0.0,1674.0,24.0,24.0,24.0,24.0
unique,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
top,ABW,North America,Aruba,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,tests performed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
freq,1674,1674,1674,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mean,,,,2022-04-20 12:00:00,26578.538829151734,26.41816009557945,26.49732354703415,176.74253285543608,0.17443249701314217,0.1750041941282205,246572.45870071684,245.08460513739547,245.8188196524865,1639.6628249701312,1.6182281959378733,1.6230814859197122,,,,,,,,,,579.0,396.5,5.4345,3.7215000000000003,,,,,,158952.42155309033,83262.29935275081,75330.59090909091,,244.91434689507494,141.9100185528757,149.30860538827258,78.21085760517799,70.76006493506493,,1332.9758812615955,72.63358070500928,0.06826159554730983,38.39039377289378,584.8000000000001,41.199999999999996,13.085000000000004,7.451999999999998,35973.78100000002,,,11.620000000000003,,,,,76.28999999999999,,106459.0,121.05000287500002,14.257916666666668,26.77625,1136.08602625
min,,,,2020-01-05 00:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,365.0,365.0,3.426,3.426,,,,,,25766.0,15600.0,10166.0,,1.0,0.0,24.2,14.65,9.55,,0.0,0.0,0.0,0.0,584.8,41.2,13.085,7.452,35973.781,,,11.62,,,,,76.29,,106459.0,9.8,3.02,-24.32,91.93504
25%,,,,2021-02-26 06:00:00,7553.0,0.0,0.0,70.0,0.0,0.0,70070.13,0.0,0.0,649.399,0.0,0.0,,,,,,,,,,472.0,380.75,4.43025,3.5737500000000004,,,,,,158142.0,81933.75,75729.25,,9.0,2.0,148.54500000000002,76.965,71.13250000000001,,19.0,1.0,0.001,25.93,584.8,41.2,13.085,7.452,35973.781,,,11.62,,,,,76.29,,106459.0,24.37500225,9.525,0.23249999999999993,228.664985
50%,,,,2022-04-20 12:00:00,34264.0,0.0,5.286,212.0,0.0,0.0,317871.47,0.0,49.036,1966.751,0.0,0.0,,,,,,,,,,579.0,396.5,5.4345,3.7215000000000003,,,,,,171192.0,88687.0,82206.5,,38.0,11.0,160.81,83.305,77.22,,103.0,5.0,0.005,34.26,584.8,41.2,13.085,7.452,35973.781,,,11.62,,,,,76.29,,106459.0,69.05000749999999,13.754999999999999,19.545,647.93782
75%,,,,2023-06-12 18:00:00,44200.0,0.0,25.0,290.0,0.0,0.143,410048.97,0.0,231.928,2690.367,0.0,1.325,,,,,,,,,,686.0,412.25,6.43875,3.86925,,,,,,174239.5,90154.5,83993.25,,159.5,68.75,163.67,84.6875,78.9,,645.75,34.0,0.032,48.15,584.8,41.2,13.085,7.452,35973.781,,,11.62,,,,,76.29,,106459.0,171.85000000000002,18.1925,43.442499999999995,1612.963775
max,,,,2024-08-04 00:00:00,44224.0,5535.0,790.714,292.0,44.0,6.286,410271.62,51348.895,7335.556,2708.921,408.194,58.313,,,,,,,,,,793.0,428.0,7.443,4.017,,,,,,174914.0,90546.0,84368.0,,5076.0,2679.0,164.3,85.05,79.25,,25165.0,1796.0,1.687,88.89,584.8,41.2,13.085,7.452,35973.781,,,11.62,,,,,76.29,,106459.0,352.2,26.65,120.18,3305.7078
