,iso_code,continent,location,date,total_cases,new_cases,new_cases_smoothed,total_deaths,new_deaths,new_deaths_smoothed,total_cases_per_million,new_cases_per_million,new_cases_smoothed_per_million,total_deaths_per_million,new_deaths_per_million,new_deaths_smoothed_per_million,reproduction_rate,icu_patients,icu_patients_per_million,hosp_patients,hosp_patients_per_million,weekly_icu_admissions,weekly_icu_admissions_per_million,weekly_hosp_admissions,weekly_hosp_admissions_per_million,total_tests,new_tests,total_tests_per_thousand,new_tests_per_thousand,new_tests_smoothed,new_tests_smoothed_per_thousand,positive_rate,tests_per_case,tests_units,total_vaccinations,people_vaccinated,people_fully_vaccinated,total_boosters,new_vaccinations,new_vaccinations_smoothed,total_vaccinations_per_hundred,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred,total_boosters_per_hundred,new_vaccinations_smoothed_per_million,new_people_vaccinated_smoothed,new_people_vaccinated_smoothed_per_hundred,stringency_index,population_density,median_age,aged_65_older,aged_70_older,gdp_per_capita,extreme_poverty,cardiovasc_death_rate,diabetes_prevalence,female_smokers,male_smokers,handwashing_facilities,hospital_beds_per_thousand,life_expectancy,human_development_index,population,excess_mortality_cumulative_absolute,excess_mortality_cumulative,excess_mortality,excess_mortality_cumulative_per_million
count,1684,0,1684,1684,1674.0,1674.0,1669.0,1674.0,1674.0,1669.0,1674.0,1674.0,1669.0,1674.0,1674.0,1669.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1339.0,1339.0,1335.0,1266.0,1333.0,1333.0,1339.0,1339.0,1335.0,1266.0,1333.0,1333.0,1333.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1684.0,0.0,0.0,0.0,0.0
unique,1,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
top,OWID_ASI,,Asia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
freq,1684,,1684,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mean,,,,2022-04-25 12:00:00.000000256,150637584.9617682,180145.8661887694,180683.22909287,1069536.9653524493,978.0973715651135,981.0188502097063,31950.35265292712,38.20907945041816,38.32306470940683,226.84966009557945,0.20745639187574672,0.20807549430796884,,,,,,,,,,,,,,,,,,,6852633231.620612,2923960000.3159075,2631262160.7445693,1219791846.1461296,6827816.209302326,6824994.564891223,145.14053771471248,61.92988050784166,55.73098876404494,25.8355766192733,1445.5371342835708,2299538.233308327,0.04869317329332333,,,,,,,,,,,,,,,,4721383370.0,,,,
min,,,,2020-01-05 00:00:00,1.0,0.0,0.143,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,1500000.0,0.0,4.0,2.0,0.0,0.0,0.03,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,4721383370.0,,,,
25%,,,,2021-02-28 18:00:00,24324574.0,0.0,11677.286,390706.0,0.0,32.429,5159.262,0.0,2.477,82.869,0.0,0.007,,,,,,,,,,,,,,,,,,,5096641804.5,2735544520.5,2126531520.0,432177868.25,79544.0,79057.0,107.95,57.94,45.04,9.1575,17.0,21174.0,0.0,,,,,,,,,,,,,,,,4721383370.0,,,,
50%,,,,2022-04-25 12:00:00,145222159.0,0.0,82562.857,1418047.0,0.0,372.857,30801.736,0.0,17.512,300.769,0.0,0.079,,,,,,,,,,,,,,,,,,,8733203522.0,3608416994.0,3391793322.0,1695442999.5,1978811.0,1994623.0,184.97,76.43,71.84,35.91,422.0,337440.0,0.007,,,,,,,,,,,,,,,,4721383370.0,,,,
75%,,,,2023-06-20 06:00:00,297746021.0,0.0,168541.143,1630987.0,0.0,1464.286,63152.17,0.0,35.748,345.934,0.0,0.311,,,,,,,,,,,,,,,,,,,9096572146.0,3687557658.5,3460713002.0,1809680678.0,10414607.0,11148945.0,192.67,78.1,73.3,38.33,2361.0,2504116.0,0.053,,,,,,,,,,,,,,,,4721383370.0,,,,
max,,,,2024-08-14 00:00:00,301499099.0,42142424.0,6020346.286,1637249.0,60413.0,8630.429,63948.2,8938.442,1276.92,347.262,12.814,1.831,,,,,,,,,,,,,,,,,,,9104304615.0,3689438947.0,3462095463.0,1815176944.0,37780580.0,33844798.0,192.83,78.14,73.33,38.45,7168.0,16180347.0,0.343,,,,,,,,,,,,,,,,4721383370.0,,,,
std,,,,,120993781.91971385,1373986.8095497508,492429.25424335204,619184.8718342213,4263.294904039549,1333.60190628991,25662.87822816981,291.4236983818162,104.44461684170437,131.32961254602597,0.9042535043170689,0.2828465028549734,,,,,,,,,,,,,,,,,,,3176193093.537563,1262383895.762136,1280683143.2076309,744008814.6548176,9397968.386277938,9225678.335049743,67.2725303528074,26.73743291938748,27.125371890925535,15.75831885029001,1954.0364413113853,3987858.6595635624,0.08446771824983827,,,,,,,,,,,,,,,,0.0,,,,
