,iso_code,continent,location,date,total_cases,new_cases,new_cases_smoothed,total_deaths,new_deaths,new_deaths_smoothed,total_cases_per_million,new_cases_per_million,new_cases_smoothed_per_million,total_deaths_per_million,new_deaths_per_million,new_deaths_smoothed_per_million,reproduction_rate,icu_patients,icu_patients_per_million,hosp_patients,hosp_patients_per_million,weekly_icu_admissions,weekly_icu_admissions_per_million,weekly_hosp_admissions,weekly_hosp_admissions_per_million,total_tests,new_tests,total_tests_per_thousand,new_tests_per_thousand,new_tests_smoothed,new_tests_smoothed_per_thousand,positive_rate,tests_per_case,tests_units,total_vaccinations,people_vaccinated,people_fully_vaccinated,total_boosters,new_vaccinations,new_vaccinations_smoothed,total_vaccinations_per_hundred,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred,total_boosters_per_hundred,new_vaccinations_smoothed_per_million,new_people_vaccinated_smoothed,new_people_vaccinated_smoothed_per_hundred,stringency_index,population_density,median_age,aged_65_older,aged_70_older,gdp_per_capita,extreme_poverty,cardiovasc_death_rate,diabetes_prevalence,female_smokers,male_smokers,handwashing_facilities,hospital_beds_per_thousand,life_expectancy,human_development_index,population,excess_mortality_cumulative_absolute,excess_mortality_cumulative,excess_mortality,excess_mortality_cumulative_per_million
count,1674,1674,1674,1674,1674.0,1674.0,1669.0,1674.0,1673.0,1668.0,1674.0,1674.0,1669.0,1674.0,1673.0,1668.0,1028.0,1347.0,1347.0,1347.0,1347.0,0.0,0.0,0.0,0.0,838.0,837.0,838.0,837.0,831.0,831.0,829.0,829.0,838,559.0,405.0,471.0,338.0,532.0,1043.0,559.0,405.0,471.0,338.0,1043.0,410.0,410.0,1092.0,1674.0,1674.0,1674.0,1674.0,1674.0,1674.0,1674.0,1674.0,1674.0,1674.0,0.0,1674.0,1674.0,1674.0,1674.0,209.0,209.0,209.0,209.0
unique,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
top,AUS,Oceania,Australia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,tests performed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
freq,1674,1674,1674,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,838,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mean,,,,2022-04-20 12:00:00,5569955.818399044,7085.520310633214,7106.747160575194,10773.45221027479,15.129707112970712,15.175051558753001,212585.72314934287,270.42951792114695,271.23965308568,411.1850167264039,0.577442319187089,0.5791324940047962,1.0954961089494164,72.37045285820342,2.764559020044543,1370.034892353378,52.33651150705271,,,,,26907363.238663483,87650.53643966548,1038.0491062052506,3.3814516129032257,88044.40794223826,3.396637785800241,0.08838311218335343,1791.0463208685164,,34499815.03756709,12490235.419753086,11795199.08492569,10534167.547337279,117407.07142857143,66780.5723873442,131.7922361359571,47.71402469135803,45.05874734607218,40.24127218934911,2551.046021093001,54232.98292682927,0.2071780487804878,47.369908424908424,3.2019999999999986,37.899999999999984,15.503999999999998,10.129000000000001,44648.710000000014,0.5,107.79099999999995,5.07,13.0,16.5,,3.840000000000001,83.44000000000001,0.9439999999999996,26177410.0,10865.462907980862,1.8561722488038277,5.589617224880383,411.7438946620575
min,,,,2020-01-05 00:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.37,0.0,0.0,9.0,0.344,,,,,6796.0,420.0,0.262,0.016,1957.0,0.075,0.0001,1.7,,20.0,20.0,3.0,151.0,1127.0,1926.0,0.0,0.0,0.0,0.0,74.0,2769.0,0.011,0.0,3.202,37.9,15.504,10.129,44648.71,0.5,107.791,5.07,13.0,16.5,,3.84,83.44,0.944,26177410.0,-3734.4,-2.64,-9.53,-145.47691
25%,,,,2021-02-26 06:00:00,28926.0,0.0,18.714,924.0,0.0,0.143,1104.004,0.0,0.714,35.266,0.0,0.005,0.85,11.0,0.42,74.5,2.846,,,,,7724118.25,37172.0,297.98575,1.434,39330.5,1.5175,0.0003,77.5,,9097078.0,4092509.0,1301304.5,2610384.75,39453.5,8501.0,34.75,15.63,4.975,9.97,325.0,15140.5,0.058,23.67,3.202,37.9,15.504,10.129,44648.71,0.5,107.791,5.07,13.0,16.5,,3.84,83.44,0.944,26177410.0,-758.9999,-0.37,0.25,-29.281166
50%,,,,2022-04-20 12:00:00,5229331.0,0.0,930.571,7279.0,0.0,7.286,199585.27,0.0,35.517,277.814,0.0,0.278,1.05,47.0,1.795,1275.0,48.706,,,,,16818648.0,61626.0,648.8399999999999,2.377,63702.0,2.458,0.0017,586.1,,39062854.0,14179661.0,14753069.0,12820980.5,87870.5,34228.0,149.22,54.17,56.36,48.974999999999994,1308.0,45064.0,0.172,52.615,3.202,37.9,15.504,10.129,44648.71,0.5,107.791,5.07,13.0,16.5,,3.84,83.44,0.944,26177410.0,1812.8002,1.77,5.3,69.25056
75%,,,,2023-06-12 18:00:00,11478021.0,0.0,4415.571,22528.0,0.0,18.714,438075.9,0.0,168.527,859.815,0.0,0.714,1.29,102.5,3.9154999999999998,2272.0,86.792,,,,,47153212.5,122014.0,1819.106,4.707,119568.5,4.6125,0.0129,3035.5,,57214610.5,20397079.0,20409071.5,16021446.0,169197.0,88127.5,218.565,77.92,77.96000000000001,61.2025,3367.0,78251.0,0.299,69.095,3.202,37.9,15.504,10.129,44648.71,0.5,107.791,5.07,13.0,16.5,,3.84,83.44,0.944,26177410.0,24526.799,4.88,11.12,927.67096
max,,,,2024-08-04 00:00:00,11861161.0,588813.0,84116.143,25236.0,1161.0,165.857,452699.0,22472.932,3210.419,963.17,44.311,6.33,2.47,424.0,16.197,5571.0,212.817,,,,,73370295.0,389580.0,2830.525,15.029,294758.0,11.371,0.5793,15559.8,,69686752.0,22231734.0,21647523.0,19790466.0,351226.0,295848.0,266.21,84.93,82.7,75.6,11302.0,155677.0,0.595,78.24,3.202,37.9,15.504,10.129,44648.71,0.5,107.791,5.07,13.0,16.5,,3.84,83.44,0.944,26177410.0,36645.2,5.69,30.21,1386.0222
