,iso_code,continent,location,date,total_cases,new_cases,new_cases_smoothed,total_deaths,new_deaths,new_deaths_smoothed,total_cases_per_million,new_cases_per_million,new_cases_smoothed_per_million,total_deaths_per_million,new_deaths_per_million,new_deaths_smoothed_per_million,reproduction_rate,icu_patients,icu_patients_per_million,hosp_patients,hosp_patients_per_million,weekly_icu_admissions,weekly_icu_admissions_per_million,weekly_hosp_admissions,weekly_hosp_admissions_per_million,total_tests,new_tests,total_tests_per_thousand,new_tests_per_thousand,new_tests_smoothed,new_tests_smoothed_per_thousand,positive_rate,tests_per_case,tests_units,total_vaccinations,people_vaccinated,people_fully_vaccinated,total_boosters,new_vaccinations,new_vaccinations_smoothed,total_vaccinations_per_hundred,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred,total_boosters_per_hundred,new_vaccinations_smoothed_per_million,new_people_vaccinated_smoothed,new_people_vaccinated_smoothed_per_hundred,stringency_index,population_density,median_age,aged_65_older,aged_70_older,gdp_per_capita,extreme_poverty,cardiovasc_death_rate,diabetes_prevalence,female_smokers,male_smokers,handwashing_facilities,hospital_beds_per_thousand,life_expectancy,human_development_index,population,excess_mortality_cumulative_absolute,excess_mortality_cumulative,excess_mortality,excess_mortality_cumulative_per_million
count,1674,1674,1674,1674,1674.0,1674.0,1669.0,1674.0,1674.0,1669.0,1674.0,1674.0,1669.0,1674.0,1674.0,1669.0,1012.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,233.0,150.0,233.0,150.0,414.0,414.0,413.0,405.0,421,420.0,407.0,408.0,205.0,372.0,588.0,420.0,407.0,408.0,205.0,588.0,588.0,588.0,1092.0,1674.0,1674.0,1674.0,1674.0,1674.0,0.0,1674.0,1674.0,1674.0,1674.0,1674.0,1674.0,1674.0,1674.0,1674.0,48.0,48.0,48.0,48.0
unique,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
top,AZE,Asia,Azerbaijan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,tests performed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
freq,1674,1674,1674,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,421,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mean,,,,2022-04-20 12:00:00,548697.5292712067,499.2574671445639,500.7208154583583,6878.2568697729985,6.184587813620071,6.203124026363094,53295.88813560335,48.49369414575867,48.63581905332534,668.096348864994,0.6007168458781362,0.6025620131815459,0.9759881422924902,,,,,,,,,4821270.412017168,11442.9,467.49481115879826,1.10958,8935.082125603865,0.8663743961352658,0.09267723970944312,92.99086419753087,,8372882.847619047,3852063.479115479,3356640.5220588236,2360386.4,28814.698924731183,23576.270408163266,80.8342142857143,37.18923832923832,32.40578431372548,22.787756097560976,2276.139455782313,9153.522108843537,0.08833843537414966,60.21130036630037,119.30899999999998,32.39999999999999,6.017999999999999,3.8710000000000004,15847.418999999998,,559.812,7.11,0.2999999999999999,42.5,83.241,4.700000000000002,73.0,0.7560000000000002,10358078.0,27308.97776541667,20.78708333333333,17.649166666666666,2634.9139113749998
min,,,,2020-01-05 00:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,,,,,,,,,3206917.0,3512.0,310.959,0.341,1647.0,0.16,0.0,2.6,,0.0,0.0,297878.0,485126.0,1.0,1174.0,0.0,0.0,2.88,4.68,113.0,179.0,0.002,0.0,119.309,32.4,6.018,3.871,15847.419,,559.812,7.11,0.3,42.5,83.241,4.7,73.0,0.756,10358078.0,-438.20007,-5.03,-16.07,-42.60594
25%,,,,2021-02-26 06:00:00,232829.0,0.0,9.429,3193.0,0.0,0.143,22615.06,0.0,0.916,310.141,0.0,0.014,0.71,,,,,,,,,3728712.0,8045.75,361.555,0.78025,5482.0,0.53125,0.0105,6.5,,3839974.5,2306335.5,1706025.25,1500264.0,3251.75,4627.0,37.07,22.270000000000003,16.4725,14.48,446.75,475.5,0.005,55.28,119.309,32.4,6.018,3.871,15847.419,,559.812,7.11,0.3,42.5,83.241,4.7,73.0,0.756,10358078.0,19852.273,17.5175,0.06499999999999995,1926.1658499999999
50%,,,,2022-04-20 12:00:00,792349.0,0.0,54.286,9705.0,0.0,1.571,76962.16,0.0,5.273,942.663,0.0,0.153,0.96,,,,,,,,,4702934.0,9838.0,456.02,0.954,9092.0,0.8815,0.0663,14.2,,9592855.5,5007657.0,4446466.5,2894880.0,28344.0,22821.0,92.61,48.35,42.925,27.95,2203.0,3250.0,0.031,61.93,119.309,32.4,6.018,3.871,15847.419,,559.812,7.11,0.3,42.5,83.241,4.7,73.0,0.756,10358078.0,37041.2445,22.765,8.225,3583.8383999999996
75%,,,,2023-06-12 18:00:00,831878.0,0.0,473.571,10280.0,0.0,7.0,80801.67,0.0,45.999,998.513,0.0,0.68,1.2325,,,,,,,,,5817708.0,13039.5,564.114,1.264,11630.5,1.128,0.1531,85.8,,13176586.75,5312794.0,4801146.0,3263579.0,41928.75,34439.0,127.21,51.295,46.3525,31.51,3324.75,13383.0,0.12925,73.035,119.309,32.4,6.018,3.871,15847.419,,559.812,7.11,0.3,42.5,83.241,4.7,73.0,0.756,10358078.0,39403.541249999995,29.505000000000003,28.2075,3792.58165
max,,,,2024-08-04 00:00:00,835757.0,47148.0,6735.429,10353.0,293.0,41.857,81178.445,4579.562,654.223,1005.604,28.46,4.066,1.84,,,,,,,,,6947820.0,42422.0,673.696,4.113,20304.0,1.969,0.389,3586.9,,13857111.0,5373253.0,4862494.0,3362453.0,116709.0,85991.0,133.78,51.88,46.94,32.46,8302.0,51223.0,0.495,96.3,119.309,32.4,6.018,3.871,15847.419,,559.812,7.11,0.3,42.5,83.241,4.7,73.0,0.756,10358078.0,40388.99,32.42,192.4,3878.838
