,iso_code,continent,location,date,total_cases,new_cases,new_cases_smoothed,total_deaths,new_deaths,new_deaths_smoothed,total_cases_per_million,new_cases_per_million,new_cases_smoothed_per_million,total_deaths_per_million,new_deaths_per_million,new_deaths_smoothed_per_million,reproduction_rate,icu_patients,icu_patients_per_million,hosp_patients,hosp_patients_per_million,weekly_icu_admissions,weekly_icu_admissions_per_million,weekly_hosp_admissions,weekly_hosp_admissions_per_million,total_tests,new_tests,total_tests_per_thousand,new_tests_per_thousand,new_tests_smoothed,new_tests_smoothed_per_thousand,positive_rate,tests_per_case,tests_units,total_vaccinations,people_vaccinated,people_fully_vaccinated,total_boosters,new_vaccinations,new_vaccinations_smoothed,total_vaccinations_per_hundred,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred,total_boosters_per_hundred,new_vaccinations_smoothed_per_million,new_people_vaccinated_smoothed,new_people_vaccinated_smoothed_per_hundred,stringency_index,population_density,median_age,aged_65_older,aged_70_older,gdp_per_capita,extreme_poverty,cardiovasc_death_rate,diabetes_prevalence,female_smokers,male_smokers,handwashing_facilities,hospital_beds_per_thousand,life_expectancy,human_development_index,population,excess_mortality_cumulative_absolute,excess_mortality_cumulative,excess_mortality,excess_mortality_cumulative_per_million
count,1674,1674,1674,1674,1674.0,1674.0,1669.0,1674.0,1674.0,1669.0,1674.0,1674.0,1669.0,1674.0,1674.0,1669.0,954.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,131.0,92.0,131.0,92.0,267.0,267.0,266.0,263.0,274,68.0,62.0,57.0,27.0,3.0,790.0,68.0,62.0,57.0,27.0,790.0,790.0,790.0,1092.0,1674.0,1674.0,1674.0,1674.0,1674.0,0.0,1674.0,1674.0,1674.0,1674.0,0.0,1674.0,1674.0,1674.0,1674.0,24.0,24.0,24.0,24.0
unique,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
top,BHS,North America,Bahamas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,tests performed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
freq,1674,1674,1674,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,274,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mean,,,,2022-04-20 12:00:00,24509.402628434887,23.37335722819594,23.443406830437386,554.5274790919952,0.507168458781362,0.5087183942480527,61652.04981541219,58.79438948626046,58.97049550629119,1394.8833864994026,1.2757467144563919,1.2795530257639305,0.9666561844863734,,,,,,,,,192901.84732824427,475.39130434782606,472.90762595419847,1.1654347826086957,361.8501872659176,0.8870749063670411,0.12577894736842105,19.315589353612168,,214331.17647058822,110507.19354838709,111010.73684210527,27841.59259259259,3086.0,464.2886075949367,52.27676470588235,26.953709677419358,27.076315789473686,6.7914814814814815,1132.4911392405063,221.88481012658227,0.054162025316455704,52.48655677655677,39.497,34.300000000000004,8.995999999999999,5.200000000000002,27717.847000000005,,235.95400000000004,13.169999999999996,3.100000000000001,20.400000000000002,,2.899999999999999,73.91999999999999,0.814,409989.0,293.32501275,6.354166666666667,19.0675,719.3227757083333
min,,,,2020-01-05 00:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14,,,,,,,,,142910.0,61.0,350.35,0.15,88.0,0.216,0.0,2.1,,0.0,0.0,6016.0,6954.0,110.0,9.0,0.0,0.0,1.47,1.7,22.0,0.0,0.0,0.0,39.497,34.3,8.996,5.2,27717.847,,235.954,13.17,3.1,20.4,,2.9,73.92,0.814,409989.0,-73.6,-5.36,-12.05,-181.06761
25%,,,,2021-02-26 06:00:00,8453.0,0.0,0.286,179.0,0.0,0.0,21263.055,0.0,0.719,450.265,0.0,0.0,0.83,,,,,,,,,169191.5,266.25,414.78049999999996,0.653,202.5,0.4965,0.033874999999999995,5.3,,99314.25,59874.0,51150.0,22688.5,1243.5,41.0,24.222499999999997,14.605,12.48,5.535,100.0,4.0,0.001,23.15,39.497,34.3,8.996,5.2,27717.847,,235.954,13.17,3.1,20.4,,2.9,73.92,0.814,409989.0,-1.9500000000000002,0.5025,-2.8,-4.797306750000001
50%,,,,2022-04-20 12:00:00,33391.0,0.0,6.0,789.0,0.0,0.0,83993.22,0.0,15.093,1984.686,0.0,0.0,1.01,,,,,,,,,188388.0,384.0,461.842,0.9415,345.0,0.846,0.07955000000000001,12.5,,249654.0,137983.0,143672.0,31669.0,2377.0,188.5,60.894999999999996,33.655,35.04,7.72,460.0,39.0,0.01,57.08,39.497,34.3,8.996,5.2,27717.847,,235.954,13.17,3.1,20.4,,2.9,73.92,0.814,409989.0,230.3,6.295,3.56,565.561175
75%,,,,2023-06-12 18:00:00,38084.0,0.0,27.429,844.0,0.0,0.429,95798.2,0.0,68.995,2123.036,0.0,1.078,1.14,,,,,,,,,218247.0,597.0,535.0425,1.4635,416.0,1.02,0.186975,28.25,,334548.5,165279.0,157964.0,34415.0,4574.0,689.0,81.5975,40.315000000000005,38.53,8.395,1680.25,286.25,0.06975,68.98,39.497,34.3,8.996,5.2,27717.847,,235.954,13.17,3.1,20.4,,2.9,73.92,0.814,409989.0,286.45000000000005,10.0775,36.8975,703.9925225
max,,,,2024-08-04 00:00:00,39127.0,3132.0,447.429,849.0,70.0,10.0,98421.81,7878.373,1125.482,2135.612,176.081,25.154,1.69,,,,,,,,,241200.0,1774.0,591.313,4.349,1296.0,3.177,0.4876,86.5,,366359.0,174810.0,166972.0,36965.0,6771.0,3473.0,89.36,42.64,40.73,9.02,8471.0,2992.0,0.73,96.3,39.497,34.3,8.996,5.2,27717.847,,235.954,13.17,3.1,20.4,,2.9,73.92,0.814,409989.0,1073.0001,20.15,114.29,2630.418
