,iso_code,continent,location,date,total_cases,new_cases,new_cases_smoothed,total_deaths,new_deaths,new_deaths_smoothed,total_cases_per_million,new_cases_per_million,new_cases_smoothed_per_million,total_deaths_per_million,new_deaths_per_million,new_deaths_smoothed_per_million,reproduction_rate,icu_patients,icu_patients_per_million,hosp_patients,hosp_patients_per_million,weekly_icu_admissions,weekly_icu_admissions_per_million,weekly_hosp_admissions,weekly_hosp_admissions_per_million,total_tests,new_tests,total_tests_per_thousand,new_tests_per_thousand,new_tests_smoothed,new_tests_smoothed_per_thousand,positive_rate,tests_per_case,tests_units,total_vaccinations,people_vaccinated,people_fully_vaccinated,total_boosters,new_vaccinations,new_vaccinations_smoothed,total_vaccinations_per_hundred,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred,total_boosters_per_hundred,new_vaccinations_smoothed_per_million,new_people_vaccinated_smoothed,new_people_vaccinated_smoothed_per_hundred,stringency_index,population_density,median_age,aged_65_older,aged_70_older,gdp_per_capita,extreme_poverty,cardiovasc_death_rate,diabetes_prevalence,female_smokers,male_smokers,handwashing_facilities,hospital_beds_per_thousand,life_expectancy,human_development_index,population,excess_mortality_cumulative_absolute,excess_mortality_cumulative,excess_mortality,excess_mortality_cumulative_per_million
count,1674,1674,1674,1674,1674.0,1674.0,1669.0,1674.0,1674.0,1669.0,1674.0,1674.0,1669.0,1674.0,1674.0,1669.0,1028.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,618.0,489.0,618.0,489.0,834.0,834.0,834.0,834.0,841,551.0,598.0,530.0,238.0,522.0,728.0,551.0,598.0,530.0,238.0,728.0,728.0,728.0,1092.0,1674.0,1674.0,1674.0,1674.0,1674.0,0.0,1674.0,1674.0,1674.0,1674.0,0.0,1674.0,1674.0,1674.0,1674.0,0.0,0.0,0.0,0.0
unique,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
top,BHR,Asia,Bahrain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,units unclear,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
freq,1674,1674,1674,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,841,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mean,,,,2022-04-20 12:00:00,425420.00418160093,416.1373954599761,417.3840551228281,1104.8811230585425,0.9175627240143369,0.9203553025763931,277425.0929707288,271.37171505376347,272.1847034152187,720.5155734767026,0.5983542413381123,0.6000832834032356,1.0214396887159534,,,,,,,,,3694617.4676375403,12138.087934560328,2524.9134433656955,8.29521472392638,11920.491606714628,8.14650959232614,0.06114484412470024,79.85059952038368,,2582541.230490018,989425.8528428094,1034502.641509434,975773.9831932773,5659.959770114942,4747.965659340659,175.41631578947369,67.20553511705687,70.26745283018867,66.27810924369749,3224.9766483516482,1677.4162087912089,0.11391483516483515,37.9314652014652,1935.9069999999995,32.39999999999999,2.372,1.3870000000000005,43290.70500000001,,151.68900000000002,16.520000000000003,5.799999999999998,37.600000000000016,,2.0,77.28999999999999,0.8520000000000003,1472237.0,,,,
min,,,,2020-01-05 00:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.47,,,,,,,,,5334.0,232.0,3.645,0.159,530.0,0.362,0.0011,3.5,,38965.0,38965.0,199374.0,768426.0,28.0,30.0,2.65,2.65,13.54,52.19,20.0,4.0,0.0,0.0,1935.907,32.4,2.372,1.387,43290.705,,151.689,16.52,5.8,37.6,,2.0,77.29,0.852,1472237.0,,,,
25%,,,,2021-02-26 06:00:00,117234.0,0.0,0.0,420.0,0.0,0.0,76450.69,0.0,0.0,273.891,0.0,0.0,0.86,,,,,,,,,1178336.75,9166.0,805.27925,6.264,7399.25,5.057,0.015125,13.3,,2125318.0,893376.0,1030023.25,983528.5,260.75,287.5,144.36,60.682500000000005,69.9625,66.8075,195.0,42.0,0.003,11.11,1935.907,32.4,2.372,1.387,43290.705,,151.689,16.52,5.8,37.6,,2.0,77.29,0.852,1472237.0,,,,
50%,,,,2022-04-20 12:00:00,562759.0,0.0,100.857,1473.0,0.0,0.0,366986.66,0.0,65.771,960.573,0.0,0.0,0.99,,,,,,,,,2987470.0,11552.0,2041.6465,7.895,11364.0,7.766,0.0414,24.15,,2831475.0,1172766.5,1156821.0,998002.5,3971.0,3459.5,192.32,79.66,78.57499999999999,67.785,2350.0,352.5,0.024,37.405,1935.907,32.4,2.372,1.387,43290.705,,151.689,16.52,5.8,37.6,,2.0,77.29,0.852,1472237.0,,,,
75%,,,,2023-06-12 18:00:00,696614.0,0.0,455.286,1536.0,0.0,0.571,454276.25,0.0,296.901,1001.657,0.0,0.373,1.15,,,,,,,,,5845995.75,15428.0,3995.17225,10.544,15901.75,10.867,0.0754,66.15,,3456290.5,1238107.75,1223722.0,1004452.0,8433.75,7712.0,234.765,84.0975,83.12,68.2275,5238.0,1553.5,0.1055,58.33,1935.907,32.4,2.372,1.387,43290.705,,151.689,16.52,5.8,37.6,,2.0,77.29,0.852,1472237.0,,,,
max,,,,2024-08-04 00:00:00,696614.0,51350.0,7335.714,1536.0,152.0,21.714,454276.25,33486.387,4783.77,1001.657,99.122,14.16,2.06,,,,,,,,,9969082.0,36406.0,6812.903,24.88,30633.0,20.935,0.2895,915.9,,3476633.0,1241174.0,1226796.0,1008663.0,81811.0,22003.0,236.15,84.31,83.33,68.51,14945.0,12516.0,0.85,78.7,1935.907,32.4,2.372,1.387,43290.705,,151.689,16.52,5.8,37.6,,2.0,77.29,0.852,1472237.0,,,,
std,,,,,279691.0519044063,2569.95201129245,892.6723557709071,592.3241151161839,7.119365827681047,2.5564837728330563,182392.2608957637,1675.9183294864376,582.1299355863156,386.2666426402182,4.642684930058652,1.667149985812317,0.2610205221997791,,,,,,,,,2914321.0232326724,5147.8642724989695,1991.6563347903602,3.5180637023858816,5954.348578923578,4.06921060365308,0.06254481421276785,139.7902271859051,,992869.8701046978,366295.37060231215,285529.3813920594,51033.97953055841,6606.97932468711,5229.948674090373,67.43968167213038,24.88023782312542,19.394189454962355,3.466600645971262,3552.368610710189,2805.909493150736,0.19058421988460558,23.925197537908346,4.548832383393362e-13,7.107550599052128e-15,0.0,4.44221912440758e-16,7.27813181342938e-12,,2.8430202396208514e-14,3.553775299526064e-15,1.776887649763032e-15,1.4215101198104257e-14,,0.0,1.4215101198104257e-14,3.331664343305685e-16,0.0,,,,
