,iso_code,continent,location,date,total_cases,new_cases,new_cases_smoothed,total_deaths,new_deaths,new_deaths_smoothed,total_cases_per_million,new_cases_per_million,new_cases_smoothed_per_million,total_deaths_per_million,new_deaths_per_million,new_deaths_smoothed_per_million,reproduction_rate,icu_patients,icu_patients_per_million,hosp_patients,hosp_patients_per_million,weekly_icu_admissions,weekly_icu_admissions_per_million,weekly_hosp_admissions,weekly_hosp_admissions_per_million,total_tests,new_tests,total_tests_per_thousand,new_tests_per_thousand,new_tests_smoothed,new_tests_smoothed_per_thousand,positive_rate,tests_per_case,tests_units,total_vaccinations,people_vaccinated,people_fully_vaccinated,total_boosters,new_vaccinations,new_vaccinations_smoothed,total_vaccinations_per_hundred,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred,total_boosters_per_hundred,new_vaccinations_smoothed_per_million,new_people_vaccinated_smoothed,new_people_vaccinated_smoothed_per_hundred,stringency_index,population_density,median_age,aged_65_older,aged_70_older,gdp_per_capita,extreme_poverty,cardiovasc_death_rate,diabetes_prevalence,female_smokers,male_smokers,handwashing_facilities,hospital_beds_per_thousand,life_expectancy,human_development_index,population,excess_mortality_cumulative_absolute,excess_mortality_cumulative,excess_mortality,excess_mortality_cumulative_per_million
count,1674,1674,1674,1674,1674.0,1674.0,1669.0,1674.0,1674.0,1669.0,1674.0,1674.0,1669.0,1674.0,1674.0,1669.0,1001.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,739.0,739.0,739.0,739.0,804.0,804.0,804.0,804.0,811,555.0,552.0,513.0,349.0,321.0,1252.0,555.0,552.0,513.0,349.0,1252.0,1253.0,1253.0,1092.0,1674.0,1674.0,1674.0,1674.0,1674.0,1674.0,1674.0,1674.0,1674.0,1674.0,1674.0,1674.0,1674.0,1674.0,1674.0,0.0,0.0,0.0,0.0
unique,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
top,BGD,Asia,Bangladesh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,tests performed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
freq,1674,1674,1674,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,811,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mean,,,,2022-04-20 12:00:00,1406426.1493428913,1225.4169653524493,1229.067550629119,21002.873357228196,17.621863799283155,17.6746728579988,8303.138218040622,7.234516726403824,7.256076093469144,123.99496057347669,0.10403823178016726,0.10437926902336728,1.0153846153846153,,,,,,,,,5820977.767253045,18702.17050067659,34.37122056833559,0.11042083897158322,17176.757462686568,0.10141791044776119,0.11564763681592038,20.721144278606968,,214753463.35495496,96185492.84963769,90711109.37231968,53991435.53581662,441370.02803738316,288933.71325878595,125.45066666666668,56.187083333333334,52.98937621832358,31.53977077363897,1687.8051118210863,120917.50518754988,0.07063846767757381,50.156446886446886,1265.036,27.5,5.098,3.262,3523.983999999999,14.800000000000002,298.00300000000004,8.379999999999999,1.0,44.7,34.80799999999999,0.8,72.59000000000002,0.6319999999999999,171186368.0,,,,
min,,,,2020-01-05 00:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.31,,,,,,,,,203.0,203.0,0.001,0.001,717.0,0.004,0.0104,3.1,,0.0,0.0,81323.0,190279.0,2.0,0.0,0.0,0.0,0.05,0.11,0.0,0.0,0.0,0.0,1265.036,27.5,5.098,3.262,3523.984,14.8,298.003,8.38,1.0,44.7,34.808,0.8,72.59,0.632,171186368.0,,,,
25%,,,,2021-02-26 06:00:00,543351.0,0.0,16.714,8349.0,0.0,0.0,3207.789,0.0,0.099,49.29,0.0,0.0,0.73,,,,,,,,,1996383.5,12852.5,11.788,0.076,12516.25,0.074,0.032875,5.574999999999999,,32174031.0,19784208.25,18382350.0,44281988.0,3003.0,845.5,18.795,11.557500000000001,10.74,25.87,5.0,26.0,0.0,13.89,1265.036,27.5,5.098,3.262,3523.984,14.8,298.003,8.38,1.0,44.7,34.808,0.8,72.59,0.632,171186368.0,,,,
50%,,,,2022-04-20 12:00:00,1952326.0,0.0,157.143,29124.0,0.0,0.714,11525.975,0.0,0.928,171.94,0.0,0.004,0.95,,,,,,,,,4883900.0,15990.0,28.838,0.094,15283.5,0.09,0.11099999999999999,9.0,,279009740.0,129782662.5,121218854.0,67485898.0,86889.0,81289.5,162.99,75.815,70.81,39.42,475.0,5859.0,0.003,50.93,1265.036,27.5,5.098,3.262,3523.984,14.8,298.003,8.38,1.0,44.7,34.808,0.8,72.59,0.632,171186368.0,,,,
75%,,,,2023-06-12 18:00:00,2040470.0,0.0,1461.714,29451.0,0.0,20.857,12046.352,0.0,8.63,173.87,0.0,0.123,1.2,,,,,,,,,9924713.5,23229.0,58.602999999999994,0.137,22301.0,0.132,0.17995,30.424999999999997,,361224419.0,151382767.75,141911390.0,68558046.0,529744.0,363625.0,211.015,88.43,82.9,40.05,2124.0,119637.0,0.07,80.09,1265.036,27.5,5.098,3.262,3523.984,14.8,298.003,8.38,1.0,44.7,34.808,0.8,72.59,0.632,171186368.0,,,,
max,,,,2024-08-04 00:00:00,2051348.0,100196.0,14313.714,29499.0,1736.0,248.0,12110.572,591.529,84.504,174.154,10.249,1.464,2.86,,,,,,,,,13820904.0,55284.0,81.608,0.326,48637.0,0.287,0.3209,95.9,,361742554.0,151507162.0,142201684.0,68615250.0,7038358.0,3758404.0,211.32,88.5,83.07,40.08,21955.0,2824092.0,1.65,93.52,1265.036,27.5,5.098,3.262,3523.984,14.8,298.003,8.38,1.0,44.7,34.808,0.8,72.59,0.632,171186368.0,,,,
