,iso_code,continent,location,date,total_cases,new_cases,new_cases_smoothed,total_deaths,new_deaths,new_deaths_smoothed,total_cases_per_million,new_cases_per_million,new_cases_smoothed_per_million,total_deaths_per_million,new_deaths_per_million,new_deaths_smoothed_per_million,reproduction_rate,icu_patients,icu_patients_per_million,hosp_patients,hosp_patients_per_million,weekly_icu_admissions,weekly_icu_admissions_per_million,weekly_hosp_admissions,weekly_hosp_admissions_per_million,total_tests,new_tests,total_tests_per_thousand,new_tests_per_thousand,new_tests_smoothed,new_tests_smoothed_per_thousand,positive_rate,tests_per_case,tests_units,total_vaccinations,people_vaccinated,people_fully_vaccinated,total_boosters,new_vaccinations,new_vaccinations_smoothed,total_vaccinations_per_hundred,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred,total_boosters_per_hundred,new_vaccinations_smoothed_per_million,new_people_vaccinated_smoothed,new_people_vaccinated_smoothed_per_hundred,stringency_index,population_density,median_age,aged_65_older,aged_70_older,gdp_per_capita,extreme_poverty,cardiovasc_death_rate,diabetes_prevalence,female_smokers,male_smokers,handwashing_facilities,hospital_beds_per_thousand,life_expectancy,human_development_index,population,excess_mortality_cumulative_absolute,excess_mortality_cumulative,excess_mortality,excess_mortality_cumulative_per_million
count,1674,1674,1674,1674,1674.0,1674.0,1669.0,1674.0,1674.0,1669.0,1674.0,1674.0,1669.0,1674.0,1674.0,1669.0,905.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,36.0,7.0,36.0,7.0,105.0,105.0,105.0,105.0,112,539.0,531.0,481.0,15.0,481.0,1047.0,539.0,531.0,481.0,15.0,1047.0,1047.0,1047.0,1092.0,1674.0,1674.0,1674.0,1674.0,1674.0,0.0,1674.0,1674.0,1674.0,1674.0,1674.0,1674.0,1674.0,1674.0,1674.0,45.0,45.0,45.0,45.0
unique,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
top,BRB,North America,Barbados,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,tests performed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
freq,1674,1674,1674,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,112,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mean,,,,2022-04-20 12:00:00,56526.771804062126,64.86379928315412,65.02886458957458,320.0,0.35424133811230585,0.35531815458358296,200219.5073823178,229.74950298685783,230.33406590772915,1133.4495531660689,1.2547293906810035,1.2584817255841825,0.8921325966850828,,,,,,,,,632558.4166666666,907.2857142857143,2249.4964999999997,3.2264285714285714,1022.3428571428572,3.6356571428571427,0.2385390476190476,4.611428571428571,,240025.04638218923,128970.88512241055,124168.19126819127,62477.6,609.7151767151768,369.02292263610315,85.22202226345082,45.79201506591337,44.08642411642412,22.180666666666664,1310.2483285577841,158.76408787010507,0.0563629417382999,48.018489010989015,664.463,39.800000000000004,14.952,9.472999999999999,16978.068000000003,,170.04999999999998,13.569999999999995,1.8999999999999997,14.5,88.46900000000002,5.799999999999998,79.19000000000001,0.814,281646.0,69.26444388888886,-0.9946666666666668,5.9655555555555555,245.00633411111122
min,,,,2020-01-05 00:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,,,,,,,,,585575.0,734.0,2082.415,2.61,507.0,1.803,0.1112,2.7,,4490.0,4490.0,16549.0,61506.0,1.0,0.0,1.59,1.59,5.88,21.84,0.0,0.0,0.0,0.0,664.463,39.8,14.952,9.473,16978.068,,170.05,13.57,1.9,14.5,88.469,5.8,79.19,0.814,281646.0,-294.0,-10.34,-40.22,-1045.5043
25%,,,,2021-02-26 06:00:00,2677.0,0.0,0.0,30.0,0.0,0.0,9482.014,0.0,0.0,106.261,0.0,0.0,0.78,,,,,,,,,596802.25,839.0,2122.34075,2.9835000000000003,764.0,2.717,0.1804,3.5,,170066.5,96470.5,95444.0,62170.0,49.0,3.0,60.385000000000005,34.254999999999995,33.89,22.07,11.0,0.0,0.0,37.72,664.463,39.8,14.952,9.473,16978.068,,170.05,13.57,1.9,14.5,88.469,5.8,79.19,0.814,281646.0,-127.399994,-4.9,-6.54,-453.85886
50%,,,,2022-04-20 12:00:00,64177.0,0.0,3.143,381.0,0.0,0.0,227316.84,0.0,11.132,1349.513,0.0,0.0,0.92,,,,,,,,,626125.5,921.0,2226.6195,3.275,960.0,3.414,0.2482,4.0,,292080.0,153586.0,144995.0,62790.0,251.0,30.0,103.7,54.53,51.48,22.29,107.0,10.0,0.004,48.15,664.463,39.8,14.952,9.473,16978.068,,170.05,13.57,1.9,14.5,88.469,5.8,79.19,0.814,281646.0,-35.8,-1.7,6.95,-127.536476
75%,,,,2023-06-12 18:00:00,107794.0,0.0,58.571,593.0,0.0,0.429,381809.56,0.0,207.462,2100.424,0.0,1.518,1.16,,,,,,,,,666039.75,1001.0,2368.56275,3.5599999999999996,1281.0,4.555,0.2894,5.5,,313858.5,161707.0,152791.0,62834.0,902.0,371.5,111.435,57.415,54.25,22.31,1319.0,96.0,0.034,66.67,664.463,39.8,14.952,9.473,16978.068,,170.05,13.57,1.9,14.5,88.469,5.8,79.19,0.814,281646.0,295.4,3.63,17.41,1048.8344
max,,,,2024-08-04 00:00:00,108582.0,4273.0,610.429,593.0,45.0,6.429,384600.7,15135.093,2162.156,2100.424,159.391,22.77,1.52,,,,,,,,,697476.0,1016.0,2480.356,3.613,1534.0,5.455,0.3745,9.0,,384049.0,163853.0,155047.0,62848.0,16939.0,5597.0,136.36,58.18,55.05,22.31,19872.0,3153.0,1.119,88.89,664.463,39.8,14.952,9.473,16978.068,,170.05,13.57,1.9,14.5,88.469,5.8,79.19,0.814,281646.0,596.69995,5.48,79.88,2115.9722
std,,,,,48670.778660095966,371.42333857912746,127.03805612764816,259.0222684729125,2.276328311927269,0.7963407709875967,172393.34615737817,1315.5925030888284,449.9724442911003,917.4647586008457,8.062818716179748,2.820582425004202,0.35460932025158276,,,,,,,,,37891.33095681084,114.16758776131734,134.74873542952884,0.4060758784360616,298.247471733801,1.060640769939164,0.06842905435451728,1.5430560514841896,,95289.85761536524,40716.15270830514,36783.02732676681,423.0985700755794,1028.8884272796643,749.2493831144457,33.83305885050389,14.456442002298155,13.059999796570334,0.15026009196754497,2660.228487835215,396.39010027531623,0.1407638411295336,21.48096352913708,0.0,7.107550599052128e-15,0.0,1.776887649763032e-15,3.63906590671469e-12,,2.8430202396208514e-14,5.330662949289096e-15,2.22110956220379e-16,0.0,2.8430202396208514e-14,1.776887649763032e-15,1.4215101198104257e-14,0.0,0.0,263.11120438783433,4.551738229412024,21.973015533061492,934.0431092063958
