,iso_code,continent,location,date,total_cases,new_cases,new_cases_smoothed,total_deaths,new_deaths,new_deaths_smoothed,total_cases_per_million,new_cases_per_million,new_cases_smoothed_per_million,total_deaths_per_million,new_deaths_per_million,new_deaths_smoothed_per_million,reproduction_rate,icu_patients,icu_patients_per_million,hosp_patients,hosp_patients_per_million,weekly_icu_admissions,weekly_icu_admissions_per_million,weekly_hosp_admissions,weekly_hosp_admissions_per_million,total_tests,new_tests,total_tests_per_thousand,new_tests_per_thousand,new_tests_smoothed,new_tests_smoothed_per_thousand,positive_rate,tests_per_case,tests_units,total_vaccinations,people_vaccinated,people_fully_vaccinated,total_boosters,new_vaccinations,new_vaccinations_smoothed,total_vaccinations_per_hundred,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred,total_boosters_per_hundred,new_vaccinations_smoothed_per_million,new_people_vaccinated_smoothed,new_people_vaccinated_smoothed_per_hundred,stringency_index,population_density,median_age,aged_65_older,aged_70_older,gdp_per_capita,extreme_poverty,cardiovasc_death_rate,diabetes_prevalence,female_smokers,male_smokers,handwashing_facilities,hospital_beds_per_thousand,life_expectancy,human_development_index,population,excess_mortality_cumulative_absolute,excess_mortality_cumulative,excess_mortality,excess_mortality_cumulative_per_million
count,1674,1674,1674,1674,1674.0,1674.0,1669.0,1674.0,1674.0,1669.0,1674.0,1674.0,1669.0,1674.0,1674.0,1669.0,1008.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,279.0,96.0,279.0,96.0,792.0,792.0,792.0,792.0,799,69.0,56.0,54.0,31.0,0.0,979.0,69.0,56.0,54.0,31.0,979.0,979.0,979.0,1092.0,1674.0,1674.0,1674.0,1674.0,1674.0,0.0,1674.0,1674.0,1674.0,1674.0,0.0,1674.0,1674.0,1674.0,1674.0,15.0,15.0,15.0,15.0
unique,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
top,BLR,Europe,Belarus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,tests performed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
freq,1674,1674,1674,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,799,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mean,,,,2022-04-20 12:00:00,657607.9426523298,593.8094384707288,595.5883774715398,4770.23596176822,4.252090800477897,4.264820251647693,71687.63288052566,64.73278793309439,64.92672798082685,520.0166206690561,0.46352568697729996,0.4649191132414619,0.7931349206349206,,,,,,,,,5623762.896057348,15088.197916666666,587.1438781362007,1.57528125,16656.939393939392,1.7390719696969696,0.06875189393939395,28.510606060606058,,8965896.88405797,3438020.8571428573,3043890.092592593,2626308.6774193547,,22990.022471910113,94.03188405797103,36.05642857142857,31.923518518518524,27.543548387096774,2411.128702757916,6663.684371807967,0.06986925434116445,23.444322344322348,46.85799999999999,40.300000000000004,14.799000000000003,9.787999999999998,17167.967,,443.129,5.18,10.5,46.100000000000016,,11.0,74.78999999999999,0.8230000000000002,9534956.0,10963.440003333333,8.429333333333332,20.761333333333337,1141.6679493333334
min,,,,2020-01-05 00:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.01,,,,,,,,,5000.0,1000.0,0.522,0.104,611.0,0.064,0.0007,3.1,,0.0,0.0,10000.0,114146.0,,403.0,0.0,0.0,0.1,1.2,42.0,0.0,0.0,0.0,46.858,40.3,14.799,9.788,17167.967,,443.129,5.18,10.5,46.1,,11.0,74.79,0.823,9534956.0,-1265.1,-6.8,-6.8,-131.31964
25%,,,,2021-02-26 06:00:00,276990.0,0.0,0.0,1903.0,0.0,0.0,30195.436,0.0,0.0,207.451,0.0,0.0,0.6475,,,,,,,,,1225194.5,7902.75,127.91499999999999,0.82525,12413.5,1.2959999999999998,0.04555,12.4,,2963378.0,1434283.75,1209310.75,683557.0,,8986.0,31.08,15.0375,12.685,7.17,942.0,3.0,0.0,11.11,46.858,40.3,14.799,9.788,17167.967,,443.129,5.18,10.5,46.1,,11.0,74.79,0.823,9534956.0,134.15002500000003,0.10000000000000009,3.6550000000000002,13.92501
50%,,,,2022-04-20 12:00:00,974046.0,0.0,0.0,6899.0,0.0,0.0,106183.41,0.0,0.0,752.079,0.0,0.0,0.95,,,,,,,,,5563117.0,11698.5,580.812,1.2215,15906.0,1.6604999999999999,0.06720000000000001,14.9,,8914267.0,3337426.0,2636333.5,2146156.0,,24602.0,93.49,35.004999999999995,27.65,22.51,2580.0,575.0,0.006,23.15,46.858,40.3,14.799,9.788,17167.967,,443.129,5.18,10.5,46.1,,11.0,74.79,0.823,9534956.0,6878.0,8.47,15.71,713.9487
75%,,,,2023-06-12 18:00:00,994037.0,0.0,1038.857,7118.0,0.0,9.0,108362.68,0.0,113.249,775.953,0.0,0.981,1.07,,,,,,,,,9810838.0,20340.75,1024.2915,2.1235,20963.25,2.18825,0.080825,22.0,,13394906.0,5820328.25,5331508.5,5104928.0,,28821.0,140.48,61.045,55.915000000000006,53.540000000000006,3022.5,10445.0,0.1095,37.04,46.858,40.3,14.799,9.788,17167.967,,443.129,5.18,10.5,46.1,,11.0,74.79,0.823,9534956.0,20217.05,17.39,32.254999999999995,2098.566
max,,,,2024-08-04 00:00:00,994037.0,53969.0,7709.857,7118.0,140.0,20.0,108362.68,5883.308,840.473,775.953,15.262,2.18,2.7,,,,,,,,,13220483.0,50465.0,1380.273,5.269,37839.0,3.951,0.3182,1424.2,,22511000.0,6536392.0,6414996.0,5720777.0,,77113.0,236.09,68.55,67.28,60.0,8087.0,41685.0,0.437,43.52,46.858,40.3,14.799,9.788,17167.967,,443.129,5.18,10.5,46.1,,11.0,74.79,0.823,9534956.0,31222.4,21.84,71.42,3259.745
std,,,,,392586.20935299003,3042.5358363915393,1010.9460679924864,2786.904110066577,17.694485308424902,5.408730336240212,42796.891675582025,331.67513547564886,110.205997787761,303.8081753811357,1.9289010032482263,0.5896238223195321,0.5006905793571462,,,,,,,,,4497012.770111651,9682.819712872673,469.5065599410697,1.0109370192588134,7667.39466257081,0.8004970255163917,0.045690887106184006,69.20783272052687,,6664997.446054399,2347150.50356593,2229116.470174592,2180749.5249689175,,15731.349264006605,69.90025469690538,24.61668254944723,23.378911248388537,22.870969888833184,1649.8645206149197,9419.467884789874,0.09882890580313565,14.49829734301594,7.107550599052128e-15,7.107550599052128e-15,3.553775299526064e-15,1.776887649763032e-15,0.0,,0.0,0.0,0.0,1.4215101198104257e-14,,0.0,1.4215101198104257e-14,2.22110956220379e-16,0.0,12185.546006625713,9.956227388399876,23.31924798673119,1271.08261903833
