,iso_code,continent,location,date,total_cases,new_cases,new_cases_smoothed,total_deaths,new_deaths,new_deaths_smoothed,total_cases_per_million,new_cases_per_million,new_cases_smoothed_per_million,total_deaths_per_million,new_deaths_per_million,new_deaths_smoothed_per_million,reproduction_rate,icu_patients,icu_patients_per_million,hosp_patients,hosp_patients_per_million,weekly_icu_admissions,weekly_icu_admissions_per_million,weekly_hosp_admissions,weekly_hosp_admissions_per_million,total_tests,new_tests,total_tests_per_thousand,new_tests_per_thousand,new_tests_smoothed,new_tests_smoothed_per_thousand,positive_rate,tests_per_case,tests_units,total_vaccinations,people_vaccinated,people_fully_vaccinated,total_boosters,new_vaccinations,new_vaccinations_smoothed,total_vaccinations_per_hundred,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred,total_boosters_per_hundred,new_vaccinations_smoothed_per_million,new_people_vaccinated_smoothed,new_people_vaccinated_smoothed_per_hundred,stringency_index,population_density,median_age,aged_65_older,aged_70_older,gdp_per_capita,extreme_poverty,cardiovasc_death_rate,diabetes_prevalence,female_smokers,male_smokers,handwashing_facilities,hospital_beds_per_thousand,life_expectancy,human_development_index,population,excess_mortality_cumulative_absolute,excess_mortality_cumulative,excess_mortality,excess_mortality_cumulative_per_million
count,1674,1674,1674,1674,1674.0,1673.0,1668.0,1674.0,1674.0,1669.0,1674.0,1673.0,1668.0,1674.0,1674.0,1669.0,879.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,56.0,3.0,56.0,3.0,380.0,380.0,380.0,379.0,387,166.0,166.0,125.0,51.0,52.0,782.0,166.0,166.0,125.0,51.0,782.0,782.0,782.0,1092.0,1674.0,1674.0,1674.0,1674.0,1674.0,0.0,1674.0,1674.0,0.0,0.0,1674.0,1674.0,1674.0,1674.0,1674.0,36.0,36.0,36.0,36.0
unique,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
top,BLZ,North America,Belize,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,tests performed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
freq,1674,1674,1674,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,387,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mean,,,,2022-04-20 12:00:00,42103.410991636796,42.68738792588165,42.815374100719424,472.39665471923536,0.4109916367980884,0.41225763930497306,104542.1523930705,105.99216198445905,106.30989808153475,1172.9539755077658,1.0204922341696536,1.023556021569802,0.9534470989761091,,,,,,,,,296181.9464285714,974.6666666666666,740.3975,2.4363333333333332,1164.9736842105262,2.912163157894737,0.08077105263157897,32.211609498680744,,259671.4578313253,148323.4939759036,134703.408,48356.294117647056,2307.269230769231,652.3503836317135,64.0710843373494,36.59753012048193,33.23712,11.931764705882353,1609.601023017903,330.0959079283887,0.08138874680306904,48.19218864468865,16.425999999999995,25.0,3.8530000000000006,2.2790000000000004,7824.361999999999,,176.95699999999997,17.110000000000003,,,90.08299999999998,1.3000000000000005,74.62,0.7159999999999999,405285.0,298.6222221944445,6.056388888888888,11.825277777777778,739.0929101416666
min,,,,2020-01-05 00:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05,,,,,,,,,123837.0,642.0,309.569,1.605,524.0,1.31,0.0,3.2,,0.0,0.0,9504.0,34645.0,144.0,0.0,0.0,0.0,2.35,8.55,0.0,0.0,0.0,0.0,16.426,25.0,3.853,2.279,7824.362,,176.957,17.11,,,90.083,1.3,74.62,0.716,405285.0,-71.8,-5.51,-17.63,-181.80392
25%,,,,2021-02-26 06:00:00,12227.0,0.0,0.143,314.0,0.0,0.0,30359.46,0.0,0.355,779.657,0.0,0.0,0.76,,,,,,,,,162888.5,786.5,407.18975,1.966,716.75,1.7914999999999999,0.026925,8.6,,70890.0,60409.75,51220.0,46808.0,1081.5,59.25,17.4925,14.9025,12.64,11.55,146.5,17.0,0.004,13.89,16.426,25.0,3.853,2.279,7824.362,,176.957,17.11,,,90.083,1.3,74.62,0.716,405285.0,4.65,1.4525000000000001,-2.5225,11.774209275
50%,,,,2022-04-20 12:00:00,57331.0,0.0,5.857,672.0,0.0,0.0,142352.03,0.0,14.543,1668.566,0.0,0.0,0.99,,,,,,,,,255715.5,931.0,639.2394999999999,2.327,1078.0,2.6950000000000003,0.0619,16.1,,215657.0,151682.5,187697.0,50349.0,1935.0,324.0,53.21,37.425,46.31,12.42,799.5,61.0,0.015,61.18,16.426,25.0,3.853,2.279,7824.362,,176.957,17.11,,,90.083,1.3,74.62,0.716,405285.0,154.79999,6.42,3.135,386.964175
75%,,,,2023-06-12 18:00:00,70838.0,0.0,39.857,688.0,0.0,0.429,175889.72,0.0,98.965,1708.294,0.0,1.064,1.23,,,,,,,,,426662.5,1141.0,1066.57375,2.852,1430.5,3.57625,0.1158,36.8,,471448.0,236859.25,216626.0,51024.0,2789.25,879.5,116.3275,58.445,53.45,12.59,2169.75,645.5,0.159,72.22,16.426,25.0,3.853,2.279,7824.362,,176.957,17.11,,,90.083,1.3,74.62,0.716,405285.0,642.4,12.6175,13.745,1585.0575
max,,,,2024-08-04 00:00:00,71414.0,5141.0,734.429,688.0,34.0,4.857,177319.92,12765.027,1823.575,1708.294,84.422,12.06,1.65,,,,,,,,,572900.0,1351.0,1432.139,3.377,2993.0,7.482,0.3094,301.6,,510717.0,258473.0,221402.0,53198.0,10917.0,4569.0,126.01,63.78,54.63,13.13,11274.0,2076.0,0.512,85.19,16.426,25.0,3.853,2.279,7824.362,,176.957,17.11,,,90.083,1.3,74.62,0.716,405285.0,729.2,14.4,82.98,1799.2278
