,iso_code,continent,location,date,total_cases,new_cases,new_cases_smoothed,total_deaths,new_deaths,new_deaths_smoothed,total_cases_per_million,new_cases_per_million,new_cases_smoothed_per_million,total_deaths_per_million,new_deaths_per_million,new_deaths_smoothed_per_million,reproduction_rate,icu_patients,icu_patients_per_million,hosp_patients,hosp_patients_per_million,weekly_icu_admissions,weekly_icu_admissions_per_million,weekly_hosp_admissions,weekly_hosp_admissions_per_million,total_tests,new_tests,total_tests_per_thousand,new_tests_per_thousand,new_tests_smoothed,new_tests_smoothed_per_thousand,positive_rate,tests_per_case,tests_units,total_vaccinations,people_vaccinated,people_fully_vaccinated,total_boosters,new_vaccinations,new_vaccinations_smoothed,total_vaccinations_per_hundred,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred,total_boosters_per_hundred,new_vaccinations_smoothed_per_million,new_people_vaccinated_smoothed,new_people_vaccinated_smoothed_per_hundred,stringency_index,population_density,median_age,aged_65_older,aged_70_older,gdp_per_capita,extreme_poverty,cardiovasc_death_rate,diabetes_prevalence,female_smokers,male_smokers,handwashing_facilities,hospital_beds_per_thousand,life_expectancy,human_development_index,population,excess_mortality_cumulative_absolute,excess_mortality_cumulative,excess_mortality,excess_mortality_cumulative_per_million
count,1674,1674,1674,1674,1674.0,1674.0,1669.0,1674.0,1674.0,1669.0,1674.0,1674.0,1669.0,1674.0,1674.0,1669.0,970.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1,42.0,40.0,32.0,0.0,0.0,585.0,42.0,40.0,32.0,0.0,585.0,585.0,585.0,1092.0,1674.0,1674.0,1674.0,1674.0,1674.0,1674.0,1674.0,1674.0,1674.0,1674.0,1674.0,1674.0,1674.0,1674.0,1674.0,0.0,0.0,0.0,0.0
unique,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
top,BEN,Africa,Benin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,tests performed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
freq,1674,1674,1674,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mean,,,,2022-04-20 12:00:00,18623.13679808841,16.747909199522102,16.79810425404434,120.694743130227,0.09737156511350059,0.09768544038346313,1353.4741314217442,1.217189366786141,1.2208352306770522,8.771532258064518,0.007075866188769414,0.007075494307968844,0.4830721649484537,,,,,,,,,604310.0,,46.496,,,,,,,1803755.5714285714,1624945.15,1394262.90625,,,7152.418803418804,13.507619047619047,12.16875,10.441875,,535.6547008547009,6243.210256410256,0.04681709401709402,32.29229853479854,99.10999999999999,18.800000000000008,3.244,1.9419999999999997,2064.2360000000003,49.600000000000016,235.848,0.9900000000000001,0.5999999999999998,12.3,11.034999999999998,0.5,61.76999999999999,0.5449999999999999,13352864.0,,,,
min,,,,2020-01-05 00:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02,,,,,,,,,604310.0,,46.496,,,,,,,10683.0,10683.0,418.0,,,0.0,0.08,0.08,0.0,,0.0,0.0,0.0,0.0,99.11,18.8,3.244,1.942,2064.236,49.6,235.848,0.99,0.6,12.3,11.035,0.5,61.77,0.545,13352864.0,,,,
25%,,,,2021-02-26 06:00:00,5143.0,0.0,0.0,65.0,0.0,0.0,373.778,0.0,0.0,4.724,0.0,0.0,0.0625,,,,,,,,,604310.0,,46.496,,,,,,,174081.5,152691.5,227874.5,,,250.0,1.3,1.14,1.7075,,19.0,301.0,0.002,19.44,99.11,18.8,3.244,1.942,2064.236,49.6,235.848,0.99,0.6,12.3,11.035,0.5,61.77,0.545,13352864.0,,,,
50%,,,,2022-04-20 12:00:00,26605.0,0.0,1.0,163.0,0.0,0.0,1933.572,0.0,0.073,11.846,0.0,0.0,0.44,,,,,,,,,604310.0,,46.496,,,,,,,1700972.0,1630560.0,1370353.0,,,2213.0,12.735,12.21,10.265,,166.0,1390.0,0.01,38.89,99.11,18.8,3.244,1.942,2064.236,49.6,235.848,0.99,0.6,12.3,11.035,0.5,61.77,0.545,13352864.0,,,,
75%,,,,2023-06-12 18:00:00,28014.0,0.0,10.143,163.0,0.0,0.0,2035.974,0.0,0.737,11.846,0.0,0.0,0.86,,,,,,,,,604310.0,,46.496,,,,,,,3548055.0,3158561.5,2622697.0,,,12809.0,26.572499999999998,23.655,19.6375,,959.0,11614.0,0.087,46.3,99.11,18.8,3.244,1.942,2064.236,49.6,235.848,0.99,0.6,12.3,11.035,0.5,61.77,0.545,13352864.0,,,,
max,,,,2024-08-04 00:00:00,28036.0,4454.0,636.286,163.0,9.0,1.286,2037.573,323.703,46.243,11.846,0.654,0.093,1.09,,,,,,,,,604310.0,,46.496,,,,,,,4232541.0,3697190.0,2742837.0,,,60281.0,31.7,27.69,20.54,,4514.0,59279.0,0.444,70.83,99.11,18.8,3.244,1.942,2064.236,49.6,235.848,0.99,0.6,12.3,11.035,0.5,61.77,0.545,13352864.0,,,,
std,,,,,11606.906931076795,159.79121841757296,58.45005647009445,59.98077503187762,0.7056803235174556,0.25134645309241005,843.5554350250255,11.61313995844979,4.247957928200943,4.359090370843709,0.05126757488806918,0.018252368981903588,0.36878659839853567,,,,,,,,,,,,,,,,,,1571474.3565114979,1391268.9489362882,1106029.606004619,,,10329.332037275675,11.768967837023629,10.420101182514792,8.283244820604091,,773.591132416458,9683.370001406598,0.07246890486993475,18.288533222099485,1.4215101198104257e-14,7.107550599052128e-15,0.0,2.22110956220379e-16,4.548832383393362e-13,1.4215101198104257e-14,0.0,1.110554781101895e-16,2.22110956220379e-16,0.0,1.776887649763032e-15,0.0,1.4215101198104257e-14,1.110554781101895e-16,0.0,,,,
