,iso_code,continent,location,date,total_cases,new_cases,new_cases_smoothed,total_deaths,new_deaths,new_deaths_smoothed,total_cases_per_million,new_cases_per_million,new_cases_smoothed_per_million,total_deaths_per_million,new_deaths_per_million,new_deaths_smoothed_per_million,reproduction_rate,icu_patients,icu_patients_per_million,hosp_patients,hosp_patients_per_million,weekly_icu_admissions,weekly_icu_admissions_per_million,weekly_hosp_admissions,weekly_hosp_admissions_per_million,total_tests,new_tests,total_tests_per_thousand,new_tests_per_thousand,new_tests_smoothed,new_tests_smoothed_per_thousand,positive_rate,tests_per_case,tests_units,total_vaccinations,people_vaccinated,people_fully_vaccinated,total_boosters,new_vaccinations,new_vaccinations_smoothed,total_vaccinations_per_hundred,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred,total_boosters_per_hundred,new_vaccinations_smoothed_per_million,new_people_vaccinated_smoothed,new_people_vaccinated_smoothed_per_hundred,stringency_index,population_density,median_age,aged_65_older,aged_70_older,gdp_per_capita,extreme_poverty,cardiovasc_death_rate,diabetes_prevalence,female_smokers,male_smokers,handwashing_facilities,hospital_beds_per_thousand,life_expectancy,human_development_index,population,excess_mortality_cumulative_absolute,excess_mortality_cumulative,excess_mortality,excess_mortality_cumulative_per_million
count,1674,1674,1674,1674,1674.0,1674.0,1669.0,1674.0,1674.0,1669.0,1674.0,1674.0,1669.0,1674.0,1674.0,1669.0,1025.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,361.0,265.0,361.0,265.0,678.0,678.0,0.0,0.0,685,695.0,691.0,675.0,455.0,636.0,794.0,695.0,691.0,675.0,455.0,794.0,794.0,794.0,1092.0,1674.0,1674.0,1674.0,1674.0,1674.0,1674.0,1674.0,1674.0,1674.0,1674.0,0.0,1674.0,1674.0,1674.0,1674.0,48.0,48.0,48.0,48.0
unique,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
top,BRA,South America,Brazil,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,tests performed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
freq,1674,1674,1674,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,685,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mean,,,,2022-04-20 12:00:00,24058823.42293907,22408.55495818399,22475.68665488316,505097.67144563916,419.4241338112306,420.6806650689036,114398.9068548387,106.5519330943847,106.87115158777712,2401.7225681003583,1.994347670250896,2.0003013780707013,1.0905560975609758,,,,,,,,,34192178.00554017,139643.36226415096,159.53331578947368,0.651554716981132,103758.30825958702,0.4841268436578171,,,,290506901.98992807,134334298.35745296,111938395.05481482,74558976.03296703,724200.6399371069,612649.7229219143,134.92276258992806,62.39023154848046,51.98856296296296,34.628,2845.3639798488666,238934.26952141058,0.11097607052896724,48.72039377289377,25.04,33.5,8.551999999999998,5.0600000000000005,14103.452,3.399999999999999,177.961,8.11,10.099999999999996,17.900000000000002,,2.1999999999999997,75.88,0.7650000000000001,215313504.0,553748.4938958334,18.044375,15.841250000000002,2570.506973520833
min,,,,2020-01-05 00:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.79,,,,,,,,,179698.0,241.0,0.838,0.001,508.0,0.002,,,,112.0,112.0,1962.0,282.0,14.0,141.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,25.04,33.5,8.552,5.06,14103.452,3.4,177.961,8.11,10.1,17.9,,2.2,75.88,0.765,215313504.0,-723.7,-0.65,-0.65,-3.394524
25%,,,,2021-02-26 06:00:00,10081676.0,0.0,0.0,244765.0,0.0,0.0,47938.035,0.0,0.0,1163.85,0.0,0.0,0.95,,,,,,,,,22223755.0,29103.0,103.691,0.136,36558.75,0.17025,,,,113464395.5,84557547.5,37312807.0,25488901.0,162181.0,134757.0,52.69499999999999,39.269999999999996,17.33,11.835,625.75,23746.0,0.011,28.97,25.04,33.5,8.552,5.06,14103.452,3.4,177.961,8.11,10.1,17.9,,2.2,75.88,0.765,215313504.0,221679.28499999997,15.2775,4.455,1035.49925
50%,,,,2022-04-20 12:00:00,30247302.0,0.0,11651.143,661907.0,0.0,123.571,143824.92,0.0,55.401,3147.346,0.0,0.588,1.02,,,,,,,,,34326575.0,57761.0,160.16,0.27,66336.0,0.3095,,,,331335826.0,166426973.0,145459361.0,87903408.0,583055.5,496696.0,153.89,77.3,67.56,40.83,2306.5,78776.0,0.0365,56.144999999999996,25.04,33.5,8.552,5.06,14103.452,3.4,177.961,8.11,10.1,17.9,,2.2,75.88,0.765,215313504.0,692205.77,18.515,9.535,3222.0030500000003
75%,,,,2023-06-12 18:00:00,37511921.0,0.0,36576.286,702116.0,0.0,677.714,178367.94,0.0,173.919,3338.538,0.0,3.223,1.13,,,,,,,,,49403998.0,97052.0,230.508,0.453,115034.5,0.5365,,,,461530760.5,185092558.0,170991058.0,118773344.5,1127992.5,999453.5,214.35500000000002,85.965,79.41499999999999,55.165,4641.75,341316.0,0.15875,67.13,25.04,33.5,8.552,5.06,14103.452,3.4,177.961,8.11,10.1,17.9,,2.2,75.88,0.765,215313504.0,811904.28,23.775,20.002499999999998,3764.693675
max,,,,2024-08-04 00:00:00,37511921.0,1283024.0,183289.143,702116.0,21094.0,3013.429,178367.94,6100.736,871.534,3338.538,100.301,14.329,2.39,,,,,,,,,70923215.0,2920329.0,330.912,13.626,537557.0,2.508,,,,486436436.0,189643431.0,176164186.0,126388587.0,3976605.0,1941268.0,225.92,88.08,81.82,58.7,9016.0,1260346.0,0.585,81.02,25.04,33.5,8.552,5.06,14103.452,3.4,177.961,8.11,10.1,17.9,,2.2,75.88,0.765,215313504.0,879105.5,27.07,83.18,4061.9885
