,iso_code,continent,location,date,total_cases,new_cases,new_cases_smoothed,total_deaths,new_deaths,new_deaths_smoothed,total_cases_per_million,new_cases_per_million,new_cases_smoothed_per_million,total_deaths_per_million,new_deaths_per_million,new_deaths_smoothed_per_million,reproduction_rate,icu_patients,icu_patients_per_million,hosp_patients,hosp_patients_per_million,weekly_icu_admissions,weekly_icu_admissions_per_million,weekly_hosp_admissions,weekly_hosp_admissions_per_million,total_tests,new_tests,total_tests_per_thousand,new_tests_per_thousand,new_tests_smoothed,new_tests_smoothed_per_thousand,positive_rate,tests_per_case,tests_units,total_vaccinations,people_vaccinated,people_fully_vaccinated,total_boosters,new_vaccinations,new_vaccinations_smoothed,total_vaccinations_per_hundred,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred,total_boosters_per_hundred,new_vaccinations_smoothed_per_million,new_people_vaccinated_smoothed,new_people_vaccinated_smoothed_per_hundred,stringency_index,population_density,median_age,aged_65_older,aged_70_older,gdp_per_capita,extreme_poverty,cardiovasc_death_rate,diabetes_prevalence,female_smokers,male_smokers,handwashing_facilities,hospital_beds_per_thousand,life_expectancy,human_development_index,population,excess_mortality_cumulative_absolute,excess_mortality_cumulative,excess_mortality,excess_mortality_cumulative_per_million
count,1674,1674,1674,1674,1674.0,1674.0,1669.0,1674.0,1674.0,1669.0,1674.0,1674.0,1669.0,1674.0,1674.0,1669.0,1014.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,2.0,3.0,2.0,0.0,0.0,0.0,0.0,3,198.0,198.0,177.0,26.0,100.0,819.0,198.0,198.0,177.0,26.0,819.0,819.0,819.0,1092.0,1674.0,1674.0,1674.0,1674.0,1674.0,0.0,1674.0,1674.0,1674.0,1674.0,0.0,1674.0,1674.0,1674.0,1674.0,36.0,36.0,36.0,36.0
unique,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
top,BRN,Asia,Brunei,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,samples tested,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
freq,1674,1674,1674,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mean,,,,2022-04-20 12:00:00,146371.27837514936,207.71983273596177,208.1942498502097,86.05973715651135,0.10692951015531661,0.10675913720790892,321430.9059808841,456.15216666666663,457.1939155182744,188.9870615292712,0.23481720430107528,0.23441761533852606,0.6271794871794872,,,,,,,,,92899.33333333333,290.5,208.58766666666665,0.6525000000000001,,,,,,461816.80303030304,231693.2626262626,199448.61016949153,309698.0,2597.35,1580.930402930403,102.85414141414142,51.60222222222221,44.42073446327683,68.97461538461539,3520.9841269841268,552.8827838827839,0.12309523809523809,39.64069597069597,81.347,32.39999999999999,4.591,2.3820000000000006,71809.25100000002,,201.28499999999997,12.789999999999996,2.0,30.899999999999995,,2.7,75.86000000000001,0.8379999999999996,449002.0,93.88888917333333,3.391944444444445,10.220833333333333,209.03787986527777
min,,,,2020-01-05 00:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,92611.0,284.0,207.94,0.638,,,,,,0.0,0.0,105.0,118331.0,40.0,15.0,0.0,0.0,0.02,26.35,33.0,1.0,0.0,0.0,81.347,32.4,4.591,2.382,71809.251,,201.285,12.79,2.0,30.9,,2.7,75.86,0.838,449002.0,-254.0,-7.73,-66.4,-570.29694
25%,,,,2021-02-26 06:00:00,185.0,0.0,0.286,3.0,0.0,0.0,406.259,0.0,0.627,6.588,0.0,0.0,0.14250000000000002,,,,,,,,,92753.0,287.25,208.25900000000001,0.64525,,,,,,65988.5,54178.5,17317.0,293959.5,736.5,85.0,14.695,12.065000000000001,3.86,65.4675,189.0,8.0,0.002,19.44,81.347,32.4,4.591,2.382,71809.251,,201.285,12.79,2.0,30.9,,2.7,75.86,0.838,449002.0,-24.77500225,-1.16,-6.62,-55.626412
50%,,,,2022-04-20 12:00:00,140023.0,0.0,25.0,101.0,0.0,0.0,307490.1,0.0,54.9,221.796,0.0,0.0,0.65,,,,,,,,,92895.0,290.5,208.578,0.6525000000000001,,,,,,382100.0,236711.5,206482.0,334579.0,2116.5,984.0,85.1,52.72,45.99,74.515,2192.0,45.0,0.01,40.74,81.347,32.4,4.591,2.382,71809.251,,201.285,12.79,2.0,30.9,,2.7,75.86,0.838,449002.0,37.1000015,2.5949999999999998,2.88,83.618033
75%,,,,2023-06-12 18:00:00,308777.0,0.0,194.286,161.0,0.0,0.143,678073.44,0.0,426.651,353.556,0.0,0.314,0.91,,,,,,,,,93043.5,293.75,208.9115,0.6597500000000001,,,,,,747852.0,403062.0,350451.0,339825.75,3829.75,2379.0,166.555,89.77250000000001,78.05,75.6825,5298.5,646.5,0.144,50.75,81.347,32.4,4.591,2.382,71809.251,,201.285,12.79,2.0,30.9,,2.7,75.86,0.838,449002.0,197.37501,8.2575,22.0125,439.58605
max,,,,2024-08-04 00:00:00,347723.0,29402.0,4200.286,179.0,11.0,1.571,763598.6,64566.707,9223.815,393.084,24.156,3.451,1.96,,,,,,,,,93192.0,297.0,209.245,0.667,,,,,,1293100.0,451149.0,446714.0,340466.0,8701.0,7901.0,287.99,100.48,99.49,75.83,17597.0,4619.0,1.029,76.85,81.347,32.4,4.591,2.382,71809.251,,201.285,12.79,2.0,30.9,,2.7,75.86,0.838,449002.0,512.6,17.16,128.97,1141.643
std,,,,,143957.9412294725,1421.3956468690085,502.2927883578595,71.85753333091996,0.7260253040969031,0.2562955442045594,316131.22440471576,3121.3807581662313,1103.0334639348018,157.79898806072944,1.5943515677967997,0.5628526051367073,0.4867525741519679,,,,,,,,,290.52423880518705,9.192388155425117,0.65255370149386,0.020506096654409896,,,,,,416247.97894477606,167046.72042221902,165824.50001877843,48885.85743627701,2225.6938692225735,1879.6623822350243,92.7048738719514,37.20385565018371,36.931381904064494,10.888867794502506,4186.324310858998,999.8327603108299,0.22268501159822024,19.485613802316724,0.0,7.107550599052128e-15,0.0,4.44221912440758e-16,1.455626362685876e-11,,2.8430202396208514e-14,3.553775299526064e-15,0.0,3.553775299526064e-15,,0.0,1.4215101198104257e-14,3.331664343305685e-16,0.0,200.51985039105696,5.8651760755177165,35.8991788505372,447.12112303357014
